Word,Frequency
heart,446
story,420
feel,286
whisper,251
share,248
wind,240
mountain,238
spirit,233
village,219
love,215
eye,212
voice,184
tale,177
like,171
begin,170
day,166
fill,159
find,156
listen,149
journey,142
dream,138
know,137
villager,127
air,126
life,125
echo,124
music,124
melody,123
say,114
ancient,114
stand,111
sun,110
quba,109
time,108
grandmother,107
carry,107
flame,106
valley,106
past,103
young,100
child,100
sea,99
laughter,98
hope,98
light,98
speak,97
old,96
forest,96
tree,93
night,93
continue,93
live,92
hear,92
people,92
connection,91
return,90
wisdom,87
dance,87
sky,84
small,82
set,82
guide,80
gather,79
evening,79
world,79
name,78
adventure,78
deep,77
beauty,77
sound,77
ancestor,76
vibrant,76
race,75
come,75
close,74
weave,74
whispering,73
land,73
generation,73
sit,72
tell,72
pass,72
city,72
sense,71
face,71
place,69
azerbaijan,69
long,69
smile,68
water,68
secret,68
girl,68
play,68
caspian,67
take,67
guardian,67
seek,66
leave,65
word,64
moment,63
approach,63
home,63
turn,63
learn,62
tar,62
inspire,62
river,61
family,61
history,60
magic,60
hand,59
culture,59
joy,58
woman,58
year,58
soft,58
grow,57
gentle,57
step,56
courage,56
fire,55
understand,55
nature,55
cast,55
festival,55
star,54
song,54
bring,54
embrace,53
excitement,53
glow,53
flow,53
hold,53
heritage,53
sparkle,52
power,52
surround,52
stone,51
treasure,51
ganja,51
reach,51
determination,50
baku,50
bond,50
wish,50
fade,50
explore,50
legacy,49
legend,49
see,49
remember,48
man,47
breeze,47
hair,47
create,46
lose,46
flower,46
street,46
color,45
dear,45
fear,45
rich,45
curiosity,45
tradition,45
warm,45
realize,45
warmth,44
true,44
way,44
resonate,44
paint,43
carpet,43
new,43
nigar,43
change,43
strength,43
soul,42
ask,42
path,42
hue,41
friend,41
horizon,41
elder,41
tapestry,41
great,41
envelop,40
want,40
community,40
decide,40
garden,39
wave,39
dip,39
golden,39
pride,39
hide,39
follow,39
landscape,39
reply,38
watch,38
silk,38
musician,38
wander,38
week,37
hill,37
intently,37
art,37
alive,37
shadow,37
let,37
lush,37
open,37
call,36
peak,36
swell,36
cave,36
azerbaijani,36
lantern,36
mountains,36
note,36
climb,35
honor,35
draw,34
road,34
forget,34
beautiful,34
surge,34
nod,34
dark,34
captivate,34
mind,34
remind,34
discover,34
intertwine,34
breath,33
title,33
town,33
bravery,33
future,33
scent,33
forever,33
storm,33
illuminate,33
father,32
transform,32
essence,32
meet,32
believe,32
reveal,32
gobustan,32
rustle,31
figure,31
protect,31
experience,31
winds,31
passion,31
teach,30
intrigue,30
nestle,30
hidden,30
beneath,30
look,30
spend,30
gaze,30
help,30
ignite,30
shore,30
center,30
energy,30
celebrate,30
resilience,29
suddenly,29
twinkle,29
stumble,29
adorn,29
loss,29
storyteller,29
present,29
swirl,29
brave,29
challenge,29
strong,29
shimmer,29
away,29
work,29
reminder,28
finger,28
pure,28
forward,28
gift,28
invite,28
traditional,28
purpose,28
promise,27
wise,27
bright,26
tear,26
thrive,26
vidadi,26
weight,26
majestic,26
wait,25
pine,25
visit,25
intricate,25
importance,25
cool,25
far,25
ensure,25
caucasus,25
recount,25
capture,25
break,24
distant,24
travel,24
bloom,24
venture,24
deeply,24
orange,24
tower,24
wildflower,24
thank,24
sing,24
vision,24
sweep,24
welcome,24
flicker,24
wide,24
form,23
thought,23
unity,23
compassion,23
connect,23
crowd,23
instrument,23
wash,23
rush,23
symbol,23
pound,23
arrive,23
uncover,23
darkness,23
transcend,22
spark,22
walk,22
xanlar,22
sweet,22
newfound,22
fall,22
endure,22
encounter,22
unite,21
think,21
finally,21
bridge,21
memory,21
embark,21
wonder,21
creature,21
belong,21
glade,21
rise,21
silence,21
wall,21
lead,21
artist,21
crystal,21
quest,21
witness,21
eager,21
presence,21
anticipation,21
imagine,20
age,20
preserve,20
gratitude,20
urge,20
arm,20
emerge,20
cultural,20
shape,20
struggle,20
morning,20
run,20
earth,20
hour,19
inspiration,19
carving,19
dare,19
cherish,19
lesson,19
rock,19
fierce,19
profound,18
reflect,18
heavy,18
clearing,18
spread,18
eternal,18
bustling,18
square,18
enchant,18
tremble,18
emotion,18
depth,18
kiss,18
sheki,18
curse,18
pick,18
deepen,18
afternoon,18
gathering,18
organize,18
thick,18
notice,18
feather,18
soar,17
fateful,17
season,17
branch,17
grand,17
oak,17
blossom,17
lift,17
brush,17
pomegranate,17
flourish,17
familiar,17
remain,17
join,17
bread,17
qobuz,17
soon,17
warrior,17
steep,16
beacon,16
truth,16
mingle,16
stream,16
shine,16
bird,16
fabric,16
racing,16
respect,16
kura,16
softly,16
clear,16
local,16
powerful,16
foot,16
togrul,16
adventurous,16
tall,16
determine,16
understanding,16
ago,16
grant,16
green,16
shop,16
enchanting,16
prove,16
brightly,16
catch,16
pattern,16
sister,16
cliff,16
barely,16
letter,16
string,16
closely,16
elderly,15
pull,15
colorful,15
group,15
forge,15
shimmering,15
silver,15
dawn,15
awe,15
roam,15
pour,15
silent,15
craft,15
burn,15
autumn,15
encourage,15
goygol,15
house,15
trial,14
need,14
kindness,14
testament,14
resolve,14
creativity,14
touch,14
naila,14
curious,14
painting,14
ramin,14
breathtaking,14
sunlight,14
choose,14
edge,14
prepare,14
shade,14
higher,14
moonlight,14
celebration,14
eagle,14
crisp,14
inside,14
stage,13
narrow,13
erupt,13
pause,13
rhythm,13
root,13
beginning,13
pink,13
loom,13
magical,13
carefully,13
gold,13
rocky,13
traveler,13
hero,13
rugged,13
spring,13
later,13
haunt,13
lean,13
restore,13
guard,13
lake,13
marvel,13
search,13
outside,13
ah,13
bear,13
purple,13
bind,13
knowledge,13
ethereal,13
enter,13
blend,13
cloud,13
gently,13
gain,12
moon,12
unwavering,12
homeland,12
aroma,12
gabala,12
vast,12
surface,12
final,12
bazaar,12
happiness,12
awaken,12
appear,12
quiet,12
high,12
image,12
thread,12
wood,12
faint,12
declare,12
collect,12
possess,12
force,12
weather,12
fight,12
tanan,12
rest,12
sacrifice,12
piece,12
show,11
distance,11
etch,11
gasp,11
sorrow,11
modern,11
roll,11
apple,11
tightly,11
battle,11
canvas,11
line,11
mystical,11
longing,11
insatiable,11
desire,11
black,11
friendship,11
peace,11
idea,11
legendary,11
fountain,11
finish,11
novruz,11
allow,11
harmony,11
happen,11
renew,11
answer,11
grandfather,10
bathe,10
gem,10
corner,10
fruit,10
envision,10
dreamer,10
audience,10
slowly,10
mother,10
entrance,10
immortality,10
beloved,10
worry,10
expression,10
wear,10
despair,10
ready,10
view,10
glisten,10
imagination,10
skin,10
reflection,10
talent,10
spot,10
balance,10
sight,10
different,10
widen,10
beckon,10
pack,10
orchard,10
pique,10
worth,10
ear,10
chest,10
proud,10
keeper,10
kingdom,9
threaten,9
test,9
inexplicable,9
amidst,9
cross,9
wealth,9
room,9
dragon,9
confront,9
symphony,9
realm,9
vow,9
mural,9
beach,9
stay,9
baba,9
storytelle,9
creation,9
token,9
lost,9
prince,9
azure,9
instant,9
write,9
transport,9
singe,9
quickly,9
pulse,9
narrative,9
greet,9
cascade,9
recall,9
following,9
course,9
tie,9
nene,9
glance,9
zeynab,9
nurture,9
atmosphere,9
storytelling,9
quaint,9
alike,9
give,9
fuel,9
window,9
mythical,9
unfold,9
kneel,9
tirelessly,8
steady,8
conclusion,8
linger,8
laugh,8
second,8
cautiously,8
summit,8
howl,8
stunning,8
sudden,8
ground,8
melodic,8
right,8
door,8
wooden,8
reignite,8
strange,8
rage,8
consume,8
serene,8
offer,8
treacherous,8
renowned,8
gust,8
mix,8
zardab,8
magnificent,8
diamond,8
echoes,8
drive,8
approval,8
push,8
shift,8
keshik,8
go,8
boy,8
conversation,8
cobblestone,8
plan,8
vivid,8
destination,8
timeless,8
hesitation,8
satchel,8
cheese,8
blessing,8
favorite,8
festivity,8
depict,8
large,8
applause,8
glass,8
townsfolk,8
language,8
significance,8
dedicate,8
act,8
radiate,8
simple,8
build,8
murmur,8
nakhchivan,8
stretch,8
ray,8
shadows,8
explain,8
danger,8
goddess,8
bark,8
gnarl,8
triumph,8
goychay,8
guidance,8
cover,8
month,8
tuck,8
support,7
possibility,7
