Word,Frequency
feel,446
story,439
ocean,423
spirit,345
heart,335
island,323
ancestor,321
wave,260
voice,228
share,224
sea,213
people,212
chamorro,202
begin,196
culture,192
water,191
eye,183
stand,172
storm,169
like,167
guam,163
know,161
sun,158
community,154
grandmother,153
connection,150
whisper,149
village,147
home,139
come,136
beach,134
day,133
echo,129
sense,128
heritage,126
family,125
land,125
shore,125
say,120
find,120
fill,119
guide,119
life,119
air,114
gather,112
journey,112
guahan,111
stone,110
ancient,110
deep,106
listen,106
tale,104
wind,101
love,99
horizon,99
generation,97
past,96
sky,93
child,93
honor,92
learn,92
speak,91
world,90
future,89
dance,89
face,87
festival,87
night,86
carry,86
smile,85
embrace,85
close,84
watch,84
set,84
laughter,82
sound,82
strength,81
time,80
young,80
live,78
vibrant,77
evening,76
weave,76
place,75
pass,75
turn,75
moment,75
take,74
call,74
legend,73
tradition,73
return,72
year,71
protect,71
hold,71
dream,71
star,70
light,70
crash,69
sit,68
woman,67
hand,67
legacy,67
history,66
continue,66
villager,65
long,64
understand,64
way,62
explore,62
seek,61
tell,61
cast,61
warm,60
tide,60
cliff,60
approach,59
leave,59
glow,59
new,58
alive,58
traditional,58
wisdom,58
small,57
race,57
hair,57
resilience,57
grow,56
friend,56
change,55
importance,54
hope,54
word,54
abuela,53
hear,53
purpose,53
beauty,52
ask,52
root,52
paint,52
remember,52
reply,52
tree,51
help,51
pride,51
join,50
energy,50
week,49
gentle,49
elder,49
respect,49
bring,49
title,48
rich,48
shell,47
dip,47
hue,47
fish,46
rise,46
beneath,46
organize,46
nod,45
connect,45
coral,45
excitement,45
secret,45
inspire,44
figure,44
follow,44
let,43
tumon,43
sand,43
need,43
breeze,43
edge,43
old,42
create,42
reminder,42
golden,42
realize,42
see,42
want,42
cave,42
determination,41
flow,41
celebrate,41
work,40
gaze,40
look,40
swell,40
path,40
adorn,40
spend,39
fear,39
surge,39
warmth,39
reef,39
suddenly,39
guardian,39
adventure,39
teach,39
resonate,39
identity,39
promise,38
envelop,38
local,38
experience,38
bay,38
strong,38
gathering,38
dark,38
tapestry,38
lesson,37
step,37
weight,37
break,37
orange,37
rhythm,37
prepare,37
power,36
kiko,36
curiosity,36
shimmer,36
thought,36
girl,36
color,36
melody,35
away,35
song,35
intertwine,35
