Noun Phrase,Count
outside world,29
young woman,25
small group,24
cherry blossoms,24
kim il-sung,23
old man,18
small village,17
fateful night,16
watchful eyes,16
human spirit,15
deep breath,14
grand monuments,13
new life,12
stark contrast,11
great leader,9
fateful evening,9
kim jong-il,8
new dawn,8
distant lands,8
oppressive regime,8
whispering pines,8
underground movement,8
propaganda posters,7
small apartment,7
small room,7
warm glow,7
golden hue,7
new beginning,7
heart swelling,7
underground network,7
harsh reality,7
bright eyes,7
air thick,6
oppressive silence,6
new world,6
long shadows,6
supreme leader,6
lit room,6
secret gatherings,6
fateful day,6
clandestine meetings,6
face pale,6
bamboo forest,6
secret meetings,6
safe house,6
fellow citizens,6
oppressive atmosphere,6
soft glow,6
brave souls,6
whispering walls,5
textile factory,5
journey begins,5
narrow alleys,5
brief moment,5
loud knock,5
newfound freedom,5
eyes everywhere,5
young girl,5
young man,5
gathering storm,5
different future,5
inspire others,5
# # # #,5
distant sounds,5
unspoken fears,5
own stories,5
young boy,5
countless others,5
detention center,5
# # # # chapter,5
bamboo grove,5
meeting point,4
icy water,4
different world,4
watchful gaze,4
dark cloud,4
cherry trees,4
lit basement,4
constant reminder,4
chill run,4
vibrant colors,4
uncertain future,4
ever-watchful eyes,4
dense forest,4
hand grip,4
different life,4
makeshift stage,4
# # #,4
newfound determination,4
dark hair,4
eyes alight,4
modest apartment,4
familiar faces,4
young people,4
fateful afternoon,4
small shoulders,4
stark reminder,4
silent understanding,4
unseen horizon,4
factory worker,3
oppressive darkness,3
distant dream,3
apartment building,3
childhood friend,3
small acts,3
small act,3
secret gathering,3
own lanterns,3
collective hope,3
darkest times,3
harsh realities,3
kim jong-un,3
oppressive weight,3
such thoughts,3
deep sense,3
small gathering,3
lit streets,3
concrete walls,3
new era,3
new generation,3
cool night air,3
delicate balance,3
unbreakable spirit,3
labyrinthine streets,3
old friend,3
voice firm,3
new land,3
silent bellflower,3
uniformed guards,3
fierce determination,3
narrow alleyways,3
vivid pictures,3
propaganda broadcasts,3
watchful eye,3
# # # chapter,3
kind eyes,3
nondescript building,3
distant memory,3
silent path,3
furtive glances,3
open arms,3
ears everywhere,3
darkest moments,3
perilous journey,3
treacherous journey,3
cold wind,3
dark uniform,3
final stand,3
narrow streets,3
iron sky,3
new lives,3
foreign land,3
unbreakable bond,3
lay awake,3
dark uniforms,3
flashlight beam,3
heavy boots,3
cold water,3
frigid water,3
oppressive walls,3
vibrant cities,3
oppressive reality,3
mr. kim,3
dense forests,3
mr. jang,3
fresh air,2
life unbound,2
final glance,2
bright lights,2
main roads,2
frigid air,2
own story,2
silent echoes,2
twenty-five years,2
education system,2
military parades,2
elderly man,2
oppressive narrative,2
swift retribution,2
uniformed officers,2
jet-black hair,2
cold floor,2
night sky,2
tense silence,2
own dreams,2
collective spirit,2
fierce spirit,2
young men,2
cherry tree,2
fellow villagers,2
rebellious spirit,2
such things,2
such ideas,2
ever-present threat,2
people need,2
secret locations,2
human rights,2
heavy footsteps,2
young minds,2
gathering place,2
youthful idealism,2
government officials,2
quiet moments,2
heavy burden,2
guards shouting,2
tapestry woven,2
government buildings,2
oppressive shadows,2
annual festival,2
vibrant murals,2
severe consequences,2
different lens,2
own fears,2
state security agents,2
heart race,2
lit cell,2
new composition,2
long day,2
warm embrace,2
breathe life,2
new movement,2
young age,2
true selves,2
shadowy figures,2
indomitable spirit,2
village life,2
distant land,2
party secretary,2
fellow prisoners,2
own paths,2
newfound strength,2
treacherous terrain,2
vibrant city,2
faint sounds,2
heavy weight,2
wire fences,2
old cassette tape,2
soft melody,2
new beginning —,2
pine trees,2
white ribbons,2
colorful banners,2
silent sentinels,2
faint echo,2
thick fog,2
eye contact,2
fellow artists,2
harsh conditions,2
newfound friends,2
countless souls,2
new path,2
gentle breeze,2
powerful symphony,2
dire consequences,2
black car,2
ominous presence,2
anxious glances,2
bittersweet reminder,2
final performance,2
collective force,2
underground meetings,2
world needs,2
small community,2
profound sense,2
cherry blossom tree,2
nearby alley,2
daily life,2
thick clouds,2
secret meeting,2
faces pale,2
dark waters,2
silent halls,2
korean history,2
government propaganda,2
quiet demeanor,2
gathering information,2
winter evening,2
austere buildings,2
soft light,2
dark cell,2
fellow dissenters,2
small piece,2
wide eyes,2
golden light,2
small hands,2
eyes shone,2
invisible weight,2
dark alleyways,2
heavy heart,2
cool breeze,2
vibrant life,2
small fire,2
hope ignite,2
kim il sung,2
meeting place,2
delicate petals,2
distant sun,2
gray sky,2
imagined—a world,2
tall figure,2
old oak tree,2
sun setting,2
clandestine gatherings,2
secret concert,2
loud crash,2
state-run factory,2
different directions,2
neon lights,2
new year,2
bygone era,2
new family,2
secret song,2
back exit,2
subway station,2
underground exhibition,2
familiar face,2
collective resistance,2
vast landscape,2
local school,2
foreign lands,2
unusual presence,2
spirit unbroken,2
tidal wave,2
cold air,2
icy river,2
newfound hope,2
red scarf,2
meager belongings,2
simple joys,2
small bag,2
loyal citizen,2
final leg,2
own path,2
neon glow,1
elderly neighbors,1
collective chants,1
daily meetings,1
endless propaganda,1
unspoken dreams,1
distant horizon,1
before—an outsider,1
catch glimpses,1
ritual—an exchange,1
treacherous paths,1
double life,1
simple outfit,1
quiet alley,1
border—the line,1
narrow point,1
houses quaint,1
small inn,1
humble room,1
fresh rice,1
doubt crept,1
path forward,1
sweet melody,1
own future—one,1
fresh coffee,1
own lives—a stark contrast,1
sweet reminder,1
unique blend,1
daily routines,1
entire life,1
collective narrative,1
subtle discontent,1
city walls,1
cheerful images,1
profound sadness,1
colleagues ate,1
meager portions,1
street lamps,1
dangerous occupation,1
long-lost embrace,1
artwork—vibrant colors,1
monochrome reality,1
tight hug,1
simple meal,1
own discontent,1
vision—a clandestine group,1
electric tension,1
collective heartbeat,1
breath catch,1
public walls,1
thread woven,1
song—a song,1
heavy mist,1
wet earth,1
distant propaganda broadcasts,1
twelve-year-old girl,1
curious eyes,1
oppressive clouds,1
darkest places,1
lantern seller,1
handmade crafts,1
vibrant lanterns,1
blue lantern,1
distant glow,1
propaganda tower,1
old lantern seller,1
fragile thing,1
own world,1
colorful murals,1
crush dreams,1
power—a connection,1
cherry blossoms bloom,1
story unfolds,1
late 2020s,1
delicate shades,1
brief respite,1
seventeen-year-old girl,1
cherry blossom festivals,1
dark eyes,1
heavy cloak,1
regular member,1
small rebel group,1
usual spot,1
determination unshaken,1
full bloom,1
sweet scent,1
cherry blossoms filling,1
small ways,1
undeniable strength,1
cherry blossoms fall,1
powerful words,1
hill statues,1
grand narratives,1
revolutionary heroism,1
artistic endeavors,1
small teahouse,1
narrow street,1
old wooden beams,1
soft amber lights,1
fragrant green tea,1
different world—one,1
oppressive governments,1
small gatherings,1
long nights,1
voices matter,1
safe place,1
connection—a smuggler,1
alternative—a life,1
dark alley,1
nervous glances,1
cool air,1
new world—a place,1
dim teahouse,1
red lotus,1
home—a symbol,1
cobblestone streets,1
omnipresent portraits,1
local elementary school,1
silence—the silence,1
unspoken thoughts,1
autumn evening,1
newfound desire,1
free speech,1
small underground movement,1
regime fears knowledge,1
unexpected guest—her mother,1
small victories—people,1
small success,1
secret meeting place,1
silence breaks,1
dark interrogation cell,1
distant screams,1
true courage,1
clear path,1
own life,1
new network—one,1
stormy night,1
small basement,1
regime fears,1
unyielding flame,1
warmth blossom,1
whispering trees,1
intricate patterns,1
forgotten dreams,1
crisp autumn morning,1
unusual object,1
damp earth,1
leather-bound book,1
rigid reality,1
forbidden knowledge,1
taught—about loyalty,1
frequent disappearances,1
precious book,1
own heart,1
common dream—to,1
growing storm,1
newfound knowledge,1
sweet rebellion,1
ominous silence,1
familiar sounds,1
narrow ledge,1
rocky ground,1
new reality,1
powerful echo,1
bamboo flute,1
hard work,1
tender glow,1
political oppression,1
weekly meetings,1
ration cards,1
endless struggle,1
cold evening,1
quiet strength,1
oppressive chill,1
slightest infraction,1
different tone—a bittersweet melody,1
fateful morning,1
thick trees,1
blind eye,1
new melodies,1
small cave,1
search party,1
refugee leader,1
faces grim,1
breeds dissent,1
silence hope,1
powerful tune,1
harsh expressions,1
profound connection,1
dark confines,1
gossamer thread,1
inspire generations,1
stern gaze,1
quiet dreams,1
bright colors,1
traditional hanboks,1
23-year-old musician,1
summer months,1
patriotic fervor,1
slightest hint,1
state music,1
select group,1
opportunity—a chance,1
rare honor,1
perfect society,1
grand stage,1
bombastic songs,1
sinister reality,1
cold authority,1
comrade min-jun,1
performance was…,1
underground musicians,1
shatter glass,1
uniformed officer,1
new songs,1
heavy hearts,1
distant dreams,1
inky sky,1
silver glow,1
fellow defectors,1
small venues,1
silent song,1
brightest minds,1
loyal citizens,1
rigid doctrines,1
curious girl,1
blue skies,1
autumn afternoon,1
quiet halls,1
times—a world,1
art movements,1
human rights—concepts,1
secret alliance,1
international writers,1
small discussions—teach,1
