Nationality;Friendship;Bravery;Family;Balance;Heritage;Identity;Love;Diversity;Save_from_curse;Imagination;Treasure;Dreams;Self-belief;Nature
African-American;;1;;;;1;;;;;;;;
African-American;;;;;;1;1;1;;;;;;
African-American;;;;;1;;;;;;;;;
American;1;;;;;;;;;;;;;
American;1;1;;;;;;;;;;;;
American;;;;1;;;;;1;;;;;
American;;1;;1;;;;;;;;;;
Asian-American;;;;;;1;;;;;;;;
Australian;1;;;;;;;;;;;;;1
Australian;;;;;;;;;;;;;;
Australian;1;;;;;;;;;;;;;
Australian;1;1;;;;;;;;;;;;
Australian;1;1;;;;;;;;;;;;
Australian;;;;;1;;;;;;;;;1
British;1;1;;;;;;;;1;;;;
British;1;1;;;;;;;;;;;;
British;;;;1;;;;;;;;;;
British;;;;;;1;;;;;1;;;
Indian;;;;;;;;;1;;;;;
Indian;1;1;;;;;;;;;;;;
Indian;;1;;;;1;;;;;;;;
Indian;;;;1;;;;;;;1;;1;
Indian;;;;1;;;;;;;;;;
Indian;1;1;;;;;;;;1;;;;
Indian;1;1;;;;;;;;;;;;
Indian;;;;;;;;;1;;;;;
Indian;;;;;;;;;1;;;;;
Indian;1;;;;;;;;;;;;1;
Indian;1;1;;;;;;;;;;;;
Indigenous Australian;;;;;;;;;1;;;;;
Indigenous Australian;;;;;1;;;;;;;;1;
Indigenous Australian;;;;;1;;;;;;;;1;
Indigenous Australian;;;;1;;;;;;;;;;1
Indigenous Australian;;;;;1;;;;;;;;;1
Indigenous Australian;;1;;;1;;;;;;;;;
Indigenous Australian;;;;;1;1;;;;;;1;;
Indigenous Australian;;1;;;1;;;;;;;;;
Indigenous Australian;;1;;;1;;;;;;;;;
Nigerian;1;1;;;1;;;;;;;;;
Nigerian;1;1;;;;;;;;;;;;
Nigerian;1;1;1;;;;;;;1;;;;
Nigerian;1;;;;;;;;;;;;;
Nigerian;;1;;;;1;;;;;;;;
Nigerian;;1;1;1;;;;;;;;;;
Nigerian;;;;;;;;;;;;;;1
Norsk;;;;1;;;;;;;1;;;
Norsk;;1;;;;;;;;;;;;1
Norsk;;;;1;;;;;;;;;;1
Norsk;;;;1;;;;;;;;;;
Norsk;;1;;;;;;;;;;;;
Norsk;;;;1;;;;;;;;;;
Norsk;1;;;;;;;;;;;;;
Norsk;;;;;;;;;;;1;;;1
Norwegian-American;1;1;;;;1;;;;;;;;
