story_id,sentiment,confidence,model,date
MW_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_2,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_3,anger,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_6,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_7,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_15,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_16,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_17,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_18,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_19,fear,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_21,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_22,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_27,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_29,surprise,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_32,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_34,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_35,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_36,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_42,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_44,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_46,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_47,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_48,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_49,joy,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MW_50,fear,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
