story_id,sentiment,confidence,model,date
CC_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_2,joy,0.66,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_3,surprise,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_5,surprise,0.74,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_6,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_7,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_8,fear,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_11,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_12,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_14,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_16,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_17,surprise,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_18,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_19,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_20,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_21,joy,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_22,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_24,surprise,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_25,surprise,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_28,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_29,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_30,surprise,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_33,joy,0.7,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_34,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_37,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_38,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_39,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_41,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_43,anger,0.45,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_44,joy,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_46,anger,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_47,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_48,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_49,surprise,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CC_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
