Story_ID,Summaries,Prompt,Model,Date
BJ_1,"In the village of Agbon, Mama Adé, a skilled weaver, brings dreams to life through her tapestries. When her daughter Kemi returns after years of searching, they collaborate to create a magnificent tapestry that reflects their shared journeys. Together, they transform heartache into hope, weaving the village's collective dreams.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_2,"In the village of Agbado, young Amara discovers a magical box beneath a baobab tree, containing beads that hold her ancestors' stories. Guided by the tree's spirit, she learns the importance of storytelling and organizes a festival to unite her community. Her tales ignite a newfound appreciation for their heritage, bridging divides.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_3,"In a vibrant Benin village, a young girl named Amina discovers the Whispering Palm, believed to hold ancestral wisdom. Guided by its voice, she embarks on a quest for a rare flower symbolizing knowledge. Overcoming trials of courage and compassion, Amina returns, uniting her community and igniting a legacy of shared wisdom.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_4,"In the village of Ganvié, young Adélia dreams of adventure inspired by her grandfather's tales of the lake's spirits and hidden treasures. Her exploration leads her to discover a carved box filled with beautiful trinkets, teaching the villagers the importance of sharing and storytelling, uniting the community in celebration.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_5,"In the village of Tovikro, young Adéola embarks on a quest into the sacred Forest of Whispers to find a hidden artifact promised to grant ancestral wisdom. Guided by whispers of the wind, she confronts her fears, ultimately discovering the strength of her heritage and becoming the village's keeper of stories.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_6,"In the village of Akin, young Ayo ventures into the mystical Whispering Forest, seeking to uncover its secrets. Encountering Yara, the forest guardian, she solves a riddle, gaining access to ancestral wisdom. Ayo returns to share the forest's lessons of unity and respect for nature, transforming her village and ensuring harmony.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_7,"In the village of Agbome, young Adama longs for adventure. One day, the spirit of the magical baobab tree grants her wish, transporting her to vibrant Cotonou. There, she learns stories and wisdom from diverse people. As she gathers tales across Benin, she realizes the importance of connection and legacy, becoming a storyteller in her village.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_8,"In a village in Benin, young Amina dreams of being a storyteller despite familial expectations. Guided by the ancient Whispering Baobab, she learns to balance tradition and ambition. Empowered, she shares her culture's tales far and wide, uniting people through storytelling, while honoring her roots and inspiring future generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_9,"In the vibrant village of Gbèto, young Amina hears the whispers of Baobab spirits, urging her to rescue them from darkness caused by human greed. Embarking on a journey, she confronts destructive villagers, teaching them the importance of harmony with nature. Amina's bravery transforms her community, restoring balance and hope.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_10,"In Ouidah, Benin, Adélaïde, a young woman connected to her heritage, discovers a map leading to the sacred Silver Sands. Guided by the spirit Yemoja, she confronts her ancestors' struggles and triumphs. Empowered by their legacy, she vows to preserve their stories, becoming a beacon of hope for her community.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_11,"In the vibrant village of Agbomé, young Kofi dreams of becoming a master drummer like his grandfather, Baba Tunde. After receiving a mystical gift from Mama Kafui, the keeper of rhythms, Kofi organizes a festival to unite the community through music. He creates ""The Dance of the Stars,"" celebrating life and connection.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_12,"In the vibrant village of Agbome, young Kofi embarks on a quest to find an enchanted drum said to bring unity and joy. Guided by a spirit, he faces three challenges testing his heart, mind, and spirit. Successfully proving his worth, Kofi returns with the drum, transforming his village forever.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_13,"In the ancient city of Abomey, young Amina discovers the power of storytelling through the rhythmic drums that echo her ancestors' tales. Guided by Mama Esi, she embraces her passion, ultimately bridging tradition with modernity. Amina inspires her community to honor their heritage, ensuring the legacy of their stories endures.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_14,"In a small Beninese village, curious Ayo seeks wisdom from the ancient Baobab tree, which instructs her to find Water, Fire, and Spirit. Through her journey, Ayo learns about unity, creativity, and ancestral dreams. Upon returning, she shares these stories with her community, becoming a bridge between past and future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_15,"In the village of Agbome, young Adesuwa dreams of becoming a storyteller. During the Festival of the Baobab, she seeks the tree's wisdom, fearing she lacks her own stories. Guided by the baobab's whispers, she finds her voice, sharing tales of resilience and unity, connecting her community for generations to come.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_16,"In the vibrant village of Ganvié, young Amina discovers a mermaid named Olokun, who urges her to restore the balance of Lake Nokoué. Rallying her friends, Amina teaches sustainable practices and unites the community. After a fierce storm, they reaffirm their bond with the lake, ensuring harmony for future generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
BJ_17,"In the village of Agbome, 12-year-old Adéola dreams of exploring the world beyond. Inspired by Zainab, a traveling storyteller, she creates a mural with her best friend Kofi to celebrate their roots and share their stories. Through art and connection, Adéola learns that true adventure begins at home.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
