Word,Frequency
feel,417
heart,337
village,297
story,297
whisper,251
find,249
manor,239
love,237
past,209
time,207
voice,199
life,192
family,190
air,186
eye,185
stand,181
letter,177
like,174
light,170
fill,163
sense,163
begin,163
old,153
say,144
know,144
day,140
echo,139
secret,138
share,131
place,131
wood,127
come,124
long,120
history,119
clock,119
tale,119
villager,117
leave,117
return,116
turn,112
step,111
face,111
train,110
shadow,110
memory,110
open,108
tree,107
speak,105
lady,105
small,103
hand,101
woman,101
room,101
reveal,100
way,99
grandmother,99
laughter,98
man,97
hold,93
moment,93
connection,91
year,90
spirit,90
race,89
mother,89
legacy,87
reply,85
wall,83
cottage,83
hear,83
new,82
uncover,81
close,81
smile,81
lose,81
evening,81
night,81
embrace,79
hope,78
scent,78
approach,78
word,78
weight,76
deep,76
truth,75
garden,74
ask,74
figure,73
sun,72
door,71
stone,71
world,67
seek,66
cast,66
home,66
curiosity,66
away,66
wind,66
local,66
fear,65
pull,65
beneath,65
set,64
whispering,64
ancient,63
pass,61
inside,61
follow,61
week,61
spend,61
draw,60
glow,60
hide,60
warmth,60
journey,59
look,59
sound,59
take,59
hawthorne,58
weave,58
dance,58
eldridge,58
grow,58
explore,58
beatrice,57
mind,57
great,57
fade,57
search,56
title,56
let,55
book,55
remember,55
understand,54
journal,54
future,54
estate,53
path,53
see,53
oak,52
break,52
window,52
write,52
darkness,52
hall,51
help,51
key,51
lead,51
treasure,51
warm,51
tell,50
thick,50
friend,49
intrigue,49
child,49
forward,49
gather,49
london,48
hill,48
promise,48
envelop,48
piece,48
gaze,47
bring,47
loss,47
breath,47
library,47
community,47
notice,46
generation,46
flicker,46
adventure,45
young,45
think,45
listen,45
sit,45
read,45
street,45
watch,45
gathering,44
wait,44
dream,44
reach,44
excitement,44
dark,44
need,44
wash,44
line,44
quaint,43
forget,43
guide,43
lantern,43
soft,43
discover,43
grand,43
mystery,42
nestle,42
catch,42
settle,42
learn,41
magic,41
station,41
creak,41
power,41
heavy,41
decide,41
lillian,41
tremble,41
distant,41
realize,40
carry,40
change,40
live,40
silence,40
curse,40
father,40
golden,40
peace,40
familiar,39
edge,39
honor,39
belong,39
tear,39
purpose,39
stumble,39
beauty,39
afternoon,39
continue,39
call,39
transform,39
eileen,39
landscape,39
thought,38
wander,38
bind,38
illuminate,38
spine,38
surround,38
chest,38
gentle,38
dust,37
fall,37
autumn,37
hidden,37
run,37
forest,37
adorn,37
deeply,37
childhood,36
name,36
paint,36
glance,36
morning,36
locket,35
clearing,35
work,35
finally,35
sorrow,35
hair,34
barnaby,34
suddenly,34
loom,34
want,34
bury,34
