Word,Frequency
steppe,605
heart,432
spirit,385
story,383
feel,346
wind,308
land,259
share,240
village,236
whisper,219
journey,208
eye,195
begin,193
ancestor,185
people,177
voice,176
day,165
like,165
find,154
sky,153
tale,152
villager,145
fill,143
listen,138
grandmother,135
family,135
stand,133
mountain,132
valley,131
echo,129
sun,129
young,125
know,125
face,115
return,114
adventure,112
ancient,112
wisdom,112
life,111
air,110
carry,108
dream,107
past,106
sense,105
gather,101
come,97
vast,96
home,95
connection,95
say,95
strength,94
horizon,93
set,93
world,92
golden,92
small,91
live,90
deep,90
guide,89
learn,89
seek,88
speak,87
time,86
eagle,85
evening,83
generation,83
star,82
kazakhstan,82
way,81
dance,81
approach,80
pass,78
girl,77
earth,77
grow,76
night,76
love,75
name,75
laughter,75
embrace,74
long,74
moment,74
beauty,73
place,73
tradition,73
weave,72
word,72
light,72
hill,69
tell,69
grass,69
horse,69
year,69
continue,69
river,68
song,68
close,67
culture,66
great,66
turn,66
heritage,66
old,65
legacy,65
child,65
yurt,64
hold,64
storm,64
guardian,63
understand,63
fire,62
landscape,62
stone,61
tree,61
remember,60
step,60
leave,60
warrior,59
courage,59
energy,59
hear,59
hope,58
inspire,58
vibrant,58
nature,57
bota,57
smile,56
explore,56
father,56
race,56
sit,56
woman,55
secret,55
honor,55
fear,55
excitement,55
future,53
community,53
bond,52
sound,52
traditional,52
kazakh,52
watch,51
paint,51
call,51
follow,51
glow,50
reach,50
music,50
protect,50
see,50
take,50
gentle,50
path,49
water,49
realize,49
creature,48
warm,48
change,47
encounter,47
alive,47
hand,47
festival,47
week,47
new,46
beneath,46
ask,46
sparkle,45
symbol,45
hue,45
unity,45
pride,45
elder,44
challenge,44
dip,44
legend,44
wildflower,44
cast,44
importance,44
history,44
city,44
strong,43
travel,43
teach,43
power,43
determination,43
mind,43
stretch,43
purpose,43
discover,42
vision,42
hidden,42
morning,41
shadow,41
experience,41
soft,40
warmth,40
title,40
surge,40
lake,40
meet,40
open,39
reply,39
wise,39
hide,39
celebrate,39
wander,39
tapestry,38
bring,38
man,38
lead,38
help,38
forward,37
lesson,37
nod,37
envelop,37
create,37
flow,37
dark,37
stumble,37
whispering,37
roam,37
play,36
resilience,36
reminder,36
roll,36
root,35
treasure,35
wide,35
shimmer,35
distant,35
breeze,35
hair,35
ride,34
friend,34
finally,34
spend,34
transform,33
melody,33
wild,33
connect,32
harmony,32
fade,32
shape,32
scent,32
remind,32
surround,32
climb,32
swell,31
storyteller,31
intently,31
resonate,31
respect,31
edge,31
reveal,31
rich,31
forget,31
tribe,31
decide,31
adorn,31
gathering,31
believe,30
arrive,30
want,30
rush,30
choose,30
rustle,30
forever,30
wolf,30
orange,30
almaty,30
suddenly,30
joy,29
endless,29
sing,29
unite,29
soar,29
knowledge,29
expanse,29
altai,29
sacred,29
bridge,29
familiar,29
weight,29
swirl,29
forest,29
color,29
bright,29
curiosity,28
endlessly,28
center,28
thrive,28
deeply,28
far,27
emerge,27
away,27
essence,27
work,27
weather,27
fierce,27
nomadic,27
season,27
rhythm,27
intertwine,26
look,26
organize,26
figure,26
soul,26
gaze,26
brave,26
welcome,26
bravery,26
dawn,26
cloud,26
wonder,26
promise,26
tall,26
understanding,25
recount,25
draw,25
prepare,25
newfound,25
grandfather,25
cave,25
dombra,25
fabric,25
trial,25
intrigue,25
form,25
urge,25
quest,25
ignite,24
shimmering,24
rise,24
reflect,24
guidance,24
preserve,24
illuminate,24
field,24
pound,24
twinkle,24
tower,24
belong,24
pull,24
mountains,24
finger,23
gratitude,23
venture,23
endure,23
presence,23
sheep,23
wait,23
run,23
notice,23
mother,22
remain,22
powerful,22
rain,22
crisp,22
magic,22
vastness,22
breath,22
group,22
tend,22
ensure,22
high,22
kyz,22
join,22
arm,22
testament,21
friendship,21
true,21
need,21
test,21
foot,21
balance,21
dot,21
present,21
surface,21
embark,20
slowly,20
struggle,20
uncover,20
captivate,20
howl,20
lose,20
altar,20
fall,20
winter,20
majestic,20
curious,20
cool,20
pendant,20
daughter,20
zhibek,20
later,20
destiny,20
spread,19
sway,19
flourish,19
blend,19
awe,19
pure,19
thick,19
kyzylzhar,19
nestle,19
circle,19
autumn,19
pulse,19
beautiful,19
hero,18
thread,18
kairat,18
cliff,18
gently,18
walk,18
epilogue,18
etch,18
winds,18
purple,18
anticipation,17
silver,17
bread,17
intricate,17
threaten,17
sunlight,17
celebration,17
trust,17
identity,17
steady,17
kneel,17
different,17
clear,17
gift,17
wash,17
awaken,17
wish,17
thought,17
freedom,17
overlook,17
encourage,17
nearby,17
visit,17
ethereal,16
course,16
memory,16
dear,16
branch,16
hour,16
let,16
prove,16
plain,16
outside,16
gallop,16
herd,16
appear,16
think,16
cross,16
spring,16
bind,16
catch,16
animal,16
beckon,16
emotion,16
darkness,16
await,16
gain,16
ermek,15
renew,15
unfold,15
sight,15
glimmer,15
rock,15
gold,15
kiss,15
herder,15
ahead,15
mystical,15
distance,15
mirror,15
zhetysu,15
flower,15
peace,15
profound,15
touch,15
steep,15
snow,15
colorful,15
determine,15
beacon,15
camp,15
food,15
legendary,15
baurzhan,15
tear,15
break,15
passion,15
grassland,14
summer,14
spirited,14
racing,14
feather,14
beat,14
breathe,14
homeland,14
longing,14
khan,14
wave,14
forge,14
cherish,14
battle,14
breathtaking,14
rest,14
pack,14
azure,13
closely,13
doubt,13
wear,13
carving,13
terrain,13
glance,13
talisman,13
blue,13
settle,13
necklace,13
inside,13
strange,13
imagination,13
zhanar,13
peak,13
shift,13
eager,13
concern,13
brush,13
melodic,13
collect,13
marvel,13
cultural,13
low,13
pink,13
blessing,13
responsibility,13
bracelet,13
dry,13
pour,13
soon,13
rocky,13
cold,13
clearing,12
traveler,12
end,12
desire,12
formation,12
ground,12
triumph,12
adventurous,12
sweep,12
mythical,12
boy,12
discovery,12
expression,12
rugged,12
yearn,12
ready,12
mingle,12
realm,12
heavy,12
leader,12
mix,12
inspiration,12
bustling,12
flock,12
age,12
art,12
spark,12
creep,12
blanket,12
gust,12
modern,12
large,12
gasp,12
possess,11
awake,11
inexplicable,11
grant,11
witness,11
bird,11
carve,11
kindness,11
navigate,11
decision,11
shaman,11
note,11
respond,11
restore,11
mound,11
barely,11
vein,11
afternoon,11
sign,11
invite,11
final,11
saken,11
plan,11
enchanting,11
resolve,11
körshak,11
mean,11
tightly,11
thank,11
surprise,11
spine,11
trace,11
tablet,11
site,11
month,11
right,11
jüye,11
transcend,11
stream,11
sweet,10
softly,10
boundless,10
tremble,10
serene,10
today,10
korkyt,10
silk,10
base,10
higher,10
musician,10
moon,10
dress,10
keeper,10
aroma,10
glade,10
blossom,10
sprawl,10
calm,10
worry,10
crowd,10
greet,10
craft,10
flame,10
wall,10
freely,10
guard,10
altyn,10
fresh,10
hoof,10
neck,10
mystery,10
entity,10
nurture,10
bury,10
pick,10
warn,10
silent,10
storytelling,9
supply,9
shall,9
possibility,9
imagine,9
sudden,9
flood,9
