Noun Phrase,Count
coral reefs,34
te ava,34
pacific ocean,32
young girl,29
te niu,26
sea levels,24
heart swelling,21
sustainable practices,17
small island nation,17
warm sand,17
deep connection,16
gathering storm,15
coconut trees,13
golden glow,13
# # # # chapter,13
rising tide,12
whispering waves,12
te tahi,12
lush greenery,12
future generations,12
vibrant culture,12
young woman,12
gentle waves,11
dark clouds,11
tiny islands,11
deep breath,11
fierce storm,11
vibrant coral reefs,11
turquoise waters,10
palm trees,10
beach clean-ups,10
delicate balance,10
salty breeze,10
# # #,10
journey begins,9
vast ocean,9
azure waters,9
small island,8
banyan tree,8
fateful night,8
bare feet,8
marine biologist,8
te fale,8
marine life,8
vibrant colors,8
te fakatufono,8
aunty tui,8
wise woman,7
golden hue,7
island home,7
gentle breeze,7
educational workshops,7
coral crown,7
adventurous spirit,6
village elders,6
village chief,6
deep sense,6
small canoe,6
hard work,6
climate action,6
ocean breeze,6
te fenua,6
conch shell,6
small boat,5
woven mat,5
community hall,5
soft glow,5
salty air,5
night sky,5
community center,5
palm fronds,5
warm glow,5
traditional attire,5
coconut palms,5
bright star,5
natural barriers,5
village meeting,5
golden rays,5
fateful day,5
traditional dances,5
conservation efforts,5
beach clean-up,5
# # # chapter,5
community garden,4
wild beast,4
ancient carvings,4
sustainable future,4
young boy,4
human spirit,4
tranquil waters,4
traditional songs,4
clean-up efforts,4
woven mats,4
profound connection,4
small islands,4
whispering tides,4
vibrant flowers,4
great storm,4
community meetings,4
hearts swelling,4
pristine beaches,4
vibrant marine life,4
rich culture,4
warm light,4
vast expanse,4
young people,4
coconut tree,4
inspire others,4
sunny afternoon,4
uncertain future,4
mrs. malia,4
aunty leila,4
soft whisper,3
beautiful tapestry,3
sun dip,3
long black hair,3
evening breeze,3
familiar shores,3
new ways,3
hope ignite,3
climate crisis,3
brightest star,3
newfound determination,3
colorful decorations,3
collective spirit,3
island nations,3
sun kisses,3
ancient legends,3
bright eyes,3
small village,3
fateful evening,3
chill run,3
vast oceans,3
high tide,3
old songs,3
songs sung,3
sandy beaches,3
waves lap,3
international community,3
sun setting,3
news outlets,3
harmonious blend,3
marine biology,3
international organizations,3
damp earth,3
festival—a celebration,3
coral atolls,3
te mana,3
o te,3
innovative solutions,3
sea garden,3
coral nurseries,3
sea garden project,3
pandanus leaves,3
relentless waves,3
full moon,3
social media,3
environmental activists,3
familiar presence,3
tide pools,3
fateful afternoon,3
sea creatures,3
warm smile,3
small group,3
distant lands,3
sea goddess,3
turbulent sea,3
annual festival,3
unbreakable bond,3
wise eyes,3
golden light,3
soft sand,3
environmental stewardship,3
rich traditions,3
sun shone,3
warm embrace,3
tiny nation,3
fish populations,3
marine conservation,3
curious girl,3
urgent need,3
soft breeze,3
old days,2
island life,2
nearby island,2
new coconut trees,2
gathering supplies,2
drawing strength,2
brave souls,2
fierce storms,2
leadership role,2
stars shone,2
endless ocean,2
warm sun,2
te kake,2
powerful storm,2
future storms,2
urgent action,2
young man,2
deep respect,2
warm breeze,2
warm smiles,2
traditional food,2
shone brighter,2
coconut bread,2
coconut shells,2
tiny island nation,2
ocean speaks,2
moon cast,2
vital role,2
sustainable living,2
marine ecosystem,2
ethereal glow,2
soft whispers,2
velvet sky,2
ancient star map,2
countless hours,2
storm clouds,2
construct barriers,2
world changes,2
invite people,2
cowrie shell,2
ancient stories,2
small garden,2
setting sun,2
gentle wave,2
traditional practices,2
plant mangroves,2
climate justice,2
international conference,2
diverse audience,2
blue lagoons,2
sandy shores,2
large banyan tree,2
center stage,2
pride swelling,2
sweet scent,2
old woman,2
silver hair,2
spare moment,2
world leaders,2
familiar tug,2
ancestral traditions,2
community gathering,2
prestigious university,2
new shores,2
environmental science,2
open arms,2
palm leaves,2
proud smile,2
sea rises,2
ancient banyan tree,2
entire village,2
traditional mats,2
newfound sense,2
wooden box,2
village council,2
renewable energy,2
relentless tides,2
address climate,2
international conferences,2
vibrant fish,2
strange warmth,2
mythical creatures,2
purpose swell,2
shallow waters,2
inexplicable pull,2
voice melodic,2
vibrant coral gardens,2
brave warriors,2
colorful banners,2
vibrant tapestry,2
idyllic paradise,2
new things,2
unpredictable tides,2
distant memory,2
nearby islands,2
melodic voice,2
fragile ecosystem,2
newfound purpose,2
ancient rhythms,2
new way,2
newfound unity,2
turquoise depths,2
coral formations,2
restore balance,2
faint whispers,2
true power,2
natural beauty,2
coral reef,2
sandy paths,2
traditional foods,2
annual event,2
drawing visitors,2
modern world,2
traditional dance,2
outside world,2
profound sense,2
endless sky,2
ominous clouds,2
giant turtle,2
eternal waves,2
wise man,2
cool water,2
palm tree,2
soft melody,2
te lali,2
ti leaf crowns,2
bright colors,2
movements fluid,2
once-clear sky,2
morning sun,2
rich heritage,2
rising waters,2
new lands,2
vulnerable nations,2
small nation,2
vibrant spirit,2
lush palms,2
new land,2
final celebration,2
giant banyan tree,2
weave tales,2
environmental conservation,2
tiny archipelago,2
elderly woman,2
azure waves,2
insatiable curiosity,2
close-knit community,2
ancient navigators,2
storm cloud,2
golden sunsets,2
starlit sky,2
lush canopy,2
ominous shadow,2
cultural heritage,2
stories woven,2
small chest,2
vivid dream,2
iridescent shell,2
stars twinkle,2
distant shores,2
share stories,2
intricate patterns,2
own children,2
brown eyes,2
opalescent pearl,2
aunty talo,2
new home,2
song festival,2
brilliant hues,1
early morning,1
keen curiosity,1
ancient coconut tree,1
ancient coconuts,1
northern side,1
vibrant island,1
coconut fronds,1
island culture,1
gathering seeds,1
fierce tempest,1
coconut grove,1
old coconut tree,1
soft rustle,1
sapphire canvas,1
white sand,1
small family,1
respect nature,1
ancient map,1
skilled seamen,1
monstrous waves,1
lush island,1
ethereal silence,1
serene atmosphere,1
community gardens,1
ensure food security,1
cultural events,1
brilliant colors,1
own daughter,1
spirit—a spirit,1
reef islands,1
slender crescent,1
vibrant coral reef,1
heavy heart,1
whole life,1
cruel fate,1
such grand dreams,1
young villagers,1
vibrant dances,1
traditional festival,1
ocean—the gentle,1
audio-visual testament,1
physical world,1
collective identity,1
fragile atolls,1
village hall,1
natural disaster,1
powerful testament,1
international forums,1
countless others,1
pacific islands,1
reclaim parts,1
own heritage,1
hope intertwine,1
curious ten-year-old,1
tidal pools,1
island home—tales,1
vivid stories,1
people home,1
shiny shell,1
ancestral ways,1
intricate illustrations,1
distant lights,1
mystical star,1
brilliant star,1
storm approaches,1
own abilities,1
serene cove,1
own journeys,1
wise gaze,1
shines brightest,1
vision unfolds,1
days learning,1
newfound friends,1
brightest star—te,1
educate others,1
vibrant atmosphere,1
full glory,1
clean-up initiatives,1
sustainable ways,1
vibrant green,1
small wooden boat,1
sturdy man,1
broad smile,1
late afternoon,1
great turtle,1
small home,1
fresh fruits,1
great lantern,1
physical lantern,1
colorful flowers,1
intricate structure,1
vast night sky,1
ancestors linger,1
curious twelve-year-old,1
salty scent,1
traditional communal house,1
coconut cream,1
traditional ceremony,1
days gathering materials,1
lush trees,1
tapa cloth,1
great ocean,1
strong gust,1
ocean calls,1
silvery glow,1
shallow surf,1
ancient reefs,1
crystalline waters,1
vibrant life,1
delicate ecosystems,1
waves dance,1
ocean smiles,1
stars illuminate,1
inquisitive child,1
simple pleasures,1
unexplainable connection,1
distant points,1
great navigator,1
stormy skies,1
dark figure,1
small shoulders,1
courage swelling,1
star map,1
skilled fisherman,1
wise girl,1
stars deepen,1
gathering darkness,1
him—their unity,1
powerful defense,1
true stars,1
countless stars,1
deep traditions,1
clear waters,1
day—the moment,1
soft embrace,1
busy gathering shells,1
unexplainable pull,1
ancient songs,1
community meeting,1
tides rise,1
own memories,1
sorrowful melodies,1
vast knowledge,1
humble home,1
story—a tale,1
melodies seep,1
songs need,1
eyes alight,1
long time,1
brilliant blue sky,1
tropical flowers,1
ancient melodies,1
vibrant rhythms,1
drawing people,1
old ukulele,1
familiar melodies filling,1
cultural center,1
annual tradition,1
lay beauty—the beauty,1
16-year-old girl,1
wise village,1
shares stories,1
valuable life lessons,1
golden sand,1
fiery colors,1
familiar surge,1
recent years,1
tiny hands,1
colorful shell,1
well-trodden paths,1
thatched-roof homes,1
traditional herbs,1
white hair,1
powerful tool,1
king tides,1
small action counts,1
passive observers,1
active stewards,1
environmental preservation,1
exciting news,1
collective efforts,1
grand hall,1
small island nations,1
global action,1
curious eyes,1
dance—a dance,1
te kete,1
intricate mats,1
once-abundant lagoon,1
warm depths,1
sea gods,1
mere shadow,1
traditional pa,1
colorful wrap,1
own dances,1
powerful gust,1
own movements,1
fish abundant,1
tapestry woven,1
eternal one—a dance,1
watchful gaze,1
azure lagoons,1
silent crisis,1
perfect blend,1
cultural richness,1
urgent concern,1
thatched-roof house,1
small open-air hall,1
welcome distraction,1
somber topic,1
potential loss,1
lush green islands,1
art exhibition,1
fiery blaze,1
small community center,1
heartfelt speech,1
global climate summit,1
concrete jungles,1
faraway city,1
blossoming hope,1
climate adaptation,1
global community,1
local artists,1
vibrant canvases,1
prominent advocate,1
final piece,1
friend—a vibrant entity,1
endless azure,1
ocean floor,1
lush vegetation,1
idyllic surface,1
resilient inhabitants,1
journey intertwines,1
small house,1
usual vibrant colors,1
ocean needs,1
fellow islanders,1
clean-up days,1
educational sessions,1
scholarship program,1
bittersweet feeling,1
different parts,1
community gathering years,1
newfound knowledge,1
conservation programs,1
collective dream,1
waves whisper secrets,1
resilient people,1
playful shadows,1
wooden floor,1
open windows,1
ocean currents,1
colorful sarongs,1
dear people,1
soft voice,1
figure—a spirit,1
kind eyes,1
lullabies sung,1
people deepen,1
ocean—the lullaby,1
singular melody,1
collective voice,1
new songs,1
vibrant decorations,1
ancestors flow,1
indomitable spirit,1
early age,1
tides erode,1
horizon painting,1
whisper secrets,1
community house,1
training sessions,1
marine biologists,1
small fragments,1
vibrant reefs,1
once-quiet beaches,1
children learning,1
underwater world,1
destruction wrought,1
such powerful forces,1
climate advocacy,1
international environmental groups,1
young children,1
white sand beaches,1
golden blush,1
simple lives,1
bountiful sea,1
lush land,1
rhythmic pulse,1
siren song,1
wild curls,1
mother weave,1
box home,1
old parchment,1
elegant script,1
traditional symbols,1
luminous glow,1
silver coin,1
dark velvet,1
action—a reminder,1
world need,1
connects people,1
social media page,1
online presence,1
environmental issues,1
message reached—messages,1
unexpected visitors,1
beach cleanups,1
unexpected message—a group,1
innovative ways,1
new techniques,1
waves lick,1
new chapter,1
wind blew,1
golden sands,1
sapphire sea,1
rich marine life,1
vibrant communities,1
spirit shone brighter,1
resilient creatures,1
harsh conditions,1
blue eyes,1
extensive collection,1
cozy corner,1
colorful illustrations,1
thick book,1
rare species,1
incredible powers—legends,1
gentle nod,1
unforeseen challenge,1
collective effort,1
friendly fish,1
boundless mysteries,1
connection—between people,1
resilient starfish,1
sea kisses,1
white sandy beaches resides,1
black hair,1
grandmother recount tales,1
vibrant lagoon,1
tranquil island,1
mischievous grin,1
water feels…,1
fresh bread,1
right words,1
torches lit,1
fluid movement,1
form ethereal,1
old ways,1
annual ceremony,1
white sandy beaches,1
favorite place,1
old banyan tree,1
bright morning,1
unusual shell,1
island pristine,1
storm weeks,1
potential impact,1
water—a figure,1
baby turtle,1
tiny eyes,1
small act,1
te guardians,1
honorary guardian,1
true guardian,1
unity envelop,1
love years,1
constant companion,1
quiet afternoon,1
familiar sight—a baby turtle making,1
turtle disappear,1
azure sea kisses,1
soft sandy beaches,1
gentle rustle,1
ancient customs,1
te tasi,1
vast world,1
own stories,1
laughter rang,1
watchful eyes,1
vibrant skirts,1
floral crowns,1
friends snuck,1
usual rhythm,1
gathering materials—driftwood,1
familiar warning,1
voices solemn,1
eerie silence,1
new saplings,1
newfound appreciation,1
village carpenter,1
past journeys,1
faces aglow,1
new cultures,1
exotic fruits,1
new experience,1
familiar tales,1
amidst swells,1
fierce guardian,1
relentless grip,1
extraordinary –,1
warmth radiate,1
delicate relationship,1
distant dream,1
community clean-up efforts,1
regular meetings,1
passive force,1
stormy afternoon,1
fierce beast,1
weekly gatherings,1
conservation practices,1
powerful reminder,1
world stage,1
harmonious echo,1
pristine beach,1
rich history,1
tiny stones,1
figure —,1
golden figure,1
gathering shells,1
energy course,1
underwater gardens,1
new discovery,1
replant coral reefs,1
traditional ways,1
sustainable agriculture,1
cultivate crops,1
life —,1
rainwater collection systems,1
coastal vegetation,1
future generations inherit,1
legacy —,1
sky kisses,1
sun drapes,1
coral shores,1
simple life,1
ancient warriors,1
wide eyes,1
great need,1
brave soul,1
pure hearts,1
small woven basket,1
shell necklace,1
ancient guardians,1
inviting glow,1
deep voice,1
magnificent spirit,1
small offerings,1
newfound clarity,1
community initiative,1
small step,1
warm pulse,1
energy flow,1
coral crown shone,1
true strength,1
azure horizon,1
vibrant palette,1
profound significance,1
delicate wings,1
relentless force,1
dark skin,1
stark contrast,1
white shirt,1
wise women,1
severe storms,1
palpable sense,1
coral gardens,1
silent support,1
forgotten melody,1
ancient technique,1
sustainable materials,1
colorful lights,1
central gathering area,1
traditional dress,1
drawing attention,1
environmental organizations,1
unbreakable spirit,1
17-year-old girl,1
traditional stories,1
warm golden hue,1
familiar melody,1
people care,1
old dance,1
dance routines,1
inviting community members,1
rapt attention,1
ocean waves,1
for—a rekindling,1
informal dance sessions,1
enthusiastic students,1
new friends,1
rightful place,1
serious look crossing,1
old stories,1
long view,1
vibrant celebration,1
rich tapestry,1
traditional tunes,1
vast sky,1
rhythm—the rhythm,1
gentle caress,1
rhythmic whispers,1
ways words,1
slow erosion,1
intricate designs,1
deep blues,1
familiar landscapes,1
personal histories,1
treasure trove,1
aunty fina,1
uncle manu,1
harsh reality,1
festival day,1
stories resonate,1
majestic palm trees,1
neighbors light,1
different landscape,1
inspire hope,1
love—a reminder,1
dark hair,1
hearing stories,1
fragile ecosystems,1
childhood friend,1
silver glow,1
countless island nations,1
island transform,1
vibrant flora,1
arduous process,1
artificial reefs,1
climate resilience strategies,1
news reports,1
modern knowledge,1
peculiar sight,1
ripple effect,1
amidst adversity,1
natural disasters,1
early warning systems,1
safe houses,1
sustainable water sources,1
cultural festivals,1
modern lives,1
formidable adversary,1
hope—a testament,1
sun paints,1
eternal lullaby,1
strong community ties,1
volcanic rock,1
capital island,1
