Word,Frequency
mountain,819
story,432
heart,419
spirit,338
feel,335
village,317
share,270
journey,259
valley,256
whisper,246
eye,207
land,197
voice,190
villager,188
begin,184
tale,179
people,178
day,168
ancestor,165
listen,164
find,162
like,161
wind,150
know,147
fill,146
life,138
grandmother,137
air,132
dream,130
seek,127
echo,126
peak,125
adventure,125
young,123
say,121
sky,120
return,119
shan,117
connection,114
wisdom,113
sun,109
stand,108
tien,107
small,106
world,102
gather,101
ancient,101
speak,98
pass,98
weave,97
sense,97
learn,96
path,94
face,94
home,93
set,92
beauty,92
mountains,91
deep,91
come,89
place,87
way,85
song,84
carry,84
nature,83
kyzyl,83
old,83
step,82
grow,82
family,81
explore,81
continue,81
generation,80
river,80
tradition,79
long,78
night,78
hear,77
guide,77
laughter,77
strength,77
embrace,76
sound,76
child,76
kyrgyzstan,75
vibrant,75
secret,75
sit,74
reach,74
live,74
evening,73
dance,73
time,72
moment,72
approach,72
culture,72
love,71
turn,71
woman,71
festival,70
smile,70
race,69
discover,69
landscape,68
heritage,68
guardian,67
year,67
ak,67
understand,67
climb,67
traditional,66
take,66
hold,66
hope,65
word,65
legacy,65
courage,64
kyrgyz,64
close,64
fear,64
leave,64
yurt,62
excitement,61
man,60
morning,60
star,60
eagle,60
tapestry,60
storm,59
wildflower,59
ala,58
realize,58
reply,58
golden,58
tower,58
challenge,58
tell,57
follow,57
light,57
watch,57
community,57
honor,57
cast,56
tuu,56
water,55
inspire,55
warm,55
fire,54
bond,54
sparkle,53
call,52
new,52
open,51
great,51
bring,50
past,50
earth,50
name,50
glow,49
whispering,49
resonate,49
root,49
surround,49
horse,48
purpose,48
hue,48
curiosity,48
determination,48
change,48
crisp,48
tree,47
remember,47
nestle,47
encounter,47
vast,47
ask,47
bread,46
gentle,46
week,45
pride,45
gaze,45
alive,45
elder,44
melody,43
hide,43
decide,43
scent,43
stone,43
traveler,43
reveal,42
breath,42
title,42
paint,42
mind,41
lead,41
treasure,40
reminder,40
soar,40
look,40
believe,40
central,40
girl,40
harmony,39
lesson,39
friend,39
flow,39
hair,39
majestic,39
distant,38
welcome,38
cave,38
lake,38
joy,38
music,38
envelop,38
venture,38
steep,38
experience,37
meadow,37
weight,37
lush,37
celebrate,37
help,37
remind,37
crystal,37
storyteller,36
nod,36
finally,36
resilience,36
dark,36
horizon,36
connect,36
cliff,36
city,35
see,35
ignite,35
soft,35
true,35
dip,35
rock,35
pack,35
protect,35
importance,35
teach,35
asia,35
center,34
history,34
deeply,34
breathtaking,34
beneath,34
meet,33
power,33
forward,33
adorn,33
wise,33
clear,33
newfound,33
roam,33
higher,33
legend,33
respect,33
swell,33
future,33
want,33
breeze,32
high,32
fade,32
energy,32
shepherd,32
hidden,32
spend,31
rocky,31
erkin,31
lose,31
warmth,31
sacred,31
dawn,31
wish,30
prepare,30
gratitude,30
urge,30
transform,30
stumble,30
promise,30
surge,29
rise,29
unity,29
wild,29
shape,29
rustle,29
intertwine,29
season,28
presence,28
edge,28
recount,28
fabric,28
familiar,28
create,28
travel,28
rush,28
suu,28
reflect,28
thrive,27
brave,27
hand,27
rugged,27
hour,27
essence,27
thought,27
sing,27
let,27
twinkle,27
stream,27
rich,27
knowledge,27
away,27
soul,27
shadow,27
color,26
intently,26
destiny,26
uncover,26
terrain,26
play,26
creature,26
sheep,26
strong,25
father,25
tear,25
organize,25
hill,25
vision,25
forever,25
arrive,25
hero,24
cool,24
beautiful,24
suddenly,24
glade,24
treacherous,24
eager,24
altyn,24
embark,24
trail,24
far,24
softly,23
anticipation,23
spirited,23
gathering,23
wide,23
break,23
symbol,23
arm,23
tall,23
snow,23
awe,23
silver,23
wander,22
balance,22
pound,22
foot,22
pull,22
orange,22
figure,22
celebration,22
view,22
understanding,22
captivate,22
bright,22
blue,22
draw,22
cloud,22
overlook,22
rhythm,22
flower,22
mix,22
group,22
sunlight,22
outside,21
homeland,21
forge,21
quest,21
wonder,21
keeper,21
think,21
breathtake,21
bridge,21
struggle,21
descend,21
join,21
autumn,21
shimmer,21
emerge,21
narrow,20
gift,20
identity,20
nearby,20
ready,20
testament,20
thread,20
greet,20
tend,20
racing,20
field,20
forest,20
work,20
weather,20
inside,20
unite,20
trek,19
kairat,19
mythical,19
resolve,19
present,19
cross,19
fall,19
illuminate,19
intrigue,19
determine,19
wait,19
art,19
press,19
nomadic,18
freedom,18
bravery,18
test,18
tribe,18
wash,18
flock,18
sai,18
renew,18
warrior,18
need,18
shift,18
navigate,18
bird,18
preserve,18
epilogue,18
bag,18
silk,18
dry,18
thin,18
loom,17
discovery,17
walk,17
pulse,17
mingle,17
bakyt,17
thick,17
traverse,17
rain,17
