Word,Frequency
ocean,725
heart,477
sea,345
feel,324
story,321
wave,316
spirit,293
island,282
water,261
village,260
ancestor,242
day,205
villager,201
shore,195
eye,195
begin,194
voice,189
share,189
shell,186
like,177
sun,174
whisper,170
know,166
storm,161
journey,137
listen,137
home,135
horizon,135
star,132
learn,129
guide,128
gather,126
connection,124
grandmother,122
wind,121
fill,120
adventure,120
tale,116
canoe,115
set,114
pass,114
life,113
people,113
dream,111
beach,110
find,109
return,106
come,106
race,101
child,100
face,99
sail,99
stand,99
young,96
sky,95
dance,95
live,94
hold,93
generation,93
conch,91
echo,87
evening,87
respect,87
deep,86
speak,86
love,86
vibrant,85
sense,85
air,84
small,84
night,83
grow,83
song,83
say,81
explore,80
tide,79
understand,79
strength,78
turn,78
sound,77
way,75
teach,75
community,74
seek,74
wisdom,74
world,74
continue,74
culture,73
tūī,73
tapa,73
embrace,73
gentle,72
protect,71
approach,71
guardian,71
excitement,70
honor,70
close,70
legacy,70
year,68
ancient,68
tell,68
watch,68
festival,68
time,67
navigate,67
laughter,66
weave,66
long,65
moment,65
tree,65
hope,65
smile,64
girl,64
hand,64
carry,63
fish,63
secret,63
land,63
bond,63
light,62
family,61
name,61
coral,61
pride,60
great,60
tongan,60
sit,60
hear,59
crash,58
beauty,58
beneath,57
fear,57
place,57
importance,57
remember,56
vast,56
cast,56
heritage,56
elder,54
determination,54
tradition,54
call,53
word,53
boat,53
discover,53
sand,53
navigator,52
hair,52
inspire,52
week,51
power,51
new,51
past,50
courage,49
adorn,49
friend,49
paddle,49
tonga,48
surround,48
old,48
reminder,48
rhythm,48
pacific,48
future,48
sparkle,48
cave,47
warm,47
work,46
paint,46
dark,46
energy,46
realize,46
glow,46
prepare,46
reach,45
lesson,45
man,45
shimmer,45
title,45
nature,45
color,44
depth,44
take,44
golden,43
symbol,43
dip,43
knowledge,43
surface,43
spend,43
sing,42
swell,42
alive,42
reef,42
morning,42
open,41
rise,41
see,41
legend,41
lush,41
ask,41
calm,40
dawn,40
gift,40
hue,39
change,39
strong,39
challenge,39
step,39
suddenly,39
joy,39
follow,39
surge,39
resonate,39
unity,38
woman,38
father,38
look,38
bring,37
notice,37
beautiful,36
balance,36
purpose,36
help,36
nod,35
soft,35
reply,35
curiosity,35
warmth,35
emerge,35
leave,34
flower,34
fishing,34
flow,34
creature,34
gaze,34
figure,34
harmony,34
cloud,34
belong,34
melody,34
finally,33
orange,33
sacred,33
envelop,33
fisherman,32
reveal,32
lose,32
kiss,31
loto,31
venture,31
create,31
celebrate,31
want,31
twinkle,30
mind,30
treasure,30
true,30
nestle,30
forward,30
lead,30
carving,29
guidance,29
experience,29
gratitude,29
newfound,29
fade,29
foot,29
tapestry,29
hihifo,29
wonder,29
illuminate,29
grandfather,29
resilience,29
ensure,29
encounter,28
far,28
transform,28
thrive,28
arrive,28
intently,28
presence,28
familiar,27
meet,27
breeze,27
pink,27
deeply,27
gently,27
let,27
brave,27
wise,27
remind,27
weight,26
current,26
pearl,26
forever,26
scent,26
bravery,26
steady,26
pull,26
traditional,26
chaos,26
daughter,25
urge,25
catch,25
distant,25
think,25
epilogue,25
later,25
need,25
weather,24
celebration,24
remain,24
draw,24
howl,24
mystery,24
welcome,24
skill,24
intricate,24
stumble,24
away,24
hide,24
trust,24
swam,23
distance,23
blue,23
path,23
rock,23
threaten,23
powerful,23
break,23
connect,23
wide,23
beacon,23
green,23
forge,23
clear,23
rush,23
art,23
adventurous,23
pulse,23
promise,23
hidden,22
ready,22
center,22
wait,22
haʻapai,22
understanding,22
hour,22
believe,22
course,22
voyage,22
wash,22
te,22
fateful,22
responsibility,22
pound,22
fight,22
fierce,22
skin,21
lap,21
reflect,21
history,21
essence,21
ignite,21
profound,21
fall,21
mix,21
collect,21
palm,21
decide,21
pattern,21
practice,20
restore,20
colorful,20
craft,20
whale,20
god,20
expression,20
tear,20
intrigue,20
heartbeat,20
voyager,20
ear,20
school,20
turquoise,20
fire,20
tremble,19
play,19
darkness,19
shadow,19
net,19
storyteller,19
tranquil,19
breath,19
spot,19
cloth,19
blessing,19
awe,19
rich,19
test,19
shout,19
peace,19
gasp,19
anticipation,19
teaching,19
edge,19
skilled,19
read,19
mother,19
flame,19
cool,18
afternoon,18
organize,18
rage,18
recount,18
melodic,18
soon,18
roar,18
shimmering,18
tongatapu,18
lagoon,18
intertwine,18
magic,18
heavy,18
finger,18
coconut,18
glimmer,17
bark,17
piece,17
waves,17
cherish,17
stone,17
instinct,17
wander,17
thick,17
possess,17
run,17
captivate,17
warrior,17
ray,17
dear,17
glisten,17
pick,17
explain,17
tōma,17
unite,17
goddess,17
choose,16
shape,16
mako,16
wild,16
recognize,16
bright,16
present,16
boy,16
greet,16
south,16
pūea,16
testament,16
blend,16
join,16
azure,16
sunlight,16
unbreakable,16
danger,16
tower,16
exclaim,16
vessel,16
magnificent,16
concern,16
shine,16
flicker,16
etch,15
gathering,15
force,15
passion,15
secure,15
deepen,15
fabric,15
leader,15
softly,15
emotion,15
arm,15
determined,15
respond,15
month,15
ethereal,15
exploration,15
offer,15
tightly,15
form,15
sione,15
soul,15
eia,15
shift,15
thought,15
warn,15
low,15
sandy,14
crown,14
climb,14
tides,14
endure,14
keeper,14
falealili,14
renew,14
vision,14
cove,14
search,14
mean,14
prove,14
beckon,14
violently,14
source,14
flourish,14
supply,14
beat,14
barely,14
shade,14
declare,14
imagine,14
reverence,13
creep,13
grandma,13
cliff,13
bridge,13
erupt,13
widen,13
dare,13
treacherous,13
hill,13
mingle,13
battle,13
entity,13
salt,13
sway,13
strange,13
expanse,13
root,13
stay,13
underwater,13
navigation,13
lapping,13
raise,13
unlike,13
clutch,13
show,13
tafa,13
altar,13
near,13
cultural,13
thank,13
vaka,13
cradle,13
loom,13
thrill,13
appear,13
destiny,12
mokofisi,12
wall,12
fruit,12
motu,12
stroke,12
moonlight,12
resolve,12
high,12
struggle,12
unusual,12
trial,12
awake,12
bird,12
head,12
relief,12
confidence,12
brew,12
bury,12
following,12
rain,12
movement,12
despite,12
forget,12
inspiration,12
box,12
temp,12
discovery,12
spark,12
preserve,12
landscape,12
glide,12
depict,12
pique,12
alongside,12
spread,12
moon,12
weaving,12
effort,12
ete,12
worry,12
point,12
forest,12
sweep,11
soar,11
crystal,11
restless,11
subside,11
half,11
salty,11
rally,11
push,11
rocky,11
large,11
calling,11
cheer,11
vein,11
wish,11
waterfall,11
inside,11
answer,11
quest,11
yes,11
map,11
lofanga,11
eager,11
tall,11
walk,11
design,11
outside,11
swirl,11
music,11
feast,11
whispering,11
earth,11
truly,11
chief,11
vow,11
allow,11
fata,11
friendship,11
rhythmic,11
hibiscus,10
longing,10
farewell,10
visit,10
build,10
yearn,10
sustain,10
dart,10
meeting,10
plan,10
hiva,10
role,10
protector,10
travel,10
gold,10
radiant,10
clean,10
gain,10
support,10
greenery,10
marine,10
uncover,10
lineage,10
await,10
tufunga,10
desire,10
sudden,10
pour,10
memory,10
sight,10
beautifully,10
spirited,10
gracefully,10
anchor,10
shoulder,10
eternity,10
body,10
represent,10
respected,10
training,10
koko,10
mahi,10
line,10
sunset,10
tūīnū,10
tamaso,10
rebuild,10
annual,10
focus,10
bind,10
identity,10
ah,10
pure,10
racing,10
malakai,10
brush,10
panic,10
fury,10
significance,10
end,10
master,9
overhead,9
curious,9
age,9
transcend,9
legendary,9
crowd,9
mixture,9
unwavering,9
roam,9
tirelessly,9
nani,9
good,9
decision,9
realm,9
revere,9
unfold,9
blossom,9
atmosphere,9
sink,9
mysterious,9
mere,9
carve,9
wooden,9
ago,9
shoreline,9
determine,9
grip,9
turtle,9
food,9
roll,9
overwhelming,9
give,9
seashell,9
bubble,9
endless,9
little,9
tropical,9
wade,9
pause,9
lifuka,9
beginning,9
sweet,9
dolphin,9
sign,9
dive,9
ominously,9
willing,9
unpredictable,9
nurture,9
carefully,9
buzz,8
rustle,8
kingdom,8
event,8
final,8
rest,8
embark,8
awaken,8
prayer,8
darken,8
wood,8
hang,8
bounty,8
recall,8
instruct,8
mentor,8
insatiable,8
emerald,8
communicate,8
diamond,8
cascade,8
teem,8
banyan,8
purple,8
debris,8
matriarch,8
harmonize,8
trace,8
free,8
hōfoa,8
stretch,8
flickering,8
coastline,8
ordinary,8
closely,8
paradise,8
environment,8
impending,8
move,8
invader,8
brightly,8
tempest,8
silver,8
cry,8
peculiar,8
envision,8
frangipani,8
sustainable,8
finish,8
audience,7
turbulent,7
freedom,7
plant,7
sailing,7
duty,7
engulf,7
examine,7
soothing,7
tefahi,7
exhilaration,7
enter,7
untouched,7
destine,7
smooth,7
