Word,Frequency
story,423
heart,392
village,330
baobab,316
feel,265
spirit,255
share,231
tree,216
voice,192
dream,187
villager,177
day,172
eye,171
begin,167
community,165
people,163
stand,154
child,151
know,148
life,143
like,142
festival,142
whisper,142
air,141
abidjan,141
forest,139
fill,136
sun,135
ancestor,131
vibrant,130
echo,125
journey,123
listen,119
come,118
gather,118
city,114
dance,113
music,113
find,113
learn,112
culture,111
land,108
laughter,108
face,107
tale,105
world,104
say,104
young,103
sound,100
wisdom,99
hope,95
speak,92
rhythm,92
elder,92
set,92
weave,91
generation,85
art,84
sense,84
continue,83
new,81
smile,81
drum,80
night,80
approach,79
year,79
future,78
play,78
time,77
turn,77
return,76
street,76
pass,76
home,75
inspire,75
grow,75
evening,74
excitement,74
love,74
unity,72
light,72
root,72
small,71
word,71
sit,70
tell,69
take,69
friend,69
leave,69
hear,69
beneath,68
seek,68
power,67
côte,67
woman,67
race,67
moment,66
deep,66
tradition,65
place,65
whispering,65
heritage,64
create,64
joy,63
embrace,63
fear,62
tapestry,62
work,62
connection,62
past,62
family,61
way,61
understand,61
old,61
pride,60
cast,60
yamoussoukro,60
step,60
grandmother,59
adventure,59
hold,59
local,59
change,59
sky,58
color,57
ask,56
resilience,56
guide,56
horizon,55
resonate,55
hand,55
ancient,54
importance,54
live,53
beat,53
let,53
watch,52
close,52
beauty,52
paint,52
realize,52
call,52
legacy,52
adorn,51
want,51
celebrate,50
long,50
ivorian,50
crowd,50
warm,49
passion,49
strength,49
alive,49
help,48
celebration,48
mama,48
branch,48
title,47
week,47
sparkle,47
follow,47
carry,47
shadow,46
thrive,46
fabric,46
name,46
market,45
traditional,45
dip,44
wide,44
believe,44
secret,43
hue,43
great,43
bring,43
struggle,43
determination,43
lesson,42
arrive,42
man,42
teach,42
curiosity,42
guardian,42
nod,41
history,41
honor,41
bond,41
swell,40
river,40
challenge,40
center,40
path,40
connect,40
colorful,39
reminder,39
flow,39
earth,39
ignite,39
tall,38
wind,38
kouadio,38
see,38
explore,38
father,37
golden,37
reply,37
star,37
lush,37
glow,37
artist,37
girl,37
need,37
breeze,36
energy,36
palm,36
showcase,36
finally,36
true,36
organize,36
bustling,36
lose,36
symbol,35
storyteller,35
rich,35
thick,35
decide,35
rustle,34
surround,34
water,34
reach,34
experience,34
weight,34
transform,34
purpose,33
courage,33
treasure,33
spend,33
melody,33
walk,33
practice,33
vision,33
promise,33
join,33
look,32
meet,32
group,32
gentle,32
lagoon,31
lead,31
mother,31
strong,31
protect,31
reflect,31
stage,31
remind,31
envelop,31
nature,30
respect,30
remember,30
testament,30
essence,30
identity,30
grove,30
figure,29
support,29
mind,29
open,29
discover,29
djembe,28
trunk,28
captivate,28
familiar,28
wish,28
fade,28
gathering,27
trial,27
flourish,27
song,27
twinkle,27
expression,27
pulse,27
wash,27
afternoon,27
aroma,27
forward,27
notice,27
movement,27
soon,26
distant,26
storm,26
travel,26
welcome,26
audience,26
warmth,26
breath,26
presence,26
venture,25
urge,25
tear,25
musician,25
cultural,25
month,25
flower,25
competition,25
sacred,25
soft,25
mountain,25
prepare,25
beautiful,25
knowledge,25
scent,25
dawn,25
pour,25
workshop,24
witness,24
think,24
far,24
pound,24
illuminate,24
performance,24
blend,24
move,24
later,24
arm,24
wave,24
anticipation,24
heartbeat,24
capture,23
intently,23
beginning,23
fall,23
storytelling,23
artisan,23
gratitude,23
good,23
green,23
hill,22
sustainable,22
suddenly,22
emerge,22
deeply,22
ensure,22
plan,22
event,22
meeting,22
seed,22
bird,22
unite,21
piece,21
ground,21
different,21
