story_id,sentiment,confidence,model,date
SS_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_3,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_5,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_6,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_7,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_8,surprise,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_10,fear,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_11,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_12,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_16,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_17,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_18,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_19,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_21,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_22,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_24,sadness,0.67,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_26,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_27,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_28,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_29,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_30,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_31,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_34,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_35,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_37,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_38,fear,0.41,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_43,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_47,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_48,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SS_50,sadness,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
