Word,Frequency
feel,1052
mikhail,756
heart,728
voice,710
life,665
like,615
find,595
eye,552
ivan,551
chapter,530
past,527
anna,505
shadow,463
air,457
story,450
stand,428
anton,417
whisper,409
weight,409
echo,398
face,390
city,383
love,379
say,379
begin,371
winter,363
long,358
turn,350
fill,347
day,346
man,344
leave,342
share,340
laughter,335
snow,330
hope,330
village,326
step,323
word,323
come,317
world,308
light,307
dream,297
memory,297
time,290
nikolai,290
warmth,288
lose,288
reply,284
moment,277
know,276
old,269
dmitri,268
anya,263
mother,255
spirit,248
sense,243
return,242
evening,241
way,241
night,240
place,240
fear,237
street,233
new,230
change,227
hand,224
cold,222
home,221
embrace,216
speak,213
father,208
small,207
family,205
beneath,202
ask,202
take,200
think,195
smile,189
year,187
look,185
want,184
alexei,183
gaze,177
forest,175
heavy,173
future,173
silence,170
away,169
tree,168
flicker,167
woman,167
grow,166
sergei,164
sun,163
hold,162
wind,162
break,160
close,159
letter,158
river,157
people,156
promise,155
villager,155
breath,152
seek,151
walk,151
thought,150
sound,145
elena,145
week,145
petersburg,142
outside,142
approach,141
pass,141
sit,139
let,139
need,138
house,137
deep,136
race,136
understand,135
cast,135
fade,135
pull,135
train,134
room,133
tale,133
town,132
scent,132
thick,129
fall,128
lie,127
dance,126
path,125
paint,125
door,124
connection,124
settle,124
wall,124
open,123
familiar,123
ignite,122
figure,122
friend,120
gather,120
secret,119
truth,117
watch,117
live,117
chaos,116
child,116
beauty,115
expression,115
journey,115
viktor,114
linger,114
carry,113
presence,112
haunt,111
childhood,111
sky,110
window,110
mind,109
fire,109
chill,108
follow,108
dark,107
tear,106
reminder,105
edge,105
spend,104
fight,104
draw,104
crowd,104
inside,103
forward,103
ghost,103
weave,103
andrei,103
reach,102
darkness,102
reveal,102
press,101
warm,101
title,100
hear,99
bring,99
spring,98
struggle,98
dawn,98
transform,97
write,97
remain,97
loss,97
nod,97
choice,96
tell,96
determination,96
wooden,95
remember,95
continue,95
work,95
call,94
forget,93
realize,93
rise,93
surge,92
catch,92
listen,92
community,92
vibrant,91
finally,91
wander,91
anastasia,90
distant,88
sorrow,88
see,88
search,86
revolution,84
joy,84
envelop,84
history,83
alive,83
pain,82
natasha,81
soul,81
purpose,80
hesitate,80
loom,80
help,80
bond,80
art,79
glow,79
hair,79
resilience,79
set,79
bury,79
urge,79
shoulder,78
landscape,78
shift,77
believe,76
burden,76
flow,75
run,75
steady,75
horizon,74
barely,74
hang,74
petrovich,74
soft,73
escape,73
create,73
young,72
try,72
surface,72
yulia,72
meet,72
amidst,71
mean,71
conversation,70
forge,70
line,70
emotion,69
moscow,69
ready,69
power,69
late,69
legacy,68
confront,68
curiosity,68
learn,68
gathering,67
tapestry,67
maria,67
softly,67
illuminate,67
despair,66
bright,66
deeply,66
arrive,66
far,66
table,66
white,65
surround,65
move,65
cloud,65
solace,64
coat,64
join,63
morning,63
wood,63
frost,63
build,63
sparkle,63
guide,63
play,63
beginning,63
resonate,63
melt,62
flood,62
corner,62
earth,62
blanket,62
grandmother,62
tremble,62
testament,62
katya,62
emerge,61
quiet,61
strength,61
café,60
wait,60
ground,60
garden,60
rush,59
storm,59
finger,59
water,59
dust,59
swirl,58
honor,57
mix,57
read,57
lead,57
tension,57
bind,57
replace,57
hour,57
deepen,56
shake,56
capture,56
soldier,56
end,55
lift,55
spine,55
etch,55
choose,55
shout,55
stranger,54
peace,54
passion,54
wash,54
low,54
shape,53
wrap,53
belong,53
chest,53
birch,53
friendship,53
wear,53
reality,53
pound,53
breathe,52
uncertainty,52
intertwine,52
pierce,52
pavel,52
go,52
flame,52
ahead,52
tea,51
bear,51
mingle,51
hue,51
protest,51
square,51
remnant,51
color,51
despite,50
longing,50
excitement,50
different,50
foot,50
youth,50
photograph,50
grip,49
neva,49
stay,49
golden,49
understanding,49
depth,49
glance,49
reflect,49
pine,49
mixture,49
dip,49
crisp,48
epilogue,48
yes,48
star,48
liza,48
possibility,48
land,47
blossom,47
notice,47
war,47
drift,47
push,47
strike,47
rhythm,46
encounter,46
course,46
regret,46
essence,46
ice,46
erupt,46
arrival,46
yelena,46
tall,46
clearing,46
creak,45
racing,45
good,45
creep,45
explore,45
melody,45
spark,45
stare,45
thread,45
distance,45
root,45
freedom,44
beautiful,44
cry,44
energy,44
slowly,44
well,44
age,44
lean,44
branch,44
grand,44
shroud,44
happen,43
free,43
resolve,43
weather,43
heavily,43
fresh,43
venture,43
hide,43
answer,43
music,43
page,43
dim,43
send,43
afternoon,43
piece,43
arm,43
dimly,43
visit,42
later,42
layer,42
allow,42
head,42
form,42
discover,42
month,42
decision,41
talk,41
strong,41
concern,41
artist,41
pour,41
palace,41
dear,41
chance,41
truly,40
canvas,40
adventure,40
threaten,40
narrow,40
confess,40
stumble,40
dread,40
adorn,40
unspoken,40
gently,40
group,40
pale,40
force,39
sight,39
raise,39
surprise,39
cover,39
building,39
transcend,39
clung,39
apartment,39
cloak,39
expectation,39
captivate,39
grief,39
howl,39
great,38
anticipation,38
crackle,38
confrontation,38
forever,38
thing,38
consume,38
enter,38
lip,38
merely,38
stir,38
zarechye,38
station,38
hint,37
book,37
modest,37
courage,37
nostalgia,37
church,37
unfold,37
icy,37
bloom,37
shiver,37
crumble,37
glisten,37
experience,37
season,37
boy,37
newfound,37
crunch,36
anger,36
uncover,36
ivanovich,36
prepare,36
sweep,36
soften,36
blur,36
study,36
ache,36
feeling,36
instead,36
fate,35
painting,35
fabric,35
brush,35
silent,35
ancient,35
question,35
admit,35
generation,35
throat,35
autumn,35
skin,35
exclaim,35
urgency,35
wide,35
gentle,35
turmoil,35
gray,35
offer,34
seat,34
vasily,34
echoes,34
laugh,34
remind,34
firm,34
pause,34
cheek,34
meeting,34
intrigue,34
center,34
shadows,34
betrayal,33
shine,33
boris,33
strange,33
feature,33
tone,33
slip,33
plan,33
vladimir,33
awaken,33
bread,33
vast,33
murmur,33
hall,32
shimmer,32
boot,32
frozen,32
greet,32
suddenly,32
shatter,32
glimmer,32
existence,32
stillness,32
contrast,32
fervor,32
invite,32
backdrop,32
tide,32
estate,32
bone,32
fog,32
sink,32
smell,32
unwavering,32
solitude,32
tightly,32
alexander,32
pulse,32
platform,32
writer,31
pen,31
pride,31
recognize,31
thank,31
cup,31
russian,31
wound,31
alexandra,31
welcome,31
mere,31
swell,31
endure,31
give,30
cobblestone,30
human,30
unknown,30
sacrifice,30
snowflake,30
faint,30
smoke,30
frame,30
danger,30
desire,30
fragile,30
field,30
soon,30
stop,30
vera,30
renew,29
exchange,29
carve,29
movement,29
reclaim,29
restless,29
crack,29
bridge,29
girl,29
matter,29
atmosphere,29
ah,29
recount,29
navigate,29
hard,29
bite,29
weary,29
petrov,29
space,29
student,28
harsh,28
anatoly,28
bustling,28
summer,28
ashe,28
flickering,28
bank,28
present,28
witness,28
wave,28
lena,28
glass,28
ambition,28
journal,28
worn,28
trembling,27
alina,27
visible,27
knock,27
kind,27
sunlight,27
doubt,27
mirror,27
spread,27
feodor,27
appear,27
townsfolk,27
evgeny,27
body,27
moonlight,27
reverie,27
comfort,27
local,27
right,27
wish,26
box,26
tavern,26
tomorrow,26
drive,26
stark,26
expect,26
fleeting,26
inspire,26
name,26
simple,26
panic,26
define,26
nestle,26
demand,26
bustle,26
ancestor,26
healing,25
death,25
craft,25
oleg,25
rumor,25
vision,25
inexplicable,25
peel,25
hidden,25
saint,25
travel,25
frigid,25
seep,25
warn,24
battle,24
vysotsk,24
unite,24
palpable,24
large,24
writing,24
sanctuary,24
stretch,24
thrive,24
rally,24
little,24
protect,24
rest,24
stone,24
mark,24
dress,24
tattered,24
confine,24
rekindle,24
tinge,24
rattle,24
silver,24
chuckle,24
intently,24
kaluga,24
sharp,24
festival,24
dare,23
son,23
steppe,23
reflection,23
gnaw,23
anew,23
glint,23
living,23
merchant,23
touch,23
sign,23
declare,23
scarf,23
apart,23
countless,23
louder,23
gesture,23
twinkle,23
ago,23
mist,23
lay,23
russia,22
spill,22
unease,22
vanya,22
final,22
desperation,22
refuge,22
poet,22
specter,22
receive,22
nastya,22
nadia,22
worry,22
dmitry,22
literature,22
extinguish,22
slightly,22
tug,22
tie,22
decade,22
chase,22
mischief,22
paper,22
point,22
wonder,22
miss,22
bittersweet,22
hill,22
lace,22
flee,21
introduce,21
recognition,21
organize,21
melancholy,21
collection,21
flourish,21
symbol,21
today,21
aside,21
gasp,21
ring,21
spot,21
pick,21
rich,21
drown,21
worth,21
risk,21
action,21
carriage,21
cut,21
flush,21
awake,21
near,21
irina,20
start,20
altar,20
cascade,20
nearby,20
blue,20
structure,20
lesson,20
amid,20
thirty,20
keep,20
fateful,20
konstantin,20
unrest,20
tight,20
candle,20
interrupt,20
lantern,20
departure,20
guard,20
trudge,20
absence,20
fierce,20
hearth,20
muffle,20
celebrate,20
decide,20
portrait,20
consequence,20
news,20
hush,20
buzz,20
riverbank,20
silhouette,19
weigh,19
ear,19
song,19
narrative,19
destiny,19
footstep,19
act,19
parent,19
twist,19
quicken,19
burn,19
suffocate,19
fragment,19
obscure,19
traveler,19
unravel,19
knowledge,19
rebellion,19
bell,19
baba,19
tend,19
cautiously,19
orange,19
particularly,19
witch,19
justice,19
defiance,19
ethereal,19
oak,19
support,19
poem,19
early,19
adrenaline,19
laden,19
relentless,19
whispering,18
dangerous,18
neighbor,18
hollow,18
tighten,18
somber,18
trap,18
clear,18
price,18
regime,18
mystery,18
nurture,18
delicate,18
swallow,18
flower,18
unfulfilled,18
suffer,18
suggest,18
brim,18
taste,18
profound,18
siberia,18
treasure,18
counter,18
desk,18
kirill,18
hardship,18
afraid,18
safety,18
eager,18
darken,18
aroma,18
celebration,18
daria,18
inspiration,18
sway,18
freeze,18
ember,18
emperor,18
discussion,18
duty,18
kitchen,18
mote,18
wisdom,18
beard,18
idea,18
sadness,18
scar,18
immerse,18
gallery,17
save,17
teach,17
throng,17
invitation,17
gold,17
market,17
meal,17
biting,17
volkov,17
elderly,17
guilt,17
challenge,17
reckoning,17
abandon,17
ivanovo,17
unsettling,17
sigh,17
will,17
petrovna,17
cabin,17
care,17
serve,17
ripple,17
beacon,17
charge,17
stomach,17
cost,17
discontent,17
waft,17
deserve,17
yellow,17
entrance,17
floor,17
rustle,17
pang,16
stroke,16
determined,16
clutch,16
lurk,16
countryside,16
ignore,16
self,16
die,16
refuse,16
moon,16
awakening,16
kneel,16
relief,16
insist,16
widen,16
high,16
connect,16
unity,16
sprawl,16
envision,16
willing,16
discuss,16
fellow,16
sasha,16
officer,16
triumph,16
trace,16
grave,16
radiant,16
loneliness,16
happiness,16
stream,16
leonid,16
green,16
unsure,16
cherish,16
explain,16
relic,16
key,16
poetry,16
foreign,16
breeze,16
grandfather,16
current,16
electric,15
clarity,15
aftermath,15
kiss,15
burst,15
bitterness,15
guardian,15
imagine,15
blend,15
fully,15
nature,15
true,15
trunk,15
thin,15
fading,15
desperate,15
ray,15
chant,15
track,15
halt,15
fuel,15
tragedy,15
bakery,15
aspiration,15
conviction,15
petrovka,15
hat,15
maybe,15
ivanov,15
familiarity,15
galina,15
sretensk,15
wife,15
attend,15
extend,15
quickly,15
expanse,15
dull,15
fail,15
wrong,15
brow,15
sentinel,15
descend,15
furniture,15
nina,15
revolutionary,14
claim,14
interior,14
thicken,14
elude,14
screech,14
bitter,14
dissent,14
recall,14
midst,14
passionate,14
tumultuous,14
game,14
dictate,14
finish,14
thrill,14
unexpected,14
encouragement,14
balm,14
huddle,14
opportunity,14
instinct,14
thaw,14
rebuild,14
trepidation,14
march,14
petushki,14
curl,14
prison,14
disbelief,14
vanish,14
sing,14
symphony,14
gratitude,14
overwhelming,14
lake,14
steam,14
bundle,14
snowy,14
careful,14
brew,14
tonight,14
forgiveness,14
emptiness,14
volga,14
outskirt,14
relationship,14
scatter,14
sister,14
warning,14
whirlwind,14
daughter,14
steal,14
grace,14
gift,14
make,14
bed,14
vulnerability,14
neglect,14
tradition,14
glimpse,14
ink,14
flash,14
slumber,13
woolen,13
borscht,13
political,13
neck,13
grapple,13
consider,13
alongside,13
enthusiasm,13
easily,13
message,13
pique,13
youthful,13
damp,13
observe,13
haunting,13
ominously,13
peer,13
forgive,13
desolate,13
forth,13
filter,13
society,13
safe,13
roof,13
brave,13
nearly,13
knot,13
tumble,13
release,13
recede,13
respond,13
sweet,13
lamp,13
scan,13
labyrinth,13
unfamiliar,13
workshop,13
complexity,13
sip,13
facade,13
porch,13
endless,13
trust,13
belief,13
carefully,13
await,13
mask,13
image,13
groan,13
suitcase,13
cross,13
elegant,13
alley,12
fur,12
worker,12
breathless,12
sea,12
foreboding,12
source,12
inn,12
chain,12
pink,12
heal,12
library,12
resolute,12
expose,12
brightly,12
decay,12
address,12
revelation,12
proud,12
architecture,12
belonging,12
constant,12
cause,12
frosty,12
baked,12
illness,12
nevsky,12
redemption,12
applause,12
engulf,12
reason,12
selo,12
tsarskoye,12
compel,12
renewal,12
velikiy,12
violence,12
glad,12
collective,12
era,12
misha,12
lock,12
pines,12
beckon,12
note,12
verkhoyansk,12
demeanor,12
zelenogorsk,12
half,12
dissolve,12
overlook,12
drape,12
engage,12
seed,12
simply,12
leningrad,12
show,12
sokolovka,12
cottage,12
overshadow,12
one,12
oppression,12
passage,12
strain,12
authority,12
cool,12
dreamer,12
solitary,12
comforting,12
bathe,12
survival,12
pursuit,12
exhibition,11
kazan,11
grab,11
success,11
stage,11
surrender,11
chord,11
eerie,11
dacha,11
vyshegorod,11
liberation,11
tumult,11
unyielding,11
tsar,11
