Noun Phrase,Count
young girl,32
addis ababa,25
small village,21
journey begins,19
deep breath,19
vibrant colors,18
young woman,17
own stories,15
open arms,15
rock-hewn churches,13
heart swelling,13
warm glow,12
ancient city,12
distant lands,11
golden hue,11
baobab tree,11
night sky,11
wise woman,10
deep connection,10
# # # # chapter,10
insatiable curiosity,9
ancient tree,8
village square,8
coffee beans,7
intricate patterns,7
deep sense,7
ancient ruins,7
small bag,6
warm embrace,6
elderly man,6
intricate carvings,6
gentle breeze,6
rich history,6
old man,6
soft melody,6
# # # #,6
stark contrast,6
young man,6
old woman,6
silver hair,6
vibrant tapestry,6
elderly woman,6
bright eyes,6
long shadows,6
faraway lands,5
unbreakable bond,5
vibrant markets,5
deep brown eyes,5
own path,5
golden glow,5
# # #,5
hard work,5
rich tapestry,5
ancient town,5
true essence,5
nearby town,5
countless stories,5
profound sense,5
warm smile,5
future generations,5
wise leader,5
lush valleys,5
adi aser,5
true treasure,4
inspire others,4
familiar sights,4
lush greenery,4
twinkle overhead,4
indomitable spirit,4
newfound determination,4
hearts swelling,4
woven baskets,4
rough bark,4
young boy,4
new ways,4
ancient traditions,4
ancient carvings,4
gathering storm,4
crisp morning,4
dense forests,4
legacy continues,4
rocky terrain,4
tapestry woven,4
adventurous spirit,4
small satchel,4
ancient spirits,4
golden rays,4
ethiopian highlands,4
air thick,4
fresh injera,4
ancient texts,4
ancient stones,4
profound connection,4
golden hues,4
abba tesfaye,4
bid farewell,4
skilled weaver,3
ancient wisdom,3
starlit sky,3
familiar paths,3
full moon,3
vibrant wildflowers,3
ancient rock-hewn churches,3
long forgotten,3
voice melodic,3
colorful threads,3
lush highlands,3
verdant valleys,3
village elders,3
sycamore tree,3
new ideas,3
stone walls,3
traditional music,3
gentle murmur,3
gentle smile,3
danakil depression,3
narrow streets,3
lush landscapes,3
golden light,3
full circle,3
inexplicable pull,3
ancient oak tree,3
soft breeze,3
ancient kings,3
rapt attention,3
village life,3
integral part,3
fateful afternoon,3
long past,3
community meeting,3
young women,3
small town,3
own story,3
own tales,3
movements fluid,3
soft glow,3
quiet moments,3
restore balance,3
vibrant culture,3
gentle flow,3
far-off lands,3
intricate frescoes,3
capital city,3
ancient churches,3
stone altar,3
new generation,3
young artists,3
distant sounds,3
chill run,3
heavy heart,3
fateful night,3
unexpected visitor,3
deep-set eyes,3
menelik ii,3
colorful textiles,3
vibrant life,3
fragrant spices,3
sunny afternoon,3
immense power,3
sustainable practices,3
steep cliffs,3
newfound purpose,3
familiar landscape,3
newfound sense,3
bale mountain,3
village council,3
ababa tadesse,3
ancient eucalyptus tree,3
dark clouds,3
rich traditions,3
abiy addi,3
solid stone,2
vibrant marketplaces,2
dark skin,2
