story_id,sentiment,confidence,model,date
AR_1,fear,0.87,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_3,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_5,joy,0.53,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_6,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_7,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_8,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_9,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_11,love,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_12,fear,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_13,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_14,joy,0.62,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_15,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_16,sadness,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_17,sadness,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_18,joy,0.5,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_20,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_21,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_22,love,0.7,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_23,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_24,fear,0.78,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_25,joy,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_26,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_28,love,0.58,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_29,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_32,love,0.43,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_36,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_37,love,0.62,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_39,anger,0.58,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_40,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_41,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_42,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_44,surprise,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_46,joy,0.78,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_47,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_48,joy,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_49,sadness,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AR_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
