Story_ID,Summaries,Prompt,Model,Date
VN_1,"In a small village by the Red River, Mơ returns to visit the mysterious elderly woman, bà Tư, who is rumored to communicate with spirits. As Mơ learns about the past through bà Tư and a spirit named Linh, she discovers profound insights about love and loss, inspiring her to write a book that unites the villagers.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_2,"In ""Gió Sông Hàn,"" young writer Nguyễn Linh dreams of publishing her stories while finding inspiration in her friendship with Huy, a new acquaintance. As they share aspirations by the Han River, Linh confronts her fears of failure. With Huy’s encouragement, she achieves her dream, realizing the power of friendship and perseverance.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_3,"In ""Hành Trình Về Quê,"" Minh, a young man from Saigon, feels a profound longing for his rural hometown along the Red River. After years away, he returns to reconnect with his beloved grandmother and rediscover the simplicity of life. Through shared memories and community efforts, Minh embraces his roots and the value of home.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_4,"In ""Dreams of the Ocean,"" Linh, a dreamy girl from a coastal village in Vietnam, yearns for adventure. Inspired by her grandmother's tales, she learns to swim and embarks on a journey with a fisherman named Hải. Facing challenges at sea, Linh discovers courage, dreams, and a new path in life.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_5,"In a tranquil Vietnamese village, 16-year-old Linh prepares for the annual rice flower festival alongside her wise grandmother. As she practices her dance, she navigates friendships and dreams of the city, ultimately choosing to embrace both her roots and new experiences. Linh discovers that home is a cherished feeling.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_6,"In ""By the Dream River,"" Ngọc, a young woman longing to be an artist, finds solace by the river, where she meets Huy, an inspiring painter. Their friendship blossoms into love as they navigate dreams, family expectations, and personal crises, leading Ngọc to embrace her passion and pursue her artistic journey.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_7,"In a Vietnamese village, young Linh discovers a necklace in the Whispering Bamboo Grove, said to connect the living with ancestral spirits. Guided by whispers, she learns it belonged to a woman named Mai, lost to a flood. Linh returns the necklace, igniting a community celebration of remembrance and connection.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_8,"In a small Vietnamese village, Hằng, a nature-loving girl, dreams of exploring the world beyond her home. When she meets Minh during a sudden rainstorm, they bond over shared dreams. As their relationship deepens, Hằng must decide between her love for Minh and her attachment to her roots. Ultimately, she chooses adventure, moving to the city with him, where they embrace new experiences and a future together, all while cherishing their village memories.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_9,"In ""Hành Trình Về Quê,"" Minh, a 25-year-old man, returns to his hometown in Thanh Trì after years in bustling Ho Chi Minh City. Reconnecting with his roots, he finds inspiration in family, community, and art. Amid challenges, he discovers love, purpose, and the simple joys of life, embracing his true self.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
VN_10,"In a small village by the Red River, Linh, a farmer's daughter, dreams of a better life and moves to the city. There, she meets Minh, and together they navigate challenges while pursuing their aspirations. After a family crisis, Linh returns home, combining her city experiences to uplift her village, finding true happiness.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
