Noun Phrase,Count
# # # #,29
ibu sari,22
berjalannya waktu,14
sang penjaga,14
pulau harapan,14
lembah emas,14
semangat baru,13
# # #,13
sebuah desa kecil bernama,12
hutan jaya,12
hiduplah seorang pemuda bernama,11
ibu siti,10
taman hujan,10
kampung harapan,9
pak anton,9
nusa tani,9
bamboo forest,9
hiduplah seorang gadis bernama,8
tetapi di sisi lain,8
ratu bambu,8
pertemuan tak terduga,7
sambil tersenyum,7
tengah hutan,7
hari itu,7
di desa,7
gunung semburat,7
desa seruni,7
cipta rimba,7
pak darma,6
ujung senja,6
dengan semangat,6
pak ahmad,6
di sana,6
tengah perjalanan,6
bumi sari,6
deep breath,6
gunung merapi,6
desa cikole,5
menghabiskan waktu bersama,5
bulan kemudian,5
kembali ke desanya,5
pertemuan itu,5
malam tiba,5
nenek leni,5
tak terduga,5
pak jaya,5
itu bernama,4
bulan berlalu,4
penuh semangat,4
demi tahun berlalu,4
dan harapan,4
merasa bangga,4
ujung jalan,4
kerja keras,4
sang penjaga hutan,4
beberapa bulan,4
sangat indah,4
merasa tertekan,4
young woman,4
open arms,4
terus melukis,4
tahun berlalu,4
tiba di,4
dengan suara lembut,4
berdegup kencang,4
kembali ke desa,4
menatap bintang-bintang di langit,4
penuh rasa ingin tahu,4
mbok rukmini,4
young girl,4
sebuah desa kecil di tepi pantai,4
antara bintang,4
banyu asri,4
pak rahmat,4
bekerja keras,3
hati berdebar,3
air mata kebahagiaan mengalir di pipinya,3
tidak hanya untuk dirinya sendiri,3
di ujung senja,3
tanah merah,3
bangun sebelum matahari terbit,3
saat bulan purnama bersinar terang,3
bisa menjelajahi dunia bersama,3
terdapat seorang gadis bernama,3
berpikir sejenak,3
semakin kuat,3
merasa hatinya hancur,3
dia melihat,3
luar biasa,3
kau mau,3
harapan baru,3
sustainable practices,3
suaranya bergetar,3
bawah langit,3
semangat yang membara,3
di balik cahaya mentari,3
untuk mencari inspirasi,3
memiliki bakat yang luar biasa,3
saat itu,3
tekad yang bulat,3
mulai melukis,3
tinggal seorang gadis bernama,3
merasa bahagia,3
merasa jantungnya berdebar,3
beberapa saat,3
sebuah desa kecil di tepi,3
demi bulan berlalu,3
minggu kemudian,3
sebuah desa kecil di pinggiran,3
anak muda,3
minggu berlalu,3
hutan selok,3
dengan suara bergetar,3
terdiam sejenak,3
malam itu,3
di dalam hatinya,3
demi hari berlalu,3
tersenyum lembut,3
ancient tree,3
heart swelling,3
future generations,3
desa cindelaras,3
candi loka,3
ancient spirits,3
intricate carvings,3
merasa bingung,3
tahun kemudian,3
kembali ke,3
duduk di tepi sungai,3
awal perjalanan,3
tinggal bersama neneknya,3
bertemu dengan seorang gadis bernama,3
terinspirasi oleh,3
beberapa hari,3
bunga harapan,3
satu tahun,3
cinta makmur,3
oma rini,3
sumber rejeki,3
hutan bambu berbisik,3
ujung terowongan,2
tidak berlangsung lama,2
semangatnya tidak pudar,2
terus berjuang,2
pagi hari,2
teman sejati,2
menjadi kenyataan,2
baru permulaan,2
di balik kebahagiaannya,2
merasa lega dan bahagia,2
ia melihat,2
duduk di bawah pohon mangga,2
datang menghampirinya,2
bangga padamu,2
hidup seorang pemuda bernama,2
waktu singkat,2
mendirikan sekolah,2
terdapat sebuah desa kecil bernama,2
hidup sederhana,2
dengan suara gemetar,2
dewi penjaga hutan,2
aku bisa membantumu,2
harus bersatu untuk melindungi hutan kita,2
adalah sumber kehidupan kita,2
adalah anak bungsu dari tiga bersaudara,2
beberapa hari berjalan,2
berjalan beberapa jam,2
merasa kesepian,2
berdiri di,2
mendukung satu sama lain,2
memutuskan untuk kembali ke desa,2
sedang melukis di tepi pantai,2
aku tahu,2
mereka tumbuh,2
memberanikan diri untuk bertanya,2
menatapnya dengan serius,2
meraih tangan,2
ada di sisinya,2
tersenyum lebar,2
tidak percaya,2
merasa terinspirasi,2
pameran tiba,2
tersenyum bangga,2
duduk bersebelahan,2
berjanji untuk selalu bersama,2
terus berkarya,2
di bawah langit djakarta,2
merasa terinspirasi oleh semangat,2
namanya disebut sebagai pemenang,2
personal growth,2
warung cinta,2
golden hue,2
newfound determination,2
menjelajahi pulau,2
ia melihat sosok,2
sambil memeluknya erat,2
mengangguk setuju,2
semangat yang tak pernah padam,2
pada suatu hari yang cerah,2
ia bertemu dengan,2
dengan perasaan campur aduk,2
festival semakin dekat,2
langit di atas,2
di desa itu,2
seorang pemuda bernama,2
saat sari,2
untuk mengejar mimpinya,2
berdiri di tepi sungai,2
lembah kenangan,2
desa harapan,2
lembah ini,2
danau harapan,2
membantu ayahnya di ladang,2
memutuskan untuk menjelajahi hutan,2
beberapa jam berjalan,2
dia menemukan,2
saat yang sama,2
adalah anak tunggal dari pasangan petani yang sederhana,2
hidup dalam kesederhanaan,2
menghabiskan waktu di hutan,2
perjalanan tidak selalu mulus,2
merasa terjebak antara dua dunia,2
dia bertemu,2
berat hati,2
di sampingnya,2
sweet scent,2
deep connection,2
terdapat seorang pemuda bernama,2
di rumah,2
bukan hanya untuk dirinya sendiri,2
tidak semua berjalan mulus,2
nenek rini,2
berdiri di depan mereka,2
di satu sisi,2
langit merah,2
ujung desa,2
menoleh dan tersenyum,2
juga merasakan hal yang sama,2
menggenggam tangan,2
berdua tersenyum,2
waktu berlalu,2
menghabiskan hari-harinya bekerja di ladang,2
ketika damar,2
petualangan dimulai,2
tidaklah mudah,2
dengan percaya diri,2
beberapa hari perjalanan,2
itu terlihat menakutkan,2
dalam gua,2
dan desa,2
berbagi cerita tentang kehidupan,2
saat matahari terbenam,2
orang tua,2
memutuskan untuk kembali ke,2
sedang bekerja di ladang,2
keluarga maya,2
cinta sejati,2
dan cinta,2
desa sumber rejeki,2
adalah tempat yang penuh misteri,2
atas pasir,2
pulau sumba,2
semakin berkembang,2
mereka menjelajahi berbagai tempat,2
kali hujan turun,2
kebahagiaan itu tidak berlangsung lama,2
untuk bergabung,2
sangat bangga padamu,2
small village,2
ancient stories,2
adventurous spirit,2
long black hair,2
newfound purpose,2
echo keeper,2
warm glow,2
wise eyes,2
rice cakes,2
tall man,2
outside world,2
tinggal seorang pemuda bernama,2
saat api unggun menyala di tengah desa,2
tidak menyerah,2
muncul kembali,2
dan penduduk desa,2
tak terlupakan,2
hutan berbisik,2
forest floor,2
golden light,2
di balik jendela,2
semakin dekat,2
kita bekerja sama,2
itu membuat,2
tidak bisa tidur,2
jalan menuju masa depan,2
desa cikupa,2
kisah sari,2
tetapi di dalam hatinya,2
dia melihat seorang pemuda,2
dengan antusias,2
satu sisi,2
dan keluarganya,2
merasakan hatinya hancur,2
tengah keramaian,2
dan mereka,2
berbagi cerita tentang perjalanan,2
melanjutkan perjalanan hidup mereka,2
tanah lembah,2
lembah cinta,2
adalah anak seorang petani,2
penuh harap,2
yang akan dikenang selamanya,2
sampai di gua,2
menghabiskan waktu di desa,2
bintang-bintang yang bersinar di langit malam,2
juga merasakannya,2
memutuskan untuk mencari,2
tetapi semangatnya tidak padam,2
beberapa hari berlayar,2
berbicara dengan,2
menanam padi,2
hati yang bergetar,2
di sisi lain,2
yang kaya,2
hati raka,2
berbagi cerita,2
merasa lega,2
bertukar pandang,2
tiba di desa,2
dikenal sebagai gadis yang ceria dan penuh semangat,2
hidup dalam keterbatasan,2
saat raka,2
dengan penuh perhatian,2
itu tampak,2
katanya dengan suara pelan,2
kamu bisa tersesat di sini,2
kebahagiaan mereka tidak berlangsung lama,2
menghadapi berbagai tantangan,2
tetapi juga mengubah hidup banyak orang,2
gunung semeru,2
ia berkata,2
sebuah desa kecil yang terletak di pinggiran hutan,1
baru menginjak enam belas tahun,1
namun mimpi dan harapannya sudah jauh lebih besar dari usianya,1
dikenal sebagai gadis yang ceria dan penuh cita-cita,1
meskipun kondisi desanya yang terpencil,1
kali membuatnya merasa terkurung,1
desa rani,1
tidak memiliki akses yang baik ke luar,1
yang berbatu dan hutan lebat membuat penduduknya sulit untuk mendapatkan pendidikan yang layak,1
di desa itu hanya memiliki satu ruang kelas yang kecil dan guru yang datang hanya seminggu sekali,1
yang selalu ingin belajar lebih banyak,1
kali merasa putus asa melihat teman-temannya yang lebih memilih bermain di ladang dibandingkan belajar,1
sedang duduk di bawah pohon mangga,1
ia melihat sekelompok anak-anak bermain bola,1
merasa kesepian dan terpikir untuk pergi ke kota terdekat,1
untuk mencari sekolah yang lebih baik,1
mimpi itu seakan mustahil,1
karena keluarganya tidak memiliki cukup uang untuk membiayai perjalanan dan pendidikan,1
sedang mengumpulkan kayu bakar di hutan,1
ia bertemu dengan seorang pria tua yang tampak bijak,1
seorang pensiunan guru yang tinggal di dekat desa,1
menghampirinya dengan rasa ingin tahu,1
pun terlibat dalam percakapan yang mendalam,1
bercerita tentang impiannya untuk belajar dan mengubah nasib desanya,1
tergerak oleh semangat,1
mengajaknya untuk belajar secara,1
mereka bertemu di bawah pohon besar dekat sungai,1
dan matematika,1
sangat bersemangat,1
dan semakin hari ia merasa bahwa harapan akan masa depan yang lebih cerah mulai terbentuk,1
