Word,Frequency
feel,912
heart,868
story,681
voice,623
oksana,607
chapter,601
village,493
life,480
eye,470
stand,440
find,437
like,426
day,424
hope,388
love,380
face,379
whisper,374
family,364
lviv,361
city,354
share,353
fill,344
air,343
laughter,343
home,341
grandmother,341
begin,340
say,336
come,323
past,321
echo,321
know,317
kateryna,314
dream,301
turn,287
time,278
leave,269
olena,265
war,264
world,255
hand,255
evening,248
fear,247
sun,244
maria,243
ivan,241
spirit,238
sofia,236
moment,236
sense,234
river,233
reply,229
weight,225
return,222
people,221
street,218
resilience,217
old,214
shadow,210
new,209
small,206
mother,205
light,205
need,203
place,203
smile,200
gather,196
future,196
memory,195
step,193
take,193
want,190
friend,188
ask,187
look,187
night,186
woman,180
word,179
change,179
hold,178
villager,178
journey,177
community,176
tear,176
field,174
help,173
long,170
promise,167
history,166
year,166
way,165
art,165
fight,163
think,162
embrace,162
week,161
weave,161
warmth,159
work,158
mykola,156
anastasia,156
sound,155
familiar,153
race,150
paint,149
grow,148
sit,148
vibrant,148
lose,147
child,147
let,145
strength,145
away,144
kyiv,144
speak,142
andriy,140
pass,133
close,133
sunflower,133
father,133
thought,132
nod,132
scent,132
horizon,132
oleg,132
childhood,132
larysa,131
crowd,131
tale,130
carry,127
golden,126
man,125
call,125
continue,124
walk,124
approach,124
cast,122
deep,121
gaze,121
reminder,121
chaos,120
hear,118
alive,118
tell,118
steppe,117
anya,117
watch,117
warm,116
set,116
sky,113
heavy,113
connection,113
soldier,112
tapestry,112
break,112
color,111
young,110
bring,110
pull,109
anna,109
letter,107
title,107
tree,107
distant,106
beneath,106
land,106
create,105
live,104
dnipro,104
follow,103
determination,102
remember,102
mind,100
fade,100
amidst,100
spend,99
listen,98
vira,98
square,97
silence,97
thread,97
reach,97
festival,96
dmytro,96
struggle,95
wind,95
ignite,94
dance,93
understand,93
rise,93
storm,93
dip,91
root,90
loss,90
joy,89
house,88
uncertainty,88
envelop,87
excitement,87
beauty,87
lie,86
seek,86
artist,85
open,85
join,84
month,84
flow,84
wash,84
ready,83
flicker,83
thick,83
settle,83
catch,82
ukraine,82
play,81
steady,81
breath,80
hue,80
stay,80
path,79
legacy,79
train,79
dark,79
hair,78
gathering,78
star,78
swell,77
rush,77
expression,77
belong,76
strong,76
music,76
meet,76
visit,76
remain,76
news,76
realize,75
line,75
morning,75
forward,75
inside,75
pride,75
wall,75
mix,75
later,74
dawn,74
fall,74
linger,74
organize,74
purpose,73
prepare,73
tremble,73
write,73
guide,72
wait,72
local,72
capture,72
wave,72
loom,71
emotion,71
see,70
transform,70
piece,70
testament,70
remind,70
honor,69
different,69
outside,69
edge,69
tension,69
market,69
bloom,68
epilogue,68
protest,68
arm,67
bright,67
ancestor,67
secret,67
experience,67
learn,66
glance,66
shape,66
vasyl,66
shoulder,65
water,65
fabric,65
mira,65
conflict,64
mingle,64
energy,64
glow,64
draw,63
katya,63
explore,63
search,63
wander,63
darkness,63
inspire,63
good,62
hang,62
barely,62
believe,62
forget,62
halyna,62
generation,62
etch,61
bond,61
surge,61
sparkle,61
arrive,61
shout,61
wooden,60
window,60
summer,60
worry,59
peace,59
exclaim,59
run,58
miss,58
urge,57
intertwine,57
cobblestone,57
taras,57
mean,57
ukrainian,57
press,57
surround,56
try,56
unity,56
beginning,56
hesitate,56
resonate,56
reflect,56
photograph,56
far,56
pound,55
table,55
corner,54
anastasiya,54
fire,54
echoes,54
group,54
support,53
brother,53
courage,53
oleksandr,53
chest,53
presence,53
spark,52
conversation,52
finally,52
neighbor,52
wear,52
dear,52
winter,52
ahead,52
autumn,52
landscape,51
ache,51
afternoon,51
bread,51
adventure,51
shift,51
café,51
low,51
forever,51
pour,51
sorrow,50
room,50
beautiful,50
quiet,50
girl,50
canvas,50
coffee,50
weather,49
exhibition,49
book,49
brush,49
harvest,49
read,49
breeze,48
finger,48
late,48
door,48
essence,48
aroma,48
reality,48
happen,47
tightly,47
anticipation,47
garden,47
erupt,47
scar,47
despair,46
plan,46
well,46
hour,46
adorn,45
culture,45
distance,45
ground,45
figure,45
gently,45
flower,45
thing,45
ivanna,45
mural,45
hide,44
tall,44
power,44
illuminate,44
decide,44
right,44
ancient,43
earth,43
lead,43
decision,43
fresh,43
town,43
solace,43
welcome,43
twinkle,42
sight,42
today,42
painting,42
kitchen,42
melody,42
concern,42
longing,42
uncover,42
forest,42
despite,42
oak,42
challenge,42
haunt,42
building,42
shine,41
blossom,41
bind,41
truth,41
matter,41
soul,41
emerge,41
nearby,41
page,41
suddenly,41
celebrate,41
endure,41
racing,40
rich,40
flood,40
apart,40
safe,40
choice,40
reveal,40
yes,40
apartment,40
spot,40
center,40
go,40
laugh,40
buzz,40
passion,40
build,40
battle,39
end,39
waft,39
spread,39
freshly,39
force,39
curiosity,39
homeland,39
shake,39
surface,39
witness,39
head,39
mixture,39
pavlo,39
drift,39
deeply,39
thank,38
invite,38
connect,38
pain,38
great,38
nestle,37
bustle,37
forge,37
symbol,37
orange,37
protect,37
rhythm,37
bustling,37
talk,37
course,37
porch,36
sink,36
urgency,36
cloud,36
freedom,36
rally,36
tania,36
clutch,36
name,36
yulia,36
gentle,36
nina,35
pause,35
nostalgia,35
study,35
heal,35
move,35
form,35
marta,35
song,35
marichka,35
resolve,35
renew,35
season,34
soft,34
glisten,34
wide,34
stretch,34
chill,34
wrap,34
space,34
large,34
tomorrow,34
natasha,34
crisp,33
stumble,33
stop,33
raise,33
possibility,33
breathe,33
feeling,33
baba,33
unspoken,33
hard,33
contrast,33
blue,33
celebration,33
grandfather,33
send,33
identity,32
spring,32
rebuild,32
soon,32
misha,32
atmosphere,32
stark,32
cry,32
softly,31
babushka,31
darya,31
greet,31
pine,31
lift,31
foot,31
backdrop,31
reverie,31
borscht,31
food,31
will,31
care,31
teach,31
push,31
true,31
comfort,30
panic,30
unite,30
travel,30
idea,30
darkest,30
bury,30
zelenivka,30
stir,30
choose,29
station,29
anxiety,29
flame,29
silver,29
nadia,29
soften,29
age,29
near,29
mariya,29
slowly,29
lean,29
bear,29
chance,29
grip,29
mountain,29
treasure,28
little,28
thrive,28
present,28
palpable,28
chatter,28
sway,28
natalia,28
stall,28
craft,28
gratitude,28
murmur,28
bake,28
exchange,28
silent,28
enter,28
church,28
sweep,28
bridge,28
cheek,27
hill,27
relief,27
kind,27
transcend,27
chase,27
creep,27
escalate,27
discover,27
burden,27
gallery,27
navigate,27
unwavering,27
understanding,27
bank,27
event,27
meeting,27
threaten,27
olha,27
blend,27
turmoil,26
replace,26
stream,26
masha,26
maybe,26
movement,26
early,26
road,26
admit,26
studio,26
countless,26
narrative,26
whispering,26
sing,26
give,26
desire,26
pulse,26
heavily,26
tend,26
surprise,26
wood,26
ghost,26
notice,26
pendant,25
sweet,25
firm,25
supply,25
creativity,25
recognize,25
imagine,25
triumph,25
lilia,25
remnant,25
allow,25
serhiy,25
maya,24
responsibility,24
tight,24
shop,24
tone,24
sigh,24
escape,24
boy,24
swirl,24
pastry,24
cool,24
situation,24
worn,24
dread,24
stranger,24
abandon,24
box,24
unfold,24
heritage,24
slip,23
slightly,23
parent,23
olesya,23
ring,23
blur,23
note,23
cross,23
fellow,23
shimmer,23
chestnut,23
smell,23
determined,23
newfound,23
blanket,23
showcase,23
yevhenia,23
proud,23
stone,23
police,23
riverbank,23
offer,23
seep,22
doubt,22
answer,22
yuri,22
fragile,22
oleksiy,22
crackle,22
alexei,22
pierce,22
architecture,22
bravery,22
crack,22
flourish,22
elderly,22
overlook,22
friendship,22
deepen,22
wonder,22
branch,22
point,22
vein,22
lace,22
seed,22
tradition,22
discovery,21
amid,21
shelter,21
receive,21
musician,21
daughter,21
country,21
intently,21
stage,21
confront,21
pick,21
high,21
sketch,21
vast,21
dust,21
gnaw,21
inspiration,21
safety,21
mama,21
government,21
favorite,21
pang,21
stroke,21
spine,20
sell,20
tonight,20
free,20
lip,20
fierce,20
cover,20
drive,20
venture,20
suggest,20
hidden,20
stare,20
dnieper,20
magic,20
dinner,20
dare,20
youth,20
beacon,20
cup,20
recount,20
sign,20
start,20
alongside,20
resistance,20
rustle,20
collective,19
clear,19
kneel,19
baked,19
whirlwind,19
ah,19
elder,19
grief,19
touch,19
border,19
encounter,19
sanctuary,19
