story_id,sentiment,confidence,model,date
CW_1,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_3,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_6,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_9,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_12,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_16,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_20,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_21,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_23,joy,0.83,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_27,fear,0.45,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_30,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_32,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_33,sadness,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_34,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_35,joy,0.53,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_39,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_42,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_43,joy,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_44,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_46,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CW_50,joy,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
