Story_ID,Summaries,Prompt,Model,Date
PE_1,"In the enchanting village of Huachac, young Isabela embarks on a quest to restore harmony between nature and humanity. Guided by ancient whispers, she climbs the Andes with wise Túpac, seeking a sacred flower. Her journey reveals the interconnectedness of all beings, transforming her into a bridge between worlds and a guardian of tradition.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_2,"In the Andes, young Lila feels a call to find a mystical hidden valley. Guided by her grandmother's wisdom, she faces challenges that reveal her inner strength and confronts her deepest fears. After discovering the valley's beauty and wisdom, she returns home to share stories, uniting her village through love and tradition.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_3,"In the quaint village of Q'ente, young Suyana feels a deep connection to the Andes and its legends. Driven by a desire to unite the sun god Inti and moon goddess Mama Quilla, she embarks on a perilous journey, facing trials that test her courage and heart, ultimately discovering love’s transformative power.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_4,"In the Peruvian village of Q’ente, twelve-year-old Inti feels a deep connection to the Andes. Driven by curiosity, she embarks on a journey to the sacred Salkantay peak, where she encounters the spirit Mama Q’ente. Guided by her wisdom, Inti inspires her village to embrace their heritage through a vibrant festival, bridging tradition and modernity.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_5,"In the secluded village of Q'osqo, archaeologist Mateo seeks hidden Inca ruins, uncovering tales of ancient wisdom and a mystical portal guarded by the spirit Inti. Faced with a choice between fame and safeguarding heritage, he chooses community, fostering sustainable tourism that honors their traditions and protects the Whispering Mountains.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_6,"In the village of Q'ellqa, young Kusi discovers her connection to the Andes through an elderly guardian named Sumaq. As a mining company threatens their sacred land, Kusi rallies the villagers to protect their heritage. Through courage and unity, they advocate for sustainable tourism, preserving their culture and future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_7,"In ""The Whispering Winds of Machu Picchu,"" Elena, a passionate archaeologist, uncovers a mysterious carved stone at the ancient site. As she deciphers its symbols, she embarks on a quest to reveal a hidden Incan treasure of knowledge. Alongside her team, she discovers artifacts that awaken a profound connection to her heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_8,"In the village of Túpac, young Isabela embarks on a quest to find the mythical Waqra, a guardian of the Andes. After a transformative encounter, she learns the interconnectedness of all life and the importance of respecting nature. Returning home, Isabela shares her newfound wisdom, inspiring community stewardship and harmony.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_9,"In the Peruvian Andes, young Lila embarks on an adventurous journey into the mountains, guided by Inti, a guardian spirit. Facing trials, she learns the sacred connection between her people and nature. Through her experiences, she uncovers ancient wisdom and becomes the village storyteller, weaving the mountains' lessons into her community's legacy.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_10,"In the enchanting village of San Pedro, young Elena longs for adventure beyond her vibrant home. Guided by her grandmother's stories, she explores the Andes, befriends a boy named Mateo, and discovers the Cave of Whispers. As Elena learns the power of storytelling, she becomes the voice of her culture.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_11,"In the Andes, young Isabela from Q'ente embarks on a journey to find the lost city of Vilcabamba, seeking to unearth her ancestral heritage. Guided by nature and a wise old man, she discovers not only ancient artifacts but also the power of storytelling, igniting a passion to preserve her village's culture.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_12,"In the heart of Peru, Valeria, a young weaver from Qosqo, receives a warning from Pachamama about modern encroachment threatening her village's traditions. Inspired, she organizes a festival to celebrate their heritage, uniting the community. As a factory proposal looms, Valeria leads a resistance to preserve their culture and land.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_13,"In *The Whispering Stones of Machu Picchu*, young archaeologist Isabella Ruiz uncovers a hidden stone structure while researching Incan agriculture. Guided by whispers from the past, she reconnects with her heritage and shares the lessons of the Incas through a groundbreaking book, fostering a global appreciation for sustainable living and cultural preservation.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_14,"In ""The Echoes of Vilcabamba,"" young anthropology student Isabella journeys to the Andes village of Vilcabamba for her thesis on Incan culture. Alongside her guide Mateo, she discovers hidden ruins and ancient artifacts, ultimately transporting her back in time to connect with her ancestry. Isabella learns to honor her heritage and share its wisdom.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_15,"In the Andes, young Inti discovers an ancient amulet revealing her as the last heir of the Inca Empire. Guided by her grandmother’s wisdom, she embarks on a quest with her friend Kusi to reclaim their heritage and protect their village from outsiders. Together, they awaken the spirit of their ancestors, ensuring their legacy lives on.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_16,"In the Andean mountains of Peru, young shepherd Tenzin feels a mystical pull toward Ausangate. He embarks on a transformative journey, encounters the spirit Qori, and faces his fears. Gifted with the ability to see truth, he returns to his village, dedicating his life to protecting the mountains and their legacy.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_17,"In the Andean village of Qosqo, curious Inti embarks on a journey to find a legendary hidden valley, where ancestral whispers reveal wisdom. After discovering the valley's beauty and lessons, she returns to her village, inspiring unity and resilience among her people to confront challenges, bridging their heritage with the future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_18,"In the Peruvian Andes, Maria's tranquil life in San Juan de Chucuito changes when she meets Luis, a stranger seeking the sacred mountain Apu Qullqa for ancient wisdom. Together, they embark on a perilous journey, facing trials that strengthen their bond and teach them the importance of heritage, resilience, and unity.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_19,"In the Peruvian Andes, twelve-year-old Inti discovers her role as the Guardian of her village, Q'ente, after encountering ancient symbols. When a mining company threatens their sacred land, Inti unites the villagers to protect their heritage. Through resilience and wisdom, they successfully preserve their identity and connection to Pachamama.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_20,"for breath. Elena clutched the Sumaq Sun Disk tightly, realizing its power came with consequences. As they caught their breath, a ghostly figure emerged from the mist—a shamanic spirit, warning them of the artifact's significance and the danger of disrupting the sacred balance. Determined yet wary, Elena and Mateo faced the challenge of understanding the disk’s true purpose, ultimately realizing it could reshape their connection to the past and their future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_21,"In the Andean village of Chinchero, twelve-year-old Kusi aspires to become the apprentice of her grandmother, Abuela Rosa, the last shaman. As Kusi learns ancient wisdom, she faces challenges in rekindling her community's connection to the earth. Guided by ancestral spirits, she leads a revival, fostering unity and tradition.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
PE_22,"In a small Andean village, Ilaria discovers her unique connection to Pachamama, the Earth Mother. After a prophetic dream from Mama Killa, she embarks on a journey to protect her homeland from exploitative development. Rallying her community, Ilaria leads a powerful protest, ultimately forging a sustainable partnership to honor the land.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
