Name,dataset2023,stories
MIA,64.0,62.0
KIKI,,22.0
MILO,,2.0
BENNY,,1.0
MAX,50.0,1.0
WALLY,,1.0
TILLY,,1.0
PIPPA,27.0,1.0
MAYA,22.0,1.0
KIRA,,1.0
BUSTER,,1.0
KIP,,1.0
JASPER,41.0,1.0
HATTIE,,1.0
ELLIE,48.0,1.0
ELLA,60.0,1.0
WHISKERS,,1.0
ABIGAIL,21.0,
ADELINE,26.0,
ALEXANDER,46.0,
ALFIE,28.0,
ALFRED,18.0,
ALICE,30.0,
AMELIA,67.0,
ANGUS,25.0,
ANNABELLE,16.0,
ARCHER,54.0,
ARCHIE,73.0,
ARI,34.0,
ARIA,42.0,
ARLO,53.0,
ARTHUR,55.0,
ASHER,27.0,
AUBREY,21.0,
AUDREY,34.0,
AUGUST,25.0,
AURORA,28.0,
AUSTIN,38.0,
AVA,77.0,
AYLA,39.0,
BEAU,20.0,
BENJAMIN,30.0,
BILLIE,31.0,
BILLY,33.0,
BODHI,36.0,
BROOKLYN,15.0,
CALLIE,15.0,
CARTER,27.0,
CHARLIE,81.0,
CHARLOTTE,104.0,
CHASE,20.0,
CHLOE,39.0,
CONNOR,19.0,
COOPER,32.0,
DAISY,54.0,
DARCY,41.0,
DELILAH,26.0,
EDEN,17.0,
EDWARD,46.0,
ELEANOR,37.0,
ELI,32.0,
ELIANA,22.0,
ELIAS,18.0,
ELIJAH,84.0,
ELIZA,22.0,
ELOISE,21.0,
ELSIE,49.0,
EMILIA,36.0,
EMILY,28.0,
EMMA,18.0,
ESTHER,17.0,
ETHAN,42.0,
EVA,22.0,
EVELYN,56.0,
EVIE,56.0,
EZRA,31.0,
FELIX,26.0,
FINLEY,21.0,
FINN,43.0,
FLETCHER,23.0,
FLORENCE,37.0,
FLYNN,20.0,
FRANKIE,33.0,
FREYA,39.0,
GABRIEL,18.0,
GEORGE,50.0,
GEORGIA,32.0,
GIA,15.0,
GRACE,67.0,
GRACIE,17.0,
GRAYSON,30.0,
HALLIE,24.0,
HAMISH,31.0,
HANNAH,34.0,
HARLOW,16.0,
HARPER,64.0,
HARRIET,30.0,
HARRISON,55.0,
HARRY,53.0,
HARVEY,70.0,
HAZEL,67.0,
HENRY,112.0,
HUDSON,70.0,
HUGO,53.0,
HUNTER,32.0,
HUXLEY,18.0,
IMOGEN,19.0,
ISAAC,26.0,
ISABELLA,55.0,
ISABELLE,30.0,
ISLA,112.0,
IVY,73.0,
JACK,73.0,
JACKSON,29.0,
JACOB,19.0,
JAMES,49.0,
JASMINE,15.0,
JAXON,22.0,
JAYDEN,21.0,
JORDAN,29.0,
JUDE,21.0,
KAI,36.0,
LACHLAN,34.0,
LARA,18.0,
LAYLA,50.0,
LENNY,23.0,
LEO,109.0,
LEVI,66.0,
LIAM,50.0,
LILAH,19.0,
LILY,61.0,
LINCOLN,31.0,
LOGAN,30.0,
LOLA,21.0,
LOTTIE,27.0,
LOUIE,30.0,
LOUIS,48.0,
LUCA,85.0,
LUCAS,60.0,
LUCY,42.0,
LUKA,27.0,
LUNA,31.0,
LYLA,16.0,
MABEL,21.0,
MACKENZIE,24.0,
MADELINE,16.0,
MAEVE,44.0,
MAGGIE,28.0,
MAISIE,25.0,
MARCUS,21.0,
MARGOT,34.0,
MASON,49.0,
MATILDA,56.0,
MATTEO,27.0,
MILA,52.0,
MILES,33.0,
MILLIE,49.0,
MUHAMMAD,26.0,
MYLES,22.0,
NINA,21.0,
NOAH,92.0,
NORA,15.0,
OAKLEY,25.0,
OLIVE,25.0,
OLIVER,155.0,
OLIVIA,86.0,
OLLIE,20.0,
OSCAR,63.0,
OTIS,19.0,
OWEN,22.0,
PARKER,29.0,
PATRICK,30.0,
PENELOPE,40.0,
PEYTON,21.0,
PHOEBE,26.0,
PIPER,17.0,
POPPY,32.0,
REMI,23.0,
RILEY,17.0,
RILEY,38.0,
RIVER,19.0,
RORY,23.0,
ROSIE,30.0,
RUBY,42.0,
RYAN,25.0,
RYDER,19.0,
SADIE,31.0,
SAMUEL,32.0,
SAVANNAH,17.0,
SCARLETT,31.0,
SEBASTIAN,56.0,
SIENNA,50.0,
SOFIA,38.0,
SONNY,37.0,
SOPHIA,42.0,
SOPHIE,48.0,
SPENCER,20.0,
STELLA,29.0,
SUMMER,27.0,
TATE,21.0,
THEO,38.0,
THEODORE,87.0,
THOMAS,48.0,
VIOLET,52.0,
WILLIAM,76.0,
WILLOW,55.0,
WYATT,23.0,
XAVIER,44.0,
ZARA,33.0,
ZOE,38.0,
