story_id,sentiment,confidence,model,date
CK_1,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_3,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_5,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_7,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_9,joy,0.74,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_15,sadness,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_16,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_21,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_25,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_26,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_27,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_28,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_31,anger,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_34,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_35,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_36,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_37,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_40,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_41,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_44,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_47,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CK_50,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
