Noun Phrase,Count
abuela rosa,65
san juan,46
vibrant colors,40
san pedro,35
small village,34
young girl,26
abuela elena,26
ana maría,25
young woman,21
intricate patterns,20
heart swelling,19
golden hue,16
san josé,15
warm glow,13
deep connection,12
village square,12
ancient ruins,11
golden glow,11
rich tapestry,11
profound sense,11
vibrant textiles,10
deep breath,10
don miguel,10
journey begins,9
sierra madre,9
own stories,9
cobblestone streets,9
open arms,9
doña rosa,9
san antonio aguas calientes,8
intricate designs,8
annual festival,8
new generation,8
mi niña,8
vibrant culture,8
doña elena,8
san miguel,8
small town,8
community center,7
future generations,7
vibrant markets,7
colorful textiles,7
old woman,7
local artisans,7
vibrant tapestry,7
colorful banners,7
community garden,7
insatiable curiosity,6
dark hair,6
dense forests,6
damp earth,6
elderly woman,6
familiar sights,6
golden light,6
abuela clara,6
village elders,6
traditional foods,6
don felipe,6
intricate textiles,5
abuela luz,5
daily life,5
warm smile,5
fateful day,5
howler monkeys,5
warm embrace,5
inspire others,5
fresh tortillas,5
rich traditions,5
deep sense,5
vibrant hues,5
handmade crafts,5
newfound determination,5
volcán san pedro,5
soft glow,5
stories woven,5
cultural preservation,5
ceiba tree,5
# # # # chapter,5
skilled weaver,4
rich history,4
ancient city,4
unexplainable connection,4
young boy,4
beautiful tapestry,4
colorful threads,4
dense foliage,4
own story,4
vibrant celebration,4
bright morning,4
small bag,4
cultural heritage,4
deep brown eyes,4
wooden frame,4
young girls,4
new life,4
hard work,4
young people,4
crisp morning,4
tapestry woven,4
natural world,4
tío hugo,4
earthy aroma,4
gentle breeze,4
san juan chamelco,4
vibrant flowers,4
ancient trees,4
sustainable practices,4
thread woven,4
restore balance,4
don pedro,4
ancient tree,4
inexplicable pull,4
vibrant community,4
traditional crafts,3
lush hills,3
ancient stone altar,3
sudden gust,3
new tapestry,3
watchful gaze,3
good fortune,3
bright colors,3
vibrant threads,3
distant calls,3
lush jungle,3
profound connection,3
corn tortillas,3
woven textiles,3
childhood friend,3
long day,3
cultural significance,3
city life,3
melodic whisper,3
ancient gods,3
coffee beans,3
narrow cobblestone streets,3
don carlos,3
various regions,3
small backpack,3
volcanic mountains,3
silver hair,3
rich culture,3
sweet aroma,3
ancient rituals,3
true treasure,3
fresh tamales,3
deep greens,3
grand tapestry,3
town square,3
colorful tapestry,3
golden rays,3
community meeting,3
environmental organizations,3
local community,3
traditional huipiles,3
fateful afternoon,3
lush highlands,3
fresh corn tortillas,3
intricate carvings,3
celestial bodies,3
traditional attire,3
white shawl,3
fire ignite,3
entire community,3
modern world,3
old ways,3
constant reminder,3
daily lives,3
tío pedro,3
warmth envelop,3
lush landscapes,3
wise eyes,3
dark clouds,3
long forgotten,3
ixil maya,3
bright lights,3
majestic volcanoes,3
soft voice,3
santa rosa,3
lush forests,3
abuela itzel,3
ix chel,3
distant call,3
# # #,3
jaguar figure,3
makeshift stage,3
abuela teresa,3
don pablo,3
lush green mountains,2
sweet scent,2
jacaranda trees,2
adobe houses,2
small pack,2
steep steps,2
dense jungle,2
vibrant hub,2
new stories,2
warm smiles,2
mystical creatures,2
vibrant market,2
tall man,2
ancient altar,2
familiar tug,2
ancient stories,2
weave stories,2
lush mountains,2
vibrant flora,2
pride swell,2
colorful huipil,2
small notebook,2
forest floor,2
great city,2
majestic temples,2
ancient structures,2
elderly man,2
long black hair,2
tranquil waters,2
resplendent bird,2
iridescent feathers,2
deep bond,2
stark contrast,2
own dreams,2
young artisans,2
childhood home,2
marimba bands,2
countless afternoons,2
own experiences,2
successful exhibition,2
local markets,2
indomitable spirit,2
black hair,2
dark eyes,2
small café,2
hot chocolate,2
unexpected journey,2
young weavers,2
personal stories,2
wooden dock,2
woven piece,2
history woven,2
familiar scent,2
melodic hum,2
santiago atitlán,2
inexplicable urge,2
her—a sense,2
local art community,2
own right,2
coffee farmer,2
small hands,2
captivating story,2
old man,2
picturesque villages,2
handmade textiles,2
local community center,2
own journey,2
beautiful textiles,2
sunny afternoon,2
distant silhouette,2
local flora,2
vibrant plumage,2
señora martinez,2
delicate balance,2
soft light,2
natural beauty,2
popol vuh,2
bright future,2
countless others,2
different countries,2
true art,2
ancient energy,2
magnificent bird,2
steep cliffs,2
vibrant streets,2
vibrant reds,2
fateful night,2
weaving begins,2
traditional dress,2
different story,2
moon cast,2
journey ahead,2
new experiences,2
san javier,2
humble home,2
magnificent creature,2
new wonders,2
colorful butterflies,2
strange connection,2
tense silence,2
new path,2
colorful ribbons,2
young man,2
heavy heart,2
essentials—a woven mochila,2
earthy scent,2
strange feeling,2
gentle embrace,2
old stories,2
don ricardo,2
colorful houses,2
market square,2
ripe mangoes,2
inexplicable connection,2
days painting,2
doubt crept,2
colorful garments,2
ancient times,2
warm golden glow,2
old locket,2
ripple effect,2
mountains cradle,2
vast knowledge,2
modern life,2
dirt path,2
vibrant hills,2
