Word,Frequency
spirit,497
heart,444
feel,434
story,407
land,373
ancestor,360
people,296
village,276
voice,269
kanak,251
island,246
whisper,234
new,213
begin,207
eye,202
share,197
stand,190
wind,184
connection,170
tree,170
ocean,167
air,166
caledonia,166
forest,162
like,158
listen,156
journey,155
culture,150
echo,150
dance,149
wave,144
sun,134
day,132
water,131
know,131
stone,123
guide,123
villager,123
face,121
deep,121
fill,121
speak,118
gather,115
find,115
sea,115
come,113
community,110
grandmother,110
vibrant,108
home,108
tale,108
elder,107
say,106
sacred,105
place,105
world,104
return,103
sense,100
sound,99
festival,97
honor,97
weave,96
heritage,95
leave,95
life,95
shore,93
generation,93
child,93
protect,92
young,91
past,90
understand,87
carry,87
horizon,87
wisdom,87
continue,86
seek,86
moment,85
embrace,84
close,84
set,83
ancient,83
future,82
small,81
legacy,80
learn,80
laughter,80
energy,80
step,79
night,78
live,77
pass,77
hope,76
evening,74
light,74
alive,74
sky,74
grow,73
call,71
song,70
word,70
mountain,70
hear,69
tradition,65
love,65
time,65
race,65
take,64
hold,64
way,64
storm,64
approach,64
tell,63
history,63
strength,63
long,62
breeze,62
coral,62
unity,62
guardian,62
lush,61
gentle,61
reach,60
traditional,60
nature,59
purpose,59
path,59
gathering,59
sit,58
great,58
turn,58
color,58
beach,57
smile,57
cast,57
beneath,56
rise,56
family,56
year,56
resilience,55
hand,54
change,54
week,54
excitement,53
earth,53
secret,53
watch,53
remember,52
woman,52
hienghène,52
shadow,52
envelop,52
suddenly,51
glow,51
determination,50
adorn,50
star,50
presence,50
importance,50
weight,49
surround,49
friend,49
follow,49
soft,49
bird,49
whispering,49
inspire,48
resonate,48
nod,48
figure,48
amélie,48
hue,48
surge,47
identity,47
fear,47
rustle,46
explore,46
reply,46
tapestry,46
lead,46
power,46
thrive,46
scent,46
sparkle,46
rich,46
celebrate,45
thick,45
mind,45
dip,45
adventure,45
shimmer,45
emerge,44
help,44
reminder,44
fight,43
vision,43
warm,43
root,43
golden,43
name,43
pride,43
title,43
breath,42
let,42
paint,42
cave,42
fire,42
bond,42
illuminate,42
look,42
dream,42
clearing,41
ask,41
organize,41
open,41
intertwine,41
beauty,41
struggle,40
see,39
fish,39
preserve,39
need,39
morning,38
symbol,38
ensure,38
strong,37
deeply,37
respect,37
old,37
anticipation,37
curiosity,37
reef,37
promise,37
pacific,36
foot,36
arrive,36
forward,36
drum,36
kunié,35
distant,35
realize,35
edge,35
harmony,35
rhythm,35
challenge,35
fabric,35
walk,35
warmth,35
hair,34
center,34
join,34
girl,34
rock,34
site,34
swell,34
legend,34
gaze,33
balance,33
unite,33
dawn,33
lagoon,33
transform,32
crowd,32
celebration,32
cove,32
flow,32
fade,32
create,32
hour,31
flower,31
want,31
experience,31
joy,31
landscape,31
dark,31
ignite,31
connect,31
cultural,31
nengone,31
steady,30
green,30
dense,30
venture,30
reveal,30
teach,30
knowledge,29
wide,29
understanding,29
sunlight,29
testament,29
threaten,29
flame,29
pull,29
tide,29
decide,29
urge,29
shift,28
orange,28
wash,28
tear,28
hidden,28
bring,28
banyan,28
work,28
newfound,28
lose,28
catch,27
crash,27
tower,27
discover,27
think,27
intently,27
swirl,27
beat,27
passion,27
pound,27
forever,26
stumble,26
winds,26
bridge,26
believe,26
heartbeat,26
finally,26
pulse,26
present,26
trial,26
prepare,26
away,26
welcome,25
reflect,25
carving,25
remind,25
low,25
true,25
break,25
hide,25
meet,24
isle,24
storyteller,24
man,24
gently,24
naïma,24
grandfather,24
silence,24
guidance,24
shimmering,24
aïna,24
heal,24
profound,24
ground,24
south,24
truth,24
ethereal,23
kaïna,23
responsibility,23
powerful,23
draw,23
tremble,23
music,23
maréa,23
uncover,23
courage,23
epilogue,23
sand,23
intricate,23
notice,23
hill,22
essence,22
sing,22
climb,22
mix,22
grove,22
cliff,22
surface,22
meeting,22
plan,22
recount,22
depth,22
fall,22
restore,22
forget,22
rush,22
unfold,22
unwavering,21
wish,21
nestle,21
mining,21
clear,21
beckon,21
keeper,21
wander,21
movement,21
shoulder,21
azure,21
far,21
awakening,20
encounter,20
declare,20
ylang,20
shell,20
finger,20
craft,20
moonlight,20
bright,20
flicker,20
intrigue,20
treasure,20
modern,20
takai,20
quest,20
lap,19
cool,19
melody,19
gratitude,19
prove,19
play,19
wise,19
ancestors,19
stream,19
search,19
blue,19
youth,19
piece,19
familiar,19
frangipani,19
gain,19
ready,19
warrior,19
expression,19
maëlys,19
roam,18
raise,18
ceremony,18
truly,18
invite,18
soul,18
allow,18
month,18
chant,18
shape,18
magic,18
today,18
deepen,18
thread,18
element,18
canoe,18
racing,18
choose,18
loom,17
palm,17
appear,17
closely,17
embark,17
project,17
rally,17
endure,17
kiss,17
barely,17
message,17
skin,17
turquoise,17
settle,17
awe,17
cloud,16
melodic,16
beginning,16
amidst,16
large,16
enter,16
wonder,16
blessing,16
spread,16
vast,16
tjibaou,16
support,16
twinkle,16
beacon,16
thank,16
lesson,16
mother,16
darkness,16
progress,16
kneel,16
pause,16
remain,16
high,16
spend,16
resolve,16
emotion,16
circle,16
softly,15
goro,15
branch,15
etch,15
crystal,15
canopy,15
thought,15
erupt,15
group,15
tension,15
later,15
beautiful,15
practice,15
tall,15
emerald,15
mean,15
ahead,15
belong,15
captivate,15
pink,15
symphony,15
cherish,15
jace,15
pick,15
fruit,15
mystery,14
purple,14
gasp,14
slowly,14
breathtaking,14
archipelago,14
sink,14
trunk,14
weather,14
festivity,14
explain,14
carve,14
visit,14
feather,14
action,14
eager,14
bonfire,14
dare,14
sway,14
calm,14
massive,14
right,14
filter,14
murmur,14
stir,14
steep,14
arm,13
moon,13
heavy,13
educate,13
base,13
linger,13
outside,13
renew,13
mount,13
language,13
lineage,13
river,13
bravery,13
test,13
feeling,13
wood,13
course,13
effort,13
wait,13
significance,13
threat,13
nurture,13
colorful,13
flourish,13
compassion,13
distance,13
study,13
following,13
local,13
wooden,13
healing,13
force,13
envision,12
final,12
flickering,12
desire,12
pure,12
stretch,12
jérémy,12
valley,12
current,12
leader,12
gift,12
majestic,12
paradise,12
witness,12
glance,12
curious,12
offer,12
spark,12
boy,12
plant,12
peace,12
forge,12
vein,12
chest,12
navigate,12
reverence,12
concern,12
chaos,12
company,12
await,12
gesture,12
coconut,12
image,12
determine,12
map,12
shine,12
collect,12
development,11
sustainable,11
hang,11
foliage,11
attention,11
strange,11
pattern,11
brother,11
sweep,11
inexplicable,11
inside,11
soothe,11
shake,11
touch,11
marine,11
ancestral,11
summit,11
shout,11
annual,11
cry,11
event,11
exclaim,11
view,11
unlike,11
aroma,11
decision,11
answer,11
creature,11
fisherman,11
exploit,11
news,11
miky,11
rhythmic,11
fishing,11
wrap,11
run,11
afternoon,11
gnarl,11
embody,11
form,11
bark,11
tonight,11
head,11
role,11
yonder,11
point,11
narrow,11
formation,11
ear,10
entrance,10
nearby,10
exchange,10
visitor,10
ritual,10
discovery,10
flood,10
immerse,10
caress,10
glimmer,10
pearl,10
startle,10
awake,10
destroy,10
mingle,10
living,10
sprawl,10
jarek,10
sight,10
resource,10
preparation,10
proud,10
overwhelming,10
bloom,10
natural,10
peak,10
despite,10
flora,10
plead,10
howl,10
