Noun Phrase,Count
mei lin,161
banyan tree,81
mr. chen,79
night sky,41
bamboo grove,31
deep breath,29
old man,26
heart swelling,24
mrs. lin,24
xiao mei,23
warm glow,20
gentle breeze,20
li mei,20
soft glow,19
mei ling,16
colorful lanterns,15
young woman,15
golden hue,14
elderly man,14
small village,13
intricate designs,13
grandma wu,13
madame lin,13
night market,12
cherry blossoms,12
# # # # chapter,11
village square,11
vibrant colors,10
warm smile,10
profound sense,10
yu chen,10
chen wei,10
elderly woman,10
whispering bamboo,9
full moon,8
own lantern,8
deep connection,8
young girl,8
silver hair,8
tea house,8
sun moon,8
mr. wu,8
bamboo groves,7
own stories,7
young man,7
pacific ocean,7
lush mountains,7
young artist,7
newfound sense,6
bamboo leaves,6
sweet scent,6
oolong tea,6
adventurous spirit,6
rich history,6
street food,6
# # #,5
local artisans,5
bamboo forest,5
profound connection,5
sweet aroma,5
spirit tree,5
bright eyes,5
rich tapestry,5
own lanterns,5
childhood friend,5
quiet spot,5
new beginnings,5
way home,5
rice paper,5
cobblestone streets,5
night markets,5
vibrant culture,5
rice fields,5
vibrant scenes,5
old lantern,5
grandma lian,5
golden glow,4
small town,4
open arms,4
familiar scent,4
city life,4
local delicacies,4
lush greenery,4
future generations,4
own journey,4
warm breeze,4
rice paddies,4
own story,4
shiver run,4
guardian spirit,4
san francisco,4
story unfolds,4
warm light,4
lantern festival,4
deep sense,4
salty breeze,4
familiar voice,4
bubble tea,4
modern life,4
lush rice paddies,4
quaint town,4
soft voice,4
silvery glow,4
new generation,4
dragon dance,4
inexplicable connection,4
mountainous region,3
ancient banyan tree,3
delicate paper,3
traditional snacks,3
rice cakes,3
new day,3
sweet strawberries,3
familiar streets,3
strawberry fields,3
colorful banners,3
social media,3
handmade crafts,3
tapestry woven,3
bamboo forests,3
intricate carvings,3
gentle hum,3
vibrant tapestry,3
traditional attire,3
old wooden house,3
wooden table,3
dragon boat,3
earthy aroma,3
ancient tree,3
rough bark,3
quaint village,3
sky lanterns,3
late twenties,3
small garden,3
young lady,3
countless lanterns,3
local artist,3
different paths,3
artistic journey,3
heavy heart,3
starry sky,3
lush hills,3
golden rays,3
abuela lin,3
mrs. chen,3
narrow streets,3
final touches,3
gentle smile,3
new stories,3
evening breeze,3
colorful paper lanterns,3
traditional music,3
sweet potato balls,3
stinky tofu,3
eastern coast,3
modern world,3
rainy afternoon,3
intricate patterns,3
rocky shore,3
natural beauty,3
taroko gorge,3
special lantern,3
countless others,3
unspoken words,3
warm golden hue,3
stories woven,3
wooden bench,3
old temples,3
lantern maker,3
festival day,3
starlit sky,3
sunny afternoon,3
warm embrace,3
long shadows,3
bamboo frames,3
mythical creatures,3
insatiable curiosity,3
golden light,3
pineapple cakes,3
bamboo stalks,3
sudden gust,3
air thick,3
soft whisper,3
# # # chapter,3
rich culture,3
cherry trees,3
fourteen-year-old girl,2
wide grin,2
soft light,2
bamboo raft,2
colorful lights,2
kind heart,2
lush landscapes,2
sandy shore,2
sun dip,2
grove # # # # chapter,2
mountain range,2
quiet town,2
childhood friends,2
long summer days,2
old friend,2
heart flutter,2
heart race,2
sustainable practices,2
educate others,2
new song,2
fresh earth,2
fateful day,2
ancient bamboo stalk,2
bamboo guardian,2
makeshift stage,2
rural outskirts,2
tall stalks,2
damp soil,2
magical glow,2
beautiful wish,2
stone tablet,2
young boy,2
entire village,2
share stories,2
narrow cobblestone streets,2
jasmine flowers,2
narrow alleys,2
delicate paper lantern,2
chance encounter,2
release lanterns,2
tea houses,2
elderly women,2
town square,2
various shapes,2
distant lands,2
familiar taste,2
dark canvas,2
opening night,2
individual dreams,2
ancient temples,2
earthy scent,2
ancient secrets,2
gathering place,2
great idea,2
true self,2
family gatherings,2
quaint café,2
wise eyes,2
vibrant lantern festivals,2
azure sea,2
handmade lanterns,2
past year,2
warmth envelop,2
vibrant atmosphere,2
small stall,2
delicate lantern,2
front row,2
small lantern,2
natural world,2
young people,2
intricate paper lanterns,2
moon goddess,2
inviting locals,2
silent wish,2
wooden beams,2
corner table,2
soft music,2
sea spirits,2
wooden box,2
palm trees,2
red lantern,2
hard work,2
brush strokes,2
lantern lit,2
festival preparations,2
bright smile,2
endless possibilities,2
timeworn teahouse,2
neat bun,2
tea leaves,2
voice gentle,2
majestic mountains,2
harvest season,2
large bonfire,2
bamboo poles,2
old tailor shop,2
community spirit,2
gentle waves,2
traditional foods,2
street vendors,2
colorful stalls,2
gentle glow,2
artistic pursuits,2
local markets,2
inexplicable pull,2
nearby bench,2
brave warriors,2
street markets,2
lin mei,2
mountains cradle,2
cobblestone path,2
past festivals,2
comfortable silence,2
hot water,2
inspire others,2
vibrant community,2
narrow lanes,2
traditional qipao,2
traditional motifs,2
expansive canopy,2
own heart,2
own fears,2
own life,2
local businesses,2
golden hues,2
vibrant night markets,2
journey begins,2
small backpack,2
neon lights,2
vibrant stalls,2
her—a reminder,2
ancient tales,2
mythical creature,2
collective memory,2
small shrine,2
intricate tapestry,2
past shapes,2
bright colors,2
market stalls,2
generations past,2
wild mane,2
black hair,2
giant dragon lantern,2
vibrant lanterns,2
new wish—not,2
distant mountains,2
leather-bound book,2
ancient customs,2
strange pull,2
playful shadows,2
vibrant green,2
present day,2
intricate lanterns,2
new year,2
strange connection,2
newfound understanding,2
old temple,2
ancient temple,2
traditional clothing,2
own struggles,2
ancient brush,2
tea shop,2
misty mountains,2
vast expanse,2
craft lanterns,2
paper lanterns,2
university student,2
wide eyes,2
mysterious man,2
purpose swelling,2
voice firm,2
jasmine tea,2
family traditions,2
osmanthus flowers,2
kind eyes,2
cool water,2
vibrant cultures,2
17-year-old girl,2
brilliant light,2
emerald hills,2
fateful night,2
beautiful tapestry,2
phoenix lantern,2
small shop,2
city council,2
sweet osmanthus blossoms,1
lunar year,1
nimble fingers,1
blue lantern,1
painting waves,1
crystal-clear waters,1
swift motion,1
loud crash,1
delicious array,1
sweet dumplings,1
nearby villager,1
stray dog,1
scruffy dog,1
rice cake,1
own excitement,1
hesitant moments,1
playful spirit,1
secret clearings,1
bigger—of travel,1
future unbound,1
big world,1
rocky hills,1
ancient bridges,1
starlit skies,1
salty breeze dance,1
setting sun,1
flight—a symbol,1
return taiwan,1
lush green valleys,1
tiny villages,1
verdant landscape,1
mei-ling chen,1
old scooter,1
prestigious university,1
decent job,1
fresh strawberries,1
sweet juice,1
local market,1
lean man,1
gentle eyes,1
perfect life,1
right choices,1
vibrant celebration,1
various competitions,1
traditional aspects,1
lively spectacle,1
sticky hands,1
small stage,1
local band,1
cool breeze,1
decision weeks,1
vibrant energy,1
small business,1
support local farmers,1
business idea,1
dream realized months,1
agriculture program,1
local farmers,1
once-quiet town,1
community thrive,1
favorite memories,1
soft wind,1
exquisite tapestries,1
handwoven basket,1
bamboo shoots,1
deep bond,1
bamboo speaks,1
bamboo thicket,1
green eyes,1
spirit resonates,1
immediate connection,1
lineage—the past,1
profound responsibility,1
dark truth,1
her—the vibrant festival,1
garner support,1
bamboo motifs,1
rhythmic beats,1
urgent need,1
heavy machinery,1
ominous reminder,1
security guards,1
ethereal presence offering strength,1
collective spirit,1
unexpected resistance,1
melodic tune,1
awakening—a connection,1
hard-fought victory,1
new tradition,1
proud smile,1
tapestries drawing visitors,1
ancient bamboo,1
forgotten time,1
earthen floor,1
long gone—a family gathering,1
serene place,1
daily ritual,1
sticky rice,1
wrapping rice,1
green leaves,1
bamboo string,1
past—the struggles,1
heritage wrap,1
strange sense,1
forest speaks,1
faintest hints,1
colorful decorations,1
various traditional foods,1
traditional dragon boat,1
small altar,1
palpable presence,1
eye—a shadow,1
hidden path driven,1
familiar sounds,1
dense bamboo,1
story—a tale,1
brave ancestor,1
powerful connection,1
identity woven,1
community center,1
granddaughter embrace,1
annual event,1
tourist haven,1
traditional tea houses,1
relentless pace,1
irresistible pull,1
familiar surroundings,1
vibrant marigolds,1
serene atmosphere,1
sweet desserts,1
new year festivities,1
overheard whispers,1
own aspirations,1
local vendor,1
nearby lamp,1
long beard,1
good evening,1
great power,1
own wishes,1
communal act,1
entire life,1
shoulders lighten,1
lantern festival preparations,1
magical tapestry,1
new rhythm,1
newfound friends,1
true essence,1
literary events,1
annual highlight,1
drawing crowds,1
vibrant career,1
elderly figure,1
full circle,1
fateful reunion,1
life—a vibrant tapestry,1
fragrant stinky tofu,1
delicate pineapple cakes,1
magical ambiance,1
emily chen,1
familiar rhythms,1
david lin,1
hot tea,1
childhood adventures—the,1
secret hideouts,1
old banyan trees,1
summer days,1
countless lantern festivals,1
sky—one lantern,1
great artist,1
drawings—a testament,1
blank lantern,1
nearby vendor,1
small globe,1
energy—a sense,1
beautiful story—one,1
late-night conversations,1
local cafes,1
art galleries,1
recent works,1
heart quicken,1
art exhibition,1
skills—your paintings,1
brainstorm ideas,1
gallery—her paintings,1
personal level,1
integral part,1
individual hopes,1
bittersweet sense,1
future exhibitions,1
guides us,1
artistic endeavors,1
wish—a testament,1
beautiful moment,1
22-year-old university student,1
observant artist,1
family stories,1
mysterious keeper,1
local bamboo grove,1
green life filling,1
university life,1
beautiful spot,1
loose strand,1
endless readings,1
tragic endings,1
mock glare,1
paper ...,1
good story,1
tall bamboo,1
rich green hues,1
short trek,1
reclusive man,1
gentle strokes,1
handsome man,1
harvest festival,1
true form—a spirit,1
imagination painting,1
vivid pictures,1
tragic tale,1
quiet night,1
once-familiar sounds,1
eerie quality,1
narrow path,1
celestial audience,1
new life,1
stories—the ones,1
summer rain,1
familiar creaks,1
frail frame,1
colorful scarf,1
city girl returns,1
toughest times,1
peculiar shape,1
overgrown grass,1
old wooden box,1
black-and-white photo,1
elegant qipao,1
woman immediately—her great-aunt,1
lin ai-ling,1
local library,1
personal accounts,1
early 20th century,1
foreign land,1
painful separation,1
own ambitions,1
old friends,1
community members,1
local community center,1
familiar face—a woman,1
radiate warmth,1
final days,1
own narrative,1
write—a book,1
personal memoir,1
historical fiction,1
