Word,Frequency
ocean,701
heart,474
spirit,368
sea,360
village,336
wave,311
feel,306
water,290
island,260
story,256
voice,232
villager,218
begin,187
whisper,185
like,184
eye,182
storm,171
know,164
shore,161
share,159
day,159
life,153
sun,149
find,143
ancestor,142
coral,140
listen,133
fill,131
gather,128
deep,127
shell,122
grandmother,122
return,122
reef,119
fish,118
protect,117
connection,117
vibrant,117
child,111
people,110
tale,109
love,108
echo,107
stand,107
home,105
dance,104
taveuni,103
come,103
speak,102
beach,101
air,99
horizon,99
face,99
live,92
guide,92
treasure,91
journey,90
embrace,90
small,89
young,88
sense,88
say,87
sound,86
hold,85
land,85
call,83
sky,83
close,81
guardian,80
respect,80
laughter,79
night,79
glow,79
tree,78
light,77
honor,76
pass,75
understand,74
girl,74
bond,73
way,72
community,72
set,72
conch,71
beneath,71
hope,69
friend,69
learn,68
balance,68
adventure,68
dream,68
hear,68
generation,66
depth,66
grow,66
race,66
year,65
excitement,65
beauty,64
fear,64
turn,64
wind,64
evening,64
seek,63
moment,63
legend,62
reach,62
watch,61
take,61
place,60
smile,60
change,59
tell,59
festival,59
power,59
woman,59
approach,59
importance,58
elder,58
weave,57
world,57
gentle,57
sit,57
hair,57
legacy,56
paint,56
continue,56
wisdom,56
name,56
explore,56
cast,55
strength,55
long,54
time,54
surge,53
creature,53
ancient,53
word,53
harmony,53
tide,52
reply,52
secret,52
inspire,52
fisherman,51
hue,51
ask,51
boat,51
color,51
dark,50
new,50
energy,50
hand,50
nature,49
pearl,49
surface,49
warm,49
suddenly,48
leave,48
title,48
shimmer,48
sparkle,48
rise,47
teach,47
palm,46
dip,46
swam,46
stone,46
look,45
help,45
surround,45
restore,45
follow,45
father,45
see,45
determination,44
lead,44
tiko,44
fiji,43
star,43
ratu,43
breeze,43
past,43
great,43
lush,43
crash,43
culture,43
soft,42
sand,42
cave,42
need,42
reveal,41
fishing,41
symbol,41
calm,41
thrive,41
pride,41
away,41
courage,41
canoe,41
family,40
path,40
cove,40
emerge,40
pull,40
let,40
purpose,40
reminder,39
week,39
resilience,39
dawn,38
alive,38
lose,38
strong,38
viti,38
work,38
envelop,38
illuminate,37
join,37
discover,37
hide,37
orange,37
rhythm,37
carry,37
old,36
song,36
unity,36
resonate,35
golden,35
future,35
remember,35
realize,35
bring,35
marine,34
transform,34
nestle,34
swell,34
curiosity,34
notice,33
spend,33
breath,33
morning,33
forward,33
levu,33
rush,32
meet,32
celebrate,32
promise,32
warmth,32
joy,32
step,32
tradition,31
deeply,31
fall,31
kiss,31
thank,31
cloud,31
true,31
challenge,31
mind,31
venture,31
break,30
gift,30
open,30
edge,30
swirl,30
pink,30
sacred,29
flow,29
lap,29
practice,29
draw,29
organize,29
wash,29
fijian,29
nod,29
knowledge,28
wonder,28
forever,28
newfound,28
think,28
foot,28
create,28
urge,28
pound,28
moon,28
waves,28
hidden,28
prepare,27
whispering,27
catch,27
wise,27
wide,27
clean,27
school,27
figure,27
believe,27
fade,27
flower,27
gratitude,27
remind,26
intertwine,26
fire,26
flourish,26
spread,25
beautiful,25
weight,25
shout,25
heritage,25
turtle,25
mako,25
play,25
melody,25
magic,25
form,25
pacific,25
powerful,24
arm,24
gently,24
remain,24
awe,24
shimmering,24
sail,24
garden,24
scent,24
epilogue,24
presence,24
exclaim,24
gasp,24
bouma,23
gaze,23
vision,23
skin,23
unite,23
choose,23
adorn,23
pure,23
root,23
encounter,23
traditional,23
thick,23
darkness,23
sing,23
kava,22
colorful,22
walk,22
later,22
decide,22
center,22
dive,22
belong,22
rock,22
guidance,22
lesson,22
struggle,22
clear,22
laugh,22
sustainable,21
steady,21
large,21
bright,21
underwater,21
ray,21
green,21
afternoon,21
appear,21
beckon,20
spot,20
beacon,20
month,20
wait,20
effort,20
responsibility,20
chaos,20
want,20
paddle,20
adventurous,20
finally,20
ignite,20
mingle,20
waterfall,20
fight,20
threaten,19
wild,19
run,19
entrance,19
roar,19
plan,19
tapestry,19
tremble,19
navigate,19
glimmer,19
forest,19
sione,19
racing,19
bravery,19
twinkle,19
sway,19
rich,19
hour,19
cliff,19
familiar,19
collect,19
point,19
celebration,19
brave,18
action,18
current,18
arrive,18
preserve,18
ear,18
man,18
mystery,18
salty,18
uncover,18
protector,18
pulse,18
rage,18
grove,18
little,17
intently,17
recount,17
declare,17
tuka,17
howl,17
south,17
determine,17
test,17
tear,17
wooden,17
essence,17
landscape,17
tavu,17
jone,17
force,17
lift,17
nani,17
stumble,17
anticipation,17
blue,17
far,17
earth,17
endure,17
testament,17
delicate,17
