Story_ID,Summaries,Prompt,Model,Date
KR_1,"In ""Echoes of the Han River,"" recent graduate Seongmin seeks inspiration for his filmmaking career amid Seoul's vibrant festival scene. He reconnects with childhood friend Yuna, meets artist Jisoo, and comforts grieving Minji. Together, they navigate art, loss, and creativity, forging deep connections that transform their lives and stories.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_2,"In Busan, Ji-eun, an art historian, returns home after a personal crisis, burdened by memories of her late mother. Reconnecting with childhood friend Min-ho, a photographer, they collaborate on an exhibition that reignites her passion for art. Through shared stories and experiences, Ji-eun embraces healing and new beginnings.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_3,"In the village of Jangsu, Hana fears the cherry blossoms are dying. Joined by her childhood friend Jiho, they seek help from a wise elder, learning the trees suffer from neglect. Rallying the community, they work together to save the blossoms, igniting a movement of hope, connection, and environmental awareness.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_4,"In a quaint Jeju Island village, young dreamer Soo-jin longs for adventure beyond her home. During the Cherry Blossom Festival, she befriends photographer Min-jun, who inspires her through photography. As their bond deepens, Soo-jin must confront her fears of the unknown when Min-jun departs, igniting her pursuit of dreams.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_5,"In ""Whispers of the Han River,"" seventeen-year-old Ji-soo grapples with societal expectations as she pursues her dream of becoming an artist amid familial pressure to follow a conventional career. With the support of her childhood friend Min-ho and mentor Professor Kim, she navigates her passion, ultimately finding acceptance and inspiration in her journey.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_6,"In present-day Seoul, Min-Jae, a disillusioned tech worker, discovers passion for music while meeting Jin-Sook, a traditional musician, by the Han River. Their bond inspires him to revive his guitar playing. Together, they perform at a festival and create an artistic community, transforming Min-Jae’s life through shared stories and creativity.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_7,"**The Last Cherry Blossom** follows Ji-eun, a young woman returning to Seoul after ten years in New York, seeking her roots. Reconnecting with her grandmother and exploring the beauty of cherry blossoms, she meets Min-ho, a photographer. Together, they create a project that inspires Ji-eun to embrace her journey, ultimately reshaping her future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_8,"In ""The Soul of Han River,"" Ji-hoon, a struggling photographer, finds inspiration through Min-seo, a passionate river volunteer. Together, they organize clean-up events along the Han River, fostering community and connection. As Ji-hoon discovers his artistic voice, he bridges familial expectations and personal passion, ultimately embracing a fulfilling, purpose-driven life.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_9,"In ""The Last Train Home,"" Ji-eun embarks on a transformative journey from Seoul to Canada for her studies, grappling with homesickness and the bond with her ailing mother. After returning to care for her, she learns to balance her dreams with family, ultimately honoring her mother's legacy by advocating for community support and health awareness.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_10,"In bustling Seoul, Jisoo discovers the beauty of life through photography, inspired by her late grandmother's vintage camera. During the cherry blossom festival, she befriends artist Ji-ho, who shares his wisdom about fleeting moments. As he faces terminal illness, they collaborate on a heartfelt exhibition, celebrating life's transient beauty.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_11,"In the picturesque village of Hanam, Ji-eun returns from Seoul to care for her ailing grandmother. Struggling with grief and lost creativity, she finds inspiration under a cherry blossom tree while befriending an elderly painter. Through art, she reconnects with her past, transforming her sorrow into beauty and hope.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_12,"In ""The Echoes of Han River,"" journalist Hana Lee finds solace by Seoul's Han River while grappling with the mental health struggles of South Korea's youth. Through her bond with retired artist Mr. Joon, she discovers the power of storytelling, ultimately amplifying voices silenced by societal pressures, fostering hope and connection.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_13,"In ""Whispers of the Han River,"" Ji-eun, an aspiring writer, finds inspiration and guidance from Mrs. Lee, an elderly woman who shares her poignant love story with Min-ho. Their bond deepens over shared narratives of love and loss, ultimately leading Ji-eun to publish a collection honoring their intertwined tales.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_14,"In ""The Cherry Blossom Breeze,"" photographer Jung Soo discovers an unexpected connection with aspiring artist Ji Eun amidst Seoul's cherry blossoms. As their friendship transforms into love, they navigate dreams, creativity, and impending separation. Their bond endures distance, blossoming anew each spring, symbolizing the beauty of love and shared experiences.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_15,"In ""Echoes of the Han River,"" Ji-hoon, a photographer, meets Min-ji, a budding writer, along Seoul's scenic riverbank. Their friendship blossoms through shared dreams and struggles, inspiring Min-ji to pursue her writing. As they confront personal challenges, their bond deepens, symbolizing hope and the transformative power of creativity.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_16,"In ""Whispers of the Han River,"" aspiring photographer Jun-seo finds solace along Seoul's riverbank, where he meets Eun-hee, an elderly woman mourning her late husband. Together, they embark on a project capturing love stories, bridging generations. Through their collaboration, Jun-seo discovers the transformative power of art and connection amidst loss.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_17,"In ""Echoes of Gwangju,"" journalist Ji-hoon uncovers hidden truths about the 1980 Gwangju Uprising through an old diary belonging to a disappeared activist. As he risks everything to reveal the past, he unites the community, igniting a renewed fight for justice and remembrance on the anniversary of the uprising.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_18,"In *Echoes of Jeongdongjin*, Ji-hoon returns to his coastal hometown after his grandmother's death, seeking inspiration for his writing. Discovering a love letter from the past, he becomes captivated by Min-seo's story of longing. As he uncovers her tale, he finds solace, ultimately transforming grief into a poignant manuscript of love and hope.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_19,"In ""The Echo of Gyeongbokgung,"" Han Ji-soo receives a mysterious invitation from her grandmother to uncover their family’s past at the historic palace. As her grandmother shares the poignant tale of Ji-soo's great-great-grandmother Eun-ji, a forbidden love story unfolds, inspiring Ji-soo to honor their legacy through her own writing.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_20,"In a picturesque South Korean village, sixteen-year-old Jisoo grapples with her passion for painting and her family's tradition of crafting hanbok. As the cherry blossoms bloom, she navigates the tension between duty and dreams, ultimately embracing her artistic path with her grandmother's blessing, creating a legacy that honors both art and ancestry.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_21,"In ""The Echoes of Jeongdongjin,"" Yuna returns to her grandmother’s seaside home after her passing, seeking solace from her corporate life. Reuniting with childhood friend Jihoon, she discovers her grandmother's diary and a mysterious woman in white. Inspired, Yuna embraces change, vowing to honor her legacy through storytelling.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_22,"In a quaint Jeju Island village, artist Ji-hoon returns home seeking solace after heartbreak. He learns of Eun-ji and Min-ho's tragic love through a storyteller, inspiring his art. As he connects with the community, Ji-hoon finds healing, creates a gallery, and embraces new love, celebrating the enduring spirit of cherry blossoms.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_23,"In ""The Laughter of Jeju,"" Min-Joon returns to his hometown for his mother's funeral, confronting nostalgia and lost joy. Reconnecting with childhood friend Soo-Ah, he embraces the island's community spirit during the Fire Festival. As he explores new opportunities, Min-Joon discovers fulfillment and a renewed sense of home in Jeju.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_24,"In ""Echoes of Han River,"" Ji-soo confronts her decade-long grief over her brother Min-jun's drowning. As she uncovers hidden truths about his struggles through dreams and an old diary, she learns to embrace his memory, ultimately finding peace by letting go and celebrating the connection they shared.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_25,"In a South Korean village, artist Jina returns home to reconnect with her roots amid blooming cherry blossoms. With her wise grandmother and childhood friend Minho, she revitalizes community spirit through art and tradition despite modernization's threat. Embracing her heritage, Jina inspires the next generation, ensuring the village's legacy endures.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_26,"In Seocho, aspiring violinist Ji-eun struggles under the weight of perfectionism, losing her passion for music. A chance encounter with pianist Min-ho reignites her creativity, leading to a collaborative performance that transforms her outlook. Together, they embark on a musical journey, discovering that true fulfillment lies in authenticity and connection.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_27,"In ""The Last Train Home,"" Ji-hoon journeys from Seoul to his hometown of Jinju, seeking solace and reconnection. On the train, he unexpectedly reunites with Min-seo, a childhood friend. As they confront their past feelings amid a sudden train malfunction, they find courage to embrace new beginnings together, rekindling their bond.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_28,"**Plot Summary:** Min-jun bids farewell to his childhood home in Seoul, embarking on a new job in Busan. Accompanied by his best friend Ji-eun, they share nostalgic memories during one last subway ride and beach visit in Jeongdongjin. Despite the distance, they promise to stay connected, cherishing their unbreakable bond.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_29,"In ""The Last Cherry Blossom,"" sixteen-year-old Minji grapples with family traditions and her passion for art during the Seollal festival in Jangsu, South Korea. With the encouragement of her grandmother and newfound friend Joon, she finds the courage to embrace her dreams, blending her heritage with her aspirations, ultimately leading to a promising future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_30,"In the village of Sangwon, Jisoo uncovers love letters from Eunha and Minho, a couple separated by tragedy during the Great Fire of 1952. Inspired by their story, she organizes the “Echoes of Hanok Festival” to honor their memory, rejuvenating the village and preserving its rich cultural heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_31,"In ""The Last Cherry Blossom,"" Ji-eun, a compassionate nurse in Seoul, longs for connection. After meeting artist Minho under cherry blossoms, they bond over shared dreams, but his opportunity in Paris tests their love. Choosing support over fear, Ji-eun encourages his journey, leading to a bittersweet farewell and eventual reunion.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_32,"On a rainy autumn night in Seoul, Jihoon misses the last train home and wanders the city, reflecting on his life. He encounters Hana, a kindred spirit, in Gyeongbokgung Palace. Their conversation sparks inspiration, leading them to explore their dreams together, transforming their struggles into art and forging a deep connection.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_33,"In ""The Echoes of Gwanghwamun,"" history teacher Seojin discovers a magical bookstore that transports her to the Joseon era. There, she meets scholar Minho, and they bond over shared dreams amid looming conflict. As war approaches, Seojin learns the importance of storytelling, promising to honor their legacy in modern Seoul.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_34,"In the village of Jangsu, the cherry blossoms are late, threatening the annual festival. Young Min-jun and his friend Ji-eun rally the villagers to wish for their bloom under the full moon. As hope reignites, the blossoms miraculously appear, uniting the community in celebration of resilience and renewal.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_35,"In ""The Lanterns of Jeongju,"" Minji returns to her hometown for the Chuseok festival after years in Seoul, seeking connection with her roots. Amidst family, memories, and vibrant celebrations, she rekindles friendships and embraces her identity. Releasing lanterns symbolizes her journey of balance between heritage and modern life.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_36,"In ""Echoes of Jeju,"" journalist Minji returns to her grandmother's island after years, seeking to reconnect with her roots and cover the island's environmental changes. As she discovers the powerful stories of the haenyeo, female divers, Minji learns about resilience and heritage, ultimately weaving these narratives into her own journey of self-discovery.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
KR_37,"In ""The Whispering Pines,"" artist Min-jun returns to his childhood village, Bucheon, after years in Seoul, drawn by nostalgia and personal loss. As he reconnects with the land and its traditions, he discovers an abandoned shrine and hears whispers from the spirits of the forest. Through art and community, he revives the village's heritage, ensuring their stories endure for future generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
