story_id,sentiment,confidence,model,date
RU_1,fear,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_2,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_3,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_4,joy,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_5,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_6,fear,0.65,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_7,anger,0.52,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_11,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_12,joy,0.66,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_13,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_14,love,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_15,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_16,fear,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_17,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_18,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_19,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_20,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_21,sadness,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_22,fear,0.68,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_23,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_24,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_25,anger,0.53,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_27,joy,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_28,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_29,sadness,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_30,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_31,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_33,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_35,sadness,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_36,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_37,fear,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_38,fear,0.45,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_39,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_40,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_41,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_43,anger,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_44,sadness,0.61,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_46,surprise,0.45,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_47,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_48,joy,0.59,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RU_50,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
