story_id,sentiment,confidence,model,date
YE_1,love,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_6,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_7,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_8,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_9,joy,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_10,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_11,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_12,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_13,fear,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_14,sadness,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_15,fear,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_16,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_17,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_18,sadness,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_20,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_21,sadness,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_23,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_25,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_26,joy,0.65,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_27,fear,0.38,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_28,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_30,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_31,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_34,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_35,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_37,sadness,0.4,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_38,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_39,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_41,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_43,fear,0.52,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_44,joy,0.53,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_45,sadness,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_47,sadness,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YE_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
