story_id,sentiment,confidence,model,date
PH_1,joy,0.87,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_3,sadness,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_4,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_5,anger,0.5,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_7,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_8,surprise,0.87,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_9,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_11,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_12,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_13,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_15,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_16,joy,0.63,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_17,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_18,love,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_21,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_22,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_23,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_26,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_27,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_28,sadness,0.64,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_33,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_35,sadness,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_36,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_37,sadness,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_38,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_40,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_41,anger,0.65,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_44,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_47,joy,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_48,joy,0.63,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_49,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PH_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
