Word,Frequency
heart,423
story,375
feel,367
mountain,297
whisper,278
spirit,271
voice,231
eye,215
love,214
like,213
village,209
find,198
share,196
sea,196
tale,178
water,173
begin,169
stand,167
life,160
echo,157
air,154
day,146
ancient,146
fill,142
land,137
know,135
journey,135
stone,134
sun,134
return,131
pine,131
say,128
adventure,126
time,125
tree,125
kotor,124
come,119
sense,115
wind,114
world,114
past,112
leave,110
forest,109
old,108
dream,108
guardian,108
lake,107
montenegro,105
place,105
villager,104
night,102
small,101
bay,101
set,101
listen,100
woman,98
turn,97
sky,96
race,95
secret,93
seek,93
guide,93
storm,92
beauty,90
wave,90
laughter,89
speak,88
whispering,87
explore,87
connection,87
light,87
grandmother,87
hand,87
embrace,86
treasure,85
home,84
step,83
legend,83
approach,82
durmitor,81
close,80
long,79
evening,79
history,78
deep,76
hold,76
moment,75
cast,75
ancestor,74
sound,74
smile,73
face,73
live,73
young,73
hear,71
weave,69
way,69
paint,69
take,68
grow,68
gather,67
horizon,66
pass,66
reply,66
path,65
lose,65
reach,65
promise,64
island,64
bond,63
shore,63
star,62
call,62
family,62
people,62
tell,61
miloš,61
pines,60
sit,60
memory,58
continue,58
beneath,58
depth,57
legacy,57
year,55
adriatic,55
ask,55
shadow,55
dance,55
figure,55
man,55
father,55
soft,54
hair,54
understand,54
landscape,54
discover,54
scent,53
child,53
open,53
change,52
gaze,52
street,52
away,52
weight,51
envelop,51
hope,51
town,51
vibrant,51
carry,50
fade,50
nature,50
want,50
follow,50
excitement,50
week,50
morning,50
hide,49
shimmer,49
word,49
glow,49
uncover,48
watch,48
hue,48
strength,48
surround,48
gentle,48
wall,48
dip,47
distant,47
edge,47
reveal,47
new,47
look,46
purpose,46
perast,45
name,45
peak,45
see,45
njeguši,45
pull,45
alive,44
warm,44
fisherman,44
breeze,44
energy,44
magic,43
cave,43
break,43
boat,43
fear,43
spend,43
local,42
essence,42
tapestry,42
title,42
resonate,41
curiosity,41
bring,41
tear,41
sail,40
learn,40
ignite,40
intertwine,40
mind,40
wash,40
nod,40
earth,39
fire,39
deeply,39
soul,39
tower,39
realize,39
loss,39
warmth,38
generation,38
walk,38
breath,38
stumble,38
forever,38
draw,37
thick,37
thought,37
root,37
lovćen,37
golden,37
žabljak,37
surface,36
hour,36
rustle,36
future,36
help,36
protect,36
power,36
wander,36
emerge,35
suddenly,35
river,35
adorn,35
captivate,35
song,35
believe,35
belong,35
clearing,34
experience,34
decide,34
transform,34
courage,34
reminder,34
sparkle,34
rich,34
lead,34
rugged,34
let,33
forget,33
notice,33
presence,33
sailor,33
weather,33
familiar,33
dark,33
brave,33
hidden,33
cool,33
fall,32
city,32
festival,32
swell,32
inspire,32
venture,32
dawn,32
urge,32
twinkle,32
nestle,32
finally,32
flow,32
capture,31
shimmering,31
determination,31
discovery,31
wait,31
surge,30
remember,30
friend,30
peace,30
arm,30
melody,29
darkness,29
search,29
welcome,29
gold,29
honor,29
great,29
steep,29
anticipation,29
art,29
heritage,29
strong,28
joy,28
truth,28
newfound,28
black,28
beautiful,27
intrigue,27
reflect,27
illuminate,27
resilience,27
childhood,27
steady,27
quest,27
think,27
arrive,26
climb,26
fortress,26
pound,26
