Noun Phrase,Count
mei ling,446
mei lin,88
hawker center,40
li wei,39
mr. lim,32
heart swelling,31
hawker culture,30
little india,29
tiong bahru,29
mr. tan,28
old man,26
auntie mei,26
kam lee,25
banyan tree,23
vibrant colors,22
young woman,22
uncle lim,22
mr. rajan,22
social media,21
deep breath,21
blue orchid,20
warm glow,18
auntie may,18
local artists,16
chicken rice,16
su lin,15
golden hue,14
taman bunga,13
elderly man,12
rich tapestry,12
hard work,11
ghost orchid,11
tiong bahru eats,11
starfruit tree,11
botanic gardens,10
mr. lee,10
vibrant streets,9
char kway teow,9
vibrant tapestry,9
profound sense,9
hawker stall,9
rich history,9
lush greenery,9
uncle wong,9
rainy afternoon,8
soft glow,8
young girl,8
warm smile,8
chen wei,8
hawker food,7
colorful banners,7
eternal blossom,7
food court,7
new generation,7
national day,7
sweet scent,6
hawker stand,6
toa payoh,6
kampung flavours,6
city life,6
bygone era,6
community event,6
new year,6
childhood friend,5
hidden gem,5
deep sense,5
culinary heritage,5
hawker centers,5
voice thick,5
rare orchids,5
gentle breeze,5
young couple,5
own dreams,5
warm golden hue,5
uncle liang,5
hawker centre,5
sustainable fashion,5
countless hours,5
young man,5
forgotten dreams,5
cultural heritage,5
own stories,4
loyal customers,4
hawker stalls,4
future generations,4
street food,4
vibrant hub,4
new life,4
delicious food,4
stark contrast,4
corporate world,4
corporate job,4
vibrant murals,4
elderly woman,4
wide eyes,4
air thick,4
vibrant culture,4
cultural showcase,4
gathering place,4
young people,4
vanda miss joaquim,4
national flower,4
familiar face,4
sunny afternoon,4
delicate balance,4
camera slung,4
golden glow,4
community garden,4
curry rice,4
local schools,4
silver hair,4
food lovers,4
mrs. tan,4
uncle tan,4
quaint café,3
concrete jungle,3
gentle smile,3
countless others,3
everyday life,3
late sixties,3
local media,3
traditional recipes,3
cooking classes,3
east coast park,3
hawker trade,3
trendy cafes,3
new generations,3
social media page,3
food bloggers,3
fairy lights,3
common ground,3
fateful afternoon,3
night sky,3
lively atmosphere,3
familiar warmth,3
narrow lanes,3
kueh lapis,3
family history,3
family gatherings,3
culinary school,3
proud smile,3
ancient banyan tree,3
new home,3
small stage,3
golden light,3
newfound determination,3
colorful stalls,3
local delicacies,3
colorful lanterns,3
culinary arts,3
famous laksa,3
coconut milk,3
food stall,3
pride swelling,3
modern techniques,3
busy day,3
community workshops,3
inspire others,3
tech startup,3
singapore orchid,3
delicate petals,3
own path,3
own journey,3
kitchen table,3
chance encounter,3
damp earth,3
city lights,3
young lady,3
sweet aroma,3
tall man,3
warm embrace,3
delicate art,3
friendly smile,3
new story,3
lunch crowd,3
youthful energy,3
vibrant stalls,3
small stall,3
vibrant flowers,3
journey begins,3
native orchids,3
rave reviews,3
true essence,3
young artists,3
young boy,3
fashion line,3
opening night,3
vibrant food scene,3
mrs. lim,3
blue orchids,3
unbreakable bond,2
high-end boutiques,2
late wife,2
street performers,2
community space,2
open-mic nights,2
way home,2
vibrant pulse,2
long week,2
hashtag #,2
government officials,2
# # #,2
modest flat,2
singapore art,2
small park,2
exhibition date,2
overheard snippets,2
candid shot,2
vibrant city,2
rich aroma,2
fragrant rice,2
conventional career,2
social media campaign,2
turning point,2
hawker community,2
culinary masterpieces,2
modern twist,2
traditional food,2
small hawker center,2
kampung flavours.,2
culinary traditions,2
high-end restaurants,2
fateful evening,2
real food,2
childhood days,2
community hub,2
newfound sense,2
treasure trove,2
local musicians,2
culinary skills,2
vibrant community,2
humid air,2
rainy evening,2
stable job,2
art scene,2
new path,2
art exhibition,2
vibrant part,2
colorful lights,2
clarke quay,2
cultural significance,2
humble beginnings,2
local newspaper,2
mei ling.,2
vibrant orchids,2
joyful chaos,2
karaoke machine,2
family members,2
white hair,2
family legacy,2
part ii,2
unexpected email,2
part iii,2
part iv,2
new lesson,2
part v,2
new ideas,2
new customers,2
unique touch,2
diverse group,2
magnetic pull,2
distant lands,2
bright eyes,2
soft wind,2
palms sweaty,2
makeshift stage,2
early settlers,2
cultural festivals,2
diverse cultures,2
vibrant saris,2
community leaders,2
video montage,2
old book,2
vibrant life,2
various backgrounds,2
trusty camera,2
fragrant aroma,2
soft breeze,2
strange connection,2
small gathering,2
share stories,2
sweet fragrance,2
community leader,2
watchful gaze,2
vibrant heart,2
delicious laksa,2
golden rays,2
familiar voice,2
university student,2
fragrant broth,2
fresh prawns,2
food critics,2
long day,2
traditional flavors,2
modern buildings,2
quest begins,2
profound appreciation,2
neon lights,2
pop-up shop,2
road festival,2
local designers,2
small booth,2
ion orchard,2
drawing attention,2
fashion industry,2
local artisans,2
pivotal moment,2
different countries,2
full circle,2
software engineer,2
traditional dance,2
public transportation,2
fellow artist,2
infectious laugh,2
various locations,2
creative partnership,2
art enthusiasts,2
vibrant tapestry woven,2
hawker dreams,2
adventurous spirit,2
long lines,2
noodle haven,2
authentic hawker fare,2
vibrant lights,2
rarest orchids,2
hybrid orchids,2
rare orchid,2
natural heritage,2
conservation efforts,2
vibrant city-state,2
iconic skyline,2
colorful streets,2
own struggles,2
san francisco,2
culturally connected,2
late nights,2
diverse backgrounds,2
familiar faces,2
user base,2
countless nights,2
incredible journey,2
art deco buildings,2
young age,2
small patch,2
community gardens,2
beautiful arrangement,2
urban life,2
young journalist,2
full moon,2
distant hum,2
annual event,2
vibrant street markets,2
old hawker stall,2
family business,2
famous curry rice,2
local journalist,2
modern twists,2
good morning,2
orh nee,2
forty years,2
local organizations,2
food enthusiasts,2
rice noodles,2
hawker stories,2
inviting locals,2
graphic designer,2
wild imagination,2
safe haven,2
unexpected visitor,2
newfound attention,2
local businesses,2
quick success,2
host cooking classes,2
golden fruit,2
sun shone,2
future—a reminder,2
frail frame,2
coffee shop,2
old friends,2
small art gallery,2
passion evident,2
own experiences,2
ava tan,2
small flat,2
intricate designs,2
busy streets,2
different backgrounds,2
tapestry woven,2
neat bun,2
long hours,2
chwee kueh,2
festive snacks,2
strange pull,2
dragon lantern,2
local vendors,2
newfound confidence,2
diverse influences,2
asha learning centre,2
intricate patterns,2
temple bells,2
small coffee shop,2
multicultural society,2
quiet corner,2
corporate lawyer,2
food trends,2
new faces,2
pastry chef,2
own right,2
newfound skills,2
tropical fruits,2
different world,2
loyal customer,2
young food blogger,2
long hair,2
aunty lim,2
nearby hawker stalls,2
media consultant,2
young chef,2
new chapter,2
oil lamps,2
tan hock meng,2
traditional hawker,2
broken compass,1
bedroom floor,1
lost—a contradiction,1
familiar feeling,1
tropical sun,1
usual spot,1
favorite corner,1
vintage photographs,1
quiet fruit market,1
commercial hub,1
side streets,1
gems—a street artist painting vibrant murals,1
family-run hawker stall,1
old bookstore,1
narrow lane,1
art gallery,1
street empty,1
gallery owner,1
experiences—each story,1
hawker stall owners,1
elderly vendors,1
vibrant essence,1
new corners,1
local boutiques,1
art displays,1
golden sun,1
once-familiar streets,1
different cultures,1
sunset paint,1
grand adventure,1
vibrant narrative,1
never ends,1
cultural hub,1
busy street,1
savory broth,1
signature noodles,1
generous side,1
chain restaurants,1
fast-food outlets,1
deep fondness,1
freshest vegetables,1
rapt attention,1
school uniform,1
storm approaches,1
dark cloud,1
local community,1
kind boy,1
loudest voices,1
lay awake,1
campaign begins,1
colorful posters,1
heartfelt statements,1
old hawker center,1
influential figures,1
strong community spirit,1
crisp shirt,1
honorable officials,1
hawker heritage,1
modern hawker center,1
innovative techniques,1
food festivals,1
community events,1
modern facilities,1
vibrant decorations,1
rhythmic sounds,1
eager patrons,1
home—a place,1
camera lens,1
conventional route,1
good school,1
tech firm,1
more—the chance,1
school trip,1
unique angle,1
fresh blooms,1
nearby bench,1
soft melody,1
traditional erhu,1
gentle stream,1
candid shots,1
note resonate,1
photography—two ways,1
open arms,1
serene gardens,1
diverse tapestry,1
stories matter,1
local gallery,1
elderly couple,1
anchor amidst,1
small corner,1
vivid picture,1
community centers,1
vibrant hum,1
golden hues,1
popular chicken rice stall,1
family time,1
inevitable evolution,1
school holidays,1
traditional hawker culture,1
fast-food chains,1
chicken rice stall,1
fast food,1
new trends,1
behind-the-scenes preparations,1
quirky videos,1
weekend cooking classes,1
elderly hawker,1
fiery temper,1
delicious satay,1
respect tradition,1
culinary talents,1
national campaign,1
fusion nonsense,1
harmonious blend,1
succulent chicken rice,1
fragrant satay skewers,1
zesty peanut sauce,1
competition day,1
drawing customers,1
final category,1
innovative dish,1
heritage bowl,1
prize money,1
newfound recognition,1
beautiful journey—a celebration,1
changing landscape,1
neon signs illuminate,1
vibrant patchwork,1
eager youths,1
carrot cake,1
sturdy frame,1
jovial disposition,1
immense pride,1
tender meat,1
late father,1
unwelcome guest,1
shiny cafes,1
modern bistros,1
familiar comforts,1
traditional fare,1
local university student,1
busy schedule,1
trendy food spots,1
long time,1
slight hesitation,1
own childhoods,1
fellow students,1
local residents,1
social media posts,1
festival date,1
stand—a chance,1
sweet treats,1
curious newcomers,1
festive atmosphere,1
face radiant,1
newfound momentum,1
monthly events,1
cultural exchange,1
popular platform,1
world changes,1
futuristic skyline,1
top banks,1
emptiness crept,1
alarm clock,1
fellow commuters—each,1
own world,1
sharp acumen,1
cool head,1
professional facade,1
freelance artist,1
respective careers,1
easy laughter,1
own passions,1
corporate ladder,1
daily grind,1
own destiny,1
explore art,1
own gallery,1
bold decision,1
dive headfirst,1
vibrant art scene,1
financial instability,1
key artist,1
venue issue,1
entire event,1
low moments,1
vibrant showcase,1
art lovers,1
previous job,1
pride evident,1
new role,1
art curator,1
constant source,1
corporate machine,1
artistic tapestry,1
skyscrapers—a place,1
true self,1
delicate flowers,1
late husband,1
avid gardener,1
particular orchid,1
rare hybrid,1
delicate shade,1
fiftieth anniversary,1
loud knock,1
tumultuous days,1
small kampong,1
cultivate beauty,1
thread woven,1
old woman,1
perfect opportunity,1
remarkable woman,1
unexpected surprise,1
similar experiences,1
setting sun,1
shy girl,1
gentle breeze sweep,1
successful journalist,1
launch event,1
gathering crowd,1
faces lit,1
sarah tan,1
vibrant energy,1
family member,1
taxi stand,1
ultramodern skyscrapers,1
colonial-era buildings,1
daily specials,1
pineapple tarts,1
favorite memories,1
local dishes—chicken rice,1
family life,1
favorite oldies,1
special gift,1
large scrapbook,1
late-night conversations,1
early hours,1
colorful gems,1
familiar tune,1
dreams interwoven,1
sun setting,1
fast pace,1
vibrant hawker center,1
constant stream,1
numerous stalls,1
family-run establishment,1
thick mane,1
coldest heart,1
own ambitions,1
international culinary school,1
prestigious chef program,1
cooking videos online,1
long way,1
laughter contagious,1
video games,1
chase yours,1
prep work,1
departure date,1
daily operations,1
farewell party,1
world-class chef,1
heartfelt speech,1
new recipes,1
culinary journey,1
dove headfirst,1
learning techniques,1
delicate pastries,1
dark circles,1
master chef,1
frustration evident,1
lightbulb moment,1
new menu items,1
familiar aroma,1
new sign,1
tradition meets innovation,1
fresh breath,1
local sensation,1
part vi,1
deep connection,1
exciting journey,1
thick canopy offering,1
modern architecture,1
grey hair,1
motley crew,1
parents—and transport,1
shy primary school girl,1
curious mind,1
funny bits,1
suspenseful moments,1
lively teenager,1
young warrior,1
insurmountable odds,1
playful comments,1
usual applause,1
young faces,1
anything—a dream,1
hilarious incident,1
entire jug,1
school assembly,1
weave tales,1
hard times,1
cultural revolution,1
her—a sense,1
integral part,1
exchange stories,1
young ones,1
gathering stories,1
picnic baskets,1
final words,1
stories past,1
bright future,1
urban skyline,1
tender age,1
curious spirit,1
adults pause,1
favorite book,1
loud commotion,1
golden lock,1
wild theories,1
suspicion evident,1
inexplicable connection,1
sir stamford raffles,1
own culture,1
field trip,1
national museum,1
intricate costumes,1
elegant qipaos,1
invite students,1
brainstorm ideas,1
talent show,1
interview families,1
makcik zainab,1
hari raya,1
central role,1
indian girl,1
traditional sweets,1
lion dances,1
traditional indian dances,1
colorful display,1
center stage,1
screen lit,1
nerves fade,1
final video,1
joy prick,1
unique backgrounds,1
fateful day,1
different cuisines,1
luminous tales,1
overgrown garden,1
forgotten relic,1
wild vines,1
eye—a flash,1
purple amidst,1
overgrown foliage,1
exquisite orchid,1
delicate gold streaks,1
legendary orchids,1
magical properties,1
research online,1
rare species,1
adequate sunlight,1
rush home,1
delicate plant,1
new bloom,1
good grades,1
new camera,1
fortunate events,1
unexpected job,1
decent salary,1
magnificent blooms,1
tiny apartment,1
grandmother everything—the orchid,1
life force,1
matters more—the happiness,1
shaky voice,1
everything—the orchid,1
newfound happiness,1
delicate flower,1
strange warmth envelop,1
inviting neighbors,1
breathe life,1
delicious hawker fare,1
new blooms sprang,1
miraculous transformation,1
passions—her studies,1
newfound role,1
star orchid,1
new beginning—one,1
modern skyscrapers,1
colonial buildings,1
bras basah,1
hipster café,1
sleek art gallery,1
hawker stall—ah,1
silver mop,1
secret family recipe,1
food delivery apps,1
gourmet establishments,1
traditional hawker scene,1
late afternoon,1
modern eateries,1
flashy signs,1
minimalist interiors,1
curious girl,1
student exchange program,1
great chef,1
incredible recipe,1
humble setup,1
metal pots,1
long shadows,1
spare moment,1
fish market,1
hollow shell,1
small line,1
tender smile,1
heady aroma,1
famed laksa,1
vibrant bowls,1
wanted—his legacy,1
big thing,1
culinary scene,1
profound flavors,1
temporary surge,1
quiet afternoon,1
sun dip,1
new recipe—fusion laksa,1
truffle oil,1
vegetarian version,1
young food enthusiasts,1
old patrons,1
unique laksa,1
future—a place,1
samantha lee,1
city skyline,1
glass facades,1
familiar buzz,1
pre-war shop house,1
frail figure,1
blue tiles,1
small wooden table,1
heart race,1
curious mix,1
difficult circumstances,1
forgotten heirloom,1
wooden box,1
delicate patterns,1
delicate gold necklace,1
old family records,1
southern provinces,1
tumultuous times,1
early 20th century,1
small fortune,1
more—a rumor,1
aidan tan,1
old letters,1
cryptic note,1
significant family events,1
determination swelling,1
various parks,1
bukit brown,1
serene landscape,1
following aidan,1
old coins,1
true wealth,1
legacy continues,1
own histories,1
encouraging others,1
red dot,1
new narratives,1
timeless echoes,1
indomitable spirit,1
samantha chua,1
warm rays,1
bedroom window,1
familiar scent,1
quick shower,1
comfortable sundress,1
messy bun,1
reusable bag,1
mere 10-minute walk,1
street musicians,1
vibrant backdrop,1
iconic mall,1
high-end fashion,1
artisanal food stalls,1
welcome relief,1
quick browse,1
favorite stores,1
thrift stores,1
booth location,1
visible area,1
behind-the-scenes images,1
design process,1
fashion accessible,1
local fashion influencer,1
strong sense,1
main area,1
full-fledged brand,1
various fashion events,1
host workshops,1
own clothes,1
regional sustainability conference,1
prestigious event,1
industry leaders,1
environmental advocates,1
numerous inquiries,1
regular workshops,1
home décor,1
cozy studio,1
fashion influencers,1
sustainable future,1
new cultures,1
different approaches,1
initial pop-up booth,1
permanent storefront,1
ripple effect,1
sustainable fashion—one garment,1
successful global brand,1
consumption habits,1
embrace sustainability,1
fashion giants,1
small boutique,1
tall—a testament,1
distant music,1
fresh start,1
cosmopolitan city,1
savory aroma,1
communal table,1
scene—the vibrancy,1
new job,1
modern space,1
bright colors,1
warm smiles,1
enthusiastic introductions,1
product manager,1
tech culture,1
everyday life—from smart traffic systems,1
cashless hawker stalls,1
dynamic atmosphere,1
rhythmic clatter,1
light display,1
own tech startup,1
personal dreams,1
significant part,1
life—a friend,1
gender disparity,1
personal experiences,1
new city,1
different culture,1
language nuances,1
tech community,1
new app,1
real-time data,1
user preferences,1
suggests routes,1
traffic patterns,1
professional relationship,1
sudden downpour,1
personal lives,1
challenges—long hours,1
waves crash,1
big presentation,1
head investor,1
adrenaline rush,1
light show dance,1
mere exploration—it,1
luminous city,1
young professionals,1
solitary arrival,1
foreign city,1
multicultural tapestry,1
own story—a story,1
iconic silhouette,1
small apartment window,1
entire life,1
national flower—the,1
personal project,1
quick breakfast,1
favorite sundress,1
singapore botanic gardens,1
festival grounds,1
undeniable connection,1
document floral beauty,1
magical glow,1
inspiration ignite,1
creative journey,1
collaborative project,1
fierce determination,1
camera click,1
prestigious photography exhibition,1
art community,1
amazing artist,1
joint project,1
colorful complement,1
close eye,1
local art,1
individual careers,1
deep bond,1
respective paths,1
vibrant painting,1
deep friendship,1
final touches,1
botanical gardens,1
life—the whispers,1
sweet tang,1
chili sauce,1
lunchtime rush,1
own hawker stall,1
vibrant neighborhoods,1
hawker legend,1
delectable char kway teow,1
trade—the balance,1
right wok,1
grandmother interact,1
for—a chance,1
makeshift table,1
modern twists—maybe,1
spicy laksa pasta,1
chai latte bubble tea,1
taste tests,1
coconut curry spaghetti,1
hawker license,1
bureaucratic hurdles,1
stringent health regulations,1
innovative ideas,1
traditional crowd,1
unique—her ability,1
blend flavors,1
contemporary culinary trends,1
nostalgic memorabilia,1
contemporary art pieces,1
signature dishes—spicy sambal pasta,1
delightful mango sago dessert,1
initial rush,1
new offerings,1
spicy sambal pasta,1
rave reviews online,1
social media influencers,1
positive comment,1
original vision,1
busy lunch hour,1
menu update,1
organic noodles,1
local spices,1
fresh ingredients,1
young daughter,1
laughter filling,1
young hawker,1
connections—a reflection,1
humid climate,1
elegant invitation,1
intricate floral designs,1
fellow orchid enthusiasts,1
renowned botanists,1
own collection,1
new orchid species,1
deep green dress,1
dark hair,1
white orchid,1
sight—the garden,1
soft lights,1
colorful orchids,1
tropical cocktails,1
botanical adventures,1
exquisite species,1
extinct—a ghost orchid,1
delicate white petals,1
samuel tan,1
dense rainforests,1
urgent need,1
own quest,1
elusive ghost orchid,1
reading journals,1
bukit timah nature,1
rocky terrains,1
dense underbrush,1
rare plants,1
familiar sight,1
reference books,1
tall figure,1
wild hair,1
new species,1
nature reserve,1
familiar shape,1
illegal collectors,1
delicate species,1
new purpose,1
initial quest,1
large crowd,1
beautiful flora,1
looking ahead,1
rare flower—it,1
natural beauty,1
here—the journey,1
simple invitation,1
lifelong quest,1
bay area,1
local cafe,1
humble flat,1
fragrant delicacies,1
modern life,1
simple joys,1
dull evening,1
memorable adventure,1
mooncakes filling,1
recent struggles,1
lotus seed paste,1
painting intricate designs,1
paper lantern,1
own design,1
express feelings,1
traditional games,1
new friends,1
lantern procession,1
community matters,1
local community center,1
newfound joy,1
traditional crafts,1
elderly lady,1
early days,1
community center,1
silver light,1
tech startups,1
new app idea,1
renowned tech conference,1
typical day,1
user interface,1
market trends,1
self-doubt crept,1
young entrepreneur,1
career choices,1
reputable company,1
startup life,1
good head,1
ambitious dreams,1
real difference,1
innovative startups,1
cutting-edge technologies,1
cultural connection,1
constructive feedback,1
top prize,1
potential collaborators,1
culturally connected.,1
small team,1
setbacks—technical glitches,1
financial hurdles,1
sheer frustration—but,1
initial response,1
virtual cooking classes,1
countless messages,1
true significance,1
real connections,1
geographical boundaries,1
entrepreneurial journey,1
successful app,1
financial gains,1
veins—a rhythm,1
cultural festival,1
collective narrative,1
own skin,1
unexpected reunion,1
favorite café,1
quiet alley,1
occasional after-work drinks,1
unexpected figure,1
white shirt,1
dark jeans,1
heart racing—was,1
university days,1
late-night study sessions,1
endless cups,1
successful software engineer,1
thoughtful expression,1
different paths,1
respective responsibilities,1
familiar shops—tangs,1
own café,1
nearby storefront,1
life just…,1
tech company,1
festive spirit,1
exchange numbers,1
unspoken possibility,1
daily lives,1
usual dinner,1
order food online,1
bold proposition,1
creative spirits,1
late-night discussions,1
occasional silence,1
launch date,1
impress potential investors,1
wide grin,1
excitement contagious,1
initial investment,1
tender kiss,1
unspoken connection,1
quiet evening stroll,1
boats drift,1
city sparkle,1
beautiful tapestry,1
household name,1
food delivery industry,1
own rhythm—a harmonious blend,1
small flower shop,1
color amidst,1
express sympathy,1
