Word,Frequency
que,1837
um,1024
uma,1015
com,784
da,767
em,677
para,528
sua,510
ele,492
os,468
era,428
mas,428
ao,401
floresta,379
não,332
você,325
seu,317
por,292
estava,273
suas,271
mais,261
como,259
havia,234
sobre,229
vila,227
é,218
das,200
à,199
coração,187
vida,187
começou,171
sempre,169
histórias,166
seus,166
cada,164
árvore,157
história,150
sentiu,149
pela,144
eu,136
aldeia,135
onde,129
apena,124
natureza,123
disse,122
dia,116
lugar,115
decidiu,115
tempo,113
enquanto,112
olhos,108
pequena,105
jovem,105
noite,105
ser,105
agora,100
pessoas,99
parecia,99
amor,97
também,96
assim,94
quando,94
lago,94
entre,92
voz,90
nunca,89
core,86
algo,85
sol,84
nos,84
coragem,83
foi,83
redor,81
suave,79
tornou,78
percebeu,77
todo,77
palavra,76
casa,75
sorriu,75
isso,74
cidade,73
água,73
mundo,73
medo,73
tinha,72
encontrou,72
eram,72
está,68
sonhos,67
começaram,67
perguntou,65
vez,64
magia,63
sussurro,62
são,62
até,62
caminho,62
vento,62
esperança,62
encantada,61
sabia,61
momento,60
aquele,58
viu,58
espírito,58
beleza,57
mistério,57
respondeu,56
aqui,56
após,56
sentia,55
olhou,55
estrelas,55
pelo,55
flore,55
outros,54
nova,53
ante,53
amigo,53
verdadeira,52
deve,51
aproximou,51
clareira,51
todos,50
poderia,50
fazer,50
anos,49
continuou,49
tesouro,49
hora,49
centro,49
tudo,49
curiosidade,49
lenda,49
sombra,48
moradore,48
chegou,48
ainda,48
encontrar,48
pode,47
estavam,47
parte,47
mesmo,47
manhã,47
verde,47
certa,46
importância,46
chamada,46
mágica,46
dentro,46
céu,45
olhar,45
estivesse,45
onda,45
avó,45
jornada,44
dela,44
descobrir,44
ar,44
novamente,44
muito,43
busca,43
cheia,43
passar,43
conexão,43
vibrante,43
segredo,42
pareciam,42
ouvir,42
dele,42
dona,42
grande,42
então,41
guardiã,41
essa,41
lado,41
finalmente,41
mágico,40
último,40
desafio,40
jardim,40
alegria,39
precisava,39
farol,39
folhas,39
ter,39
fez,39
força,39
energia,39
explorar,39
lúcia,38
sem,38
entanto,38
sentindo,38
verdade,38
fonte,38
música,38
volta,37
junto,37
comunidade,37
título,37
arte,37
mãos,37
ficou,37
pedra,36
contar,36
especial,36
ver,36
praça,36
criaturas,36
habitante,36
direção,35
sou,35
segredos,35
homem,35
voltar,35
harmonia,35
quem,35
leve,35
fundo,34
enfrentar,34
desde,34
mãe,34
própria,34
flores,34
rosto,34
som,33
sombras,33
criando,33
poder,32
longo,32
brilhavam,32
mulher,32
geração,32
chave,31
passo,31
capítulo,31
minha,31
determinação,31
canto,31
apenas,31
antiga,31
verdadeiro,31
há,31
algumas,31
chamado,31
pequeno,30
emoções,30
guardião,30
chegar,30
novo,30
rio,30
lhe,30
mão,30
caminhava,30
crianças,29
seguinte,29
cristal,29
depois,29
horas,29
porta,29
sim,29
lisboa,29
montanhas,28
terra,28
embora,28
sob,28
mente,28
brilhar,28
olhando,28
forte,28
tocar,28
desejo,28
sabedoria,27
essência,27
estar,27
realmente,27
já,27
posso,27
diferente,27
caverna,27
legado,26
cuidar,26
quero,26
diziam,26
tem,26
veze,26
pouco,26
aventuras,26
união,26
cabelos,26
nossa,26
lendas,26
antigo,25
sido,25
folha,25
hesitou,25
estrela,25
teve,25
toda,25
nós,25
ouviu,25
cores,25
eco,25
lembrando,24
brisa,24
através,24
ideia,24
sorriso,24
aventura,24
dor,24
beira,24
passado,24
levou,24
determinada,24
às,24
fada,24
grupo,23
amélia,23
alta,23
naquela,23
seguiu,23
ajudar,23
presença,23
memórias,23
figura,23
voltou,23
conhecida,23
brilhante,23
profundo,23
feito,22
meu,22
viva,22
viver,22
deixar,22
surpresa,22
lembrou,22
envolveu,22
vamos,22
forma,22
tradições,22
luísa,22
águas,22
só,22
este,22
tornaram,22
consigo,22
resposta,21
inspiração,21
velho,21
concha,21
precisa,21
barco,21
menina,21
compartilhar,21
densa,21
silêncio,21
ou,21
diário,21
montanha,20
encontrado,20
deixou,20
estou,20
dourada,20
alguém,20
outro,20
amizade,20
dos,20
alencar,20
escondido,20
perdido,20
ruas,20
festival,20
aos,20
passaram,20
vale,20
praia,20
próprio,20
partiu,20
novas,20
atenção,20
paz,20
trás,20
cor,20
pegou,20
aldeões,20
azul,20
intensamente,20
cercada,20
entrar,20
brilho,20
tão,20
frente,19
pássaros,19
escuridão,19
seguir,19
diante,19
fechou,19
lembre,19
símbolo,19
observando,19
criatura,19
passou,19
memória,19
repente,19
livro,19
futuro,19
ajuda,19
entender,19
queria,18
rafael,18
planta,18
raíze,18
falou,18
serpente,18
ladrão,18
dançavam,18
apareceu,18
proteger,18
ambiente,18
explicou,18
tarde,18
visto,18
cheio,18
velhos,18
preste,18
explorando,18
pintar,18
passava,18
senhor,18
lanterna,17
mágicas,17
lágrimas,17
vocês,17
parede,17
espaço,17
medida,17
campo,17
exposição,17
tinham,17
foram,17
coberta,17
respirou,17
artista,17
algun,17
local,17
fascinada,17
podia,17
infância,17
brilhando,17
si,17
aquela,17
caminhada,17
partir,17
deseja,17
animais,17
tempestade,17
mesma,17
vidas,17
experiências,17
poderiam,16
evento,16
esta,16
fora,16
seguiram,16
naquele,16
reino,16
sensação,16
conhecer,16
próprias,16
sentir,16
emanava,16
pronta,16
primeira,16
três,16
proteção,16
decidiram,16
intrigada,16
respeitar,16
conseguiu,16
criar,16
primeiro,16
corpo,16
iluminava,16
lá,16
poucos,16
sentou,16
contada,16
maior,16
mochila,15
falava,15
eldrin,15
superfície,15
tranquila,15
conhecido,15
aprender,15
podiam,15
contavam,15
transformou,15
ouvindo,15
sussurros,15
fazendo,15
aprendeu,15
bem,15
ensolarada,15
rapidamente,15
bondade,15
fresco,15
precisamos,15
abriu,15
presente,15
suavemente,15
tronco,15
acelerado,15
profunda,15
mudar,14
aproximar,14
qualquer,14
logo,14
fogo,14
lições,14
sere,14
mistérios,14
corações,14
cheiro,14
aprendido,14
levantou,14
notou,14
muitos,14
projeto,14
seria,14
nome,14
coberto,14
meio,14
aroma,14
dançar,14
voze,14
conforme,14
longe,14
felicidade,14
relógio,14
ninguém,14
durante,14
missão,14
maneira,14
podem,14
organizou,14
antigas,14
ouvia,14
estão,13
sr,13
canção,13
conseguia,13
caderno,13
repleto,13
contou,13
pássaro,13
levando,13
será,13
quase,13
tentando,13
peso,13
caminhou,13
nosso,13
destino,13
cuidado,13
tela,13
cabeça,13
figueira,13
pensou,13
pôr,13
joven,13
paixão,13
avô,13
segundo,13
parou,13
iluminando,13
falar,13
distante,13
descoberta,12
habitavam,12
emoção,12
arrepio,12
esperando,12
semente,12
escondida,12
ecoou,12
fadas,12
despediu,12
espinha,12
deveria,12
espalhou,12
calor,12
horizonte,12
próxima,12
mese,12
levar,12
ondas,12
esquecida,12
melodia,12
profundamente,12
fosse,12
pelas,12
sinto,12
dizia,12
chão,12
puro,12
intrigado,12
repleta,12
prometeu,12
pronto,12
interior,12
dois,12
momentos,12
contava,12
radiante,12
tivesse,12
escrever,12
refletia,12
trabalho,12
percebendo,12
acelerar,12
triste,12
lentamente,12
filtrava,11
sagrada,11
cercavam,11
entrada,11
iluminada,11
esse,11
existe,11
frio,11
los,11
laura,11
visitar,11
curioso,11
única,11
aconteceu,11
pinturas,11
segurando,11
espetáculo,11
cercava,11
gratidão,11
saiu,11
humanos,11
respeito,11
pairava,11
maré,11
expressão,11
contando,11
verão,11
guardava,11
numa,11
saber,11
trazer,11
trazendo,11
ecos,11
sabe,11
daquele,11
pensar,11
simple,11
ano,11
deu,11
tanto,11
pudesse,11
observava,11
pequenas,11
conversando,11
lar,11
reside,11
mostrando,11
usar,11
aventureiro,11
gerações,11
equilíbrio,11
realidade,10
carta,10
assustada,10
encontraram,10
região,10
conhecimento,10
imagem,10
encontro,10
tristeza,10
tocou,10
desejos,10
além,10
revelando,10
estranha,10
talvez,10
haviam,10
coloridas,10
alto,10
alfama,10
perdida,10
ecoava,10
revelou,10
árvores,10
sentada,10
abrir,10
preservar,10
outras,10
floresceu,10
feita,10
lumina,10
poderá,10
acreditava,10
mural,10
galeria,10
admirando,10
luze,10
topo,10
reuniam,10
falavam,10
murmúrio,10
avistou,10
luta,10
caçador,10
obra,10
trabalhar,10
algum,10
pintura,10
todas,10
outono,10
sonhava,10
trilha,10
vestido,10
intensa,10
silvestre,10
agradeceu,10
melhor,10
exclamou,10
pois,10
madeira,10
pelos,9
conta,9
dar,9
belém,9
sonhar,9
fim,9
valor,9
traz,9
caminhavam,9
tradição,9
nuvens,9
desvendar,9
dizer,9
atrás,9
apoio,9
iluminado,9
real,9
chama,9
colina,9
obras,9
elas,9
aproximando,9
surgiu,9
buscar,9
esqueceu,9
tenho,9
desapareceu,9
medos,9
virou,9
chamou,9
preciso,9
respeitado,9
responsabilidade,9
areia,9
desta,9
adiante,9
olhava,9
minuto,9
fascinado,9
cristalino,9
pedras,9
perigo,9
maravilhada,9
incrível,9
ouro,9
sagrado,9
sozinha,9
devemos,9
vir,9
continuar,9
caminhar,9
sussurravam,9
respeitada,9
flor,9
celebrar,9
soube,9
chegaram,9
celebração,9
sonhador,9
objetos,9
sábia,9
janelas,9
mapa,9
entusiasmo,9
restaurar,9
conectar,9
ventos,9
última,9
assentiu,9
muitas,9
completamente,9
juntos,9
trouxe,9
pulsando,9
ouvira,9
importa,9
doce,9
ton,9
compartilhou,9
atmosfera,9
percorreu,9
precioso,9
têm,9
retornar,9
começava,9
reflexo,9
cercado,9
carvalho,9
alguns,9
tenha,9
dias,9
vista,9
verdejante,9
acreditar,9
curiosa,8
localizada,8
conto,8
longos,8
unir,8
