story_id,sentiment,confidence,model,date
KZ_1,sadness,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_2,joy,0.49,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_5,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_8,joy,0.47,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_11,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_12,fear,0.66,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_13,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_15,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_16,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_20,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_23,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_24,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_28,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_32,fear,0.52,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_33,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_34,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_36,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_37,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_39,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_41,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_42,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_43,sadness,0.78,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_45,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_47,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_48,joy,0.56,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_49,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
KZ_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
