Word,Frequency
heart,452
story,385
feel,372
stone,345
village,307
whisper,290
voice,285
villager,266
spirit,250
like,223
eye,220
stand,220
tale,190
ancient,187
know,184
share,180
magic,174
light,169
begin,168
echo,166
air,162
land,161
find,149
glen,146
love,134
come,133
past,132
tree,129
day,126
time,124
place,124
night,124
hill,123
leave,123
listen,118
fill,116
shadow,116
dance,116
say,113
world,112
life,111
grandmother,111
wind,108
weave,105
return,104
wood,103
whispering,102
seek,101
keeper,100
turn,99
close,98
speak,98
old,97
darkness,97
moment,96
hope,96
laughter,95
face,94
gather,93
sense,92
song,91
hear,91
faerie,91
figure,91
secret,90
forest,89
sun,88
connection,88
lough,88
earth,88
memory,87
step,87
fear,87
hold,86
ancestor,85
woman,84
deep,83
long,83
sky,83
grow,82
evening,79
child,79
small,78
glow,77
hand,76
fade,74
home,74
guide,73
history,73
way,73
weight,73
word,72
race,72
people,72
water,71
melody,71
glenmore,71
remember,71
lose,70
year,70
cast,70
approach,69
power,69
edge,69
energy,68
shimmer,67
understand,67
hair,66
honor,65
beneath,64
see,63
soft,63
path,62
carry,62
oak,62
call,62
embrace,62
continue,61
warmth,59
reply,59
young,59
vision,59
pass,59
name,59
mind,59
tell,58
truth,58
banshee,58
circle,57
believe,57
legend,57
valley,56
envelop,56
smile,56
sound,56
dream,55
wisdom,55
guardian,55
community,54
ask,54
reach,53
strength,53
protect,53
breeze,53
live,53
fire,52
lake,52
forget,52
clearing,51
take,50
set,50
joy,49
gentle,49
change,49
follow,48
flow,48
cailleach,48
presence,48
horizon,47
emerald,47
stones,47
curiosity,47
festival,46
gathering,46
new,46
bond,46
let,46
beauty,45
sit,45
tapestry,45
sing,45
away,45
surface,45
illuminate,45
watch,44
draw,44
generation,44
form,44
surround,44
week,44
county,44
adventure,43
alive,43
scent,43
vibrant,43
open,42
title,42
dip,42
soul,42
wave,41
deeply,41
reveal,41
balance,41
pull,41
thick,41
field,40
forward,40
celebrate,40
center,40
resonate,40
legacy,40
forever,40
learn,40
kerry,40
father,40
fae,40
wander,39
surge,39
music,39
emerge,39
eileen,39
nature,39
venture,39
wildflower,39
explore,39
hue,39
mist,39
reminder,38
star,38
rise,38
moon,37
girl,37
warm,37
want,36
tear,36
wish,36
excitement,36
belief,36
wash,36
determination,36
gaze,36
pound,36
caitlin,36
strong,36
landscape,36
storm,36
transform,36
knowledge,35
journey,35
golden,35
ignite,35
thrive,35
nod,35
sorrow,35
rustle,35
suddenly,35
roll,35
lead,35
bring,35
realm,35
dark,34
need,34
cottage,34
uncover,34
bind,34
mean,34
woods,33
remain,33
tremble,33
courage,32
remind,32
think,32
cliff,32
mother,32
future,31
break,31
depth,31
breath,31
nestle,31
intertwine,31
unity,30
silver,30
ground,30
swirl,30
promise,30
walk,30
glenwood,30
green,30
heritage,30
folklore,30
join,30
root,30
notice,29
autumn,29
glendalough,29
river,29
shift,29
ethereal,29
lugh,29
branch,29
age,29
distant,29
sparkle,29
warn,28
expression,28
flicker,28
swell,28
loss,28
choose,28
stumble,28
fabric,28
hide,28
wait,28
pulse,28
help,28
understanding,27
purpose,27
steady,27
finian,27
morning,27
shimmering,27
decide,27
gratitude,27
final,27
look,27
urge,27
man,27
fall,27
celebration,27
finger,27
family,27
dawn,26
friend,26
mountain,26
great,26
fionn,26
familiar,26
press,26
wonder,26
captivate,26
realize,26
heavy,26
aislinn,26
spend,25
paint,25
glade,25
slowly,25
essence,25
run,25
cool,25
ring,24
visit,24
course,24
organize,24
silence,24
crisp,24
elder,24
testament,24
softly,24
shore,24
dear,23
weather,23
bridge,23
dare,23
maura,23
prepare,23
flickering,22
discover,22
low,22
rich,22
spine,22
storyteller,22
cloak,22
belong,22
gold,22
hour,22
linger,22
foot,22
racing,22
tall,22
beacon,22
shape,22
sunlight,22
cry,22
wild,21
chest,21
flame,21
grove,21
niamh,21
pride,21
thread,21
peace,21
square,21
barely,21
gnarl,21
etch,21
note,21
local,21
rush,21
sacred,21
importance,21
threaten,21
moonlight,21
powerful,20
fiery,20
chill,20
profound,20
ensure,20
thought,20
recount,20
sea,20
crowd,20
steep,20
gently,20
shall,20
fight,20
clear,20
fairy,20
awe,19
gasp,19
determine,19
symbol,19
wide,19
melodic,19
present,19
witness,19
merely,19
newfound,19
meet,19
unite,19
wildwood,19
catch,19
wear,19
dún,19
moira,19
mingle,19
high,19
confront,19
anticipation,19
sweet,19
bathe,19
brave,19
raise,18
sadness,18
pine,18
emotion,18
hang,18
winter,18
season,18
adorn,18
battle,18
arrive,18
appear,18
wrap,18
restore,18
gift,18
delicate,18
finally,18
creature,18
flourish,18
murmur,18
force,18
loom,18
color,18
spark,18
guidance,17
silent,17
kneel,17
intrigue,17
mystery,17
plan,17
inspire,17
connect,17
flower,17
breathe,17
wing,17
image,17
moss,17
shiver,17
hidden,17
respect,17
harmony,17
harvest,17
shamrock,17
work,17
arm,17
play,16
bright,16
endure,16
mix,16
summer,16
enchantment,16
experience,16
stream,16
century,16
invite,16
lios,16
treasure,16
declare,16
forge,16
lift,16
inexplicable,16
search,16
red,16
true,16
encounter,16
tower,16
faery,16
thank,16
challenge,16
enter,16
sweep,16
choice,16
awaken,16
despair,16
end,16
source,16
wise,16
spin,15
create,15
tradition,15
recognize,15
glimmer,15
kilmore,15
reclaim,15
solace,15
manuscript,15
far,15
howl,15
vanish,15
longing,15
large,15
door,15
twinkle,15
human,15
rhythm,15
fierce,15
await,15
strange,15
spread,15
warrior,15
settle,15
intently,15
stretch,15
erupt,15
lush,15
ireland,15
allow,14
beautiful,14
curse,14
despite,14
singing,14
clíodhna,14
ripple,14
welcome,14
passion,14
unfold,14
resolve,14
shake,14
cloud,14
lantern,14
carving,14
enchant,14
meeting,14
truly,14
touch,14
beckon,14
roam,14
go,14
twilight,14
fateful,14
living,14
possess,14
orange,14
aill,14
willing,14
startle,14
sacrifice,14
gossamer,14
cian,14
ready,13
creep,13
wail,13
rekindle,13
wall,13
summon,13
damp,13
regard,13
gráinne,13
eamon,13
irish,13
afternoon,13
cover,13
vein,13
namhrán,13
rally,13
flood,13
quiet,13
sight,13
pierce,13
price,13
heartstone,12
faint,12
tend,12
following,12
near,12
haunt,12
crop,12
doubt,12
ear,12
reverence,12
right,12
croghan,12
crackle,12
inside,12
folk,12
closely,12
thing,12
filter,12
stir,12
island,12
pique,12
key,12
bark,12
caomh,12
determined,12
room,12
resilience,12
mere,12
consume,12
shoulder,12
mixture,12
god,12
dúchas,12
enchanting,12
hum,12
laugh,12
transcend,12
lean,12
imagination,12
relic,12
concern,11
write,11
struggle,11
ngael,11
exclaim,11
responsibility,11
entwine,11
trace,11
soon,11
particularly,11
quaint,11
brush,11
little,11
lesson,11
dublin,11
sentinel,11
childhood,11
bravery,11
preserve,11
bear,11
free,11
storytelling,11
traditional,11
silvery,11
epilogue,11
lost,11
climb,11
street,11
atlantic,11
hearth,11
glimpse,11
spirited,11
remnant,11
send,11
otherworldly,11
bloom,11
shadowy,11
trial,11
rock,11
renew,11
miss,11
cascade,11
forth,11
glenshire,11
cherish,11
radiant,11
outside,10
fate,10
reflect,10
exist,10
proud,10
box,10
pour,10
pattern,10
sidhe,10
ocean,10
carrigmore,10
spot,10
accept,10
pure,10
nua,10
gain,10
firm,10
baile,10
aisle,10
month,10
glenshane,10
weep,10
grant,10
tonight,10
agree,10
eager,10
descend,10
sanctuary,10
replace,10
clothe,10
glance,10
entrance,10
rest,10
later,10
auburn,10
different,10
thatched,10
discovery,10
curious,10
hesitate,10
louder,10
deepen,10
overwhelming,10
blue,9
disbelief,9
kiss,9
chaos,9
burden,9
imagine,9
kilmara,9
ah,9
plant,9
death,9
matter,9
collect,9
resolute,9
mortal,9
hound,9
lore,9
erin,9
pink,9
piece,9
yearn,9
lord,9
satchel,9
base,9
existence,9
léan,9
candle,9
stag,9
dapple,9
ago,9
adventurous,9
warning,9
late,9
pool,9
mystical,9
intricate,9
trepidation,9
searrach,9
blend,9
breathless,9
cave,9
guard,9
give,9
chamber,9
desire,9
roof,9
unwavering,9
move,9
offer,9
shroud,9
blossom,9
solstice,8
bell,8
united,8
soil,8
shade,8
morgana,8
smooth,8
crash,8
shout,8
trunk,8
travel,8
grass,8
rough,8
arrival,8
shine,8
rain,8
cold,8
comfort,8
garden,8
line,8
cost,8
capture,8
carefully,8
heal,8
allure,8
element,8
response,8
craft,8
drift,8
palpable,8
floor,8
aonghasa,8
message,8
thrill,8
healer,8
haunting,8
timeless,8
atmosphere,8
amidst,8
insatiable,8
eoghan,8
cycle,8
hush,8
druid,8
herb,8
tune,8
carve,8
chant,8
countless,8
majestic,8
teach,8
answer,8
stammer,8
keep,8
corner,8
twist,8
cheek,8
explain,8
afraid,8
tullymore,8
head,8
kind,8
retreat,8
gleann,8
simple,8
tie,8
orb,7
focus,7
window,7
remembrance,7
sigh,7
selkie,7
tuatha,7
summit,7
tension,7
danann,7
abandon,7
dé,7
dreamer,7
sixteen,7
vast,7
modern,7
mischief,7
kindness,7
lirael,7
cross,7
pub,7
half,7
bury,7
instruct,7
widen,7
hint,7
desperation,7
brilliant,7
blanket,7
skeptical,7
brigid,7
happen,7
require,7
dim,7
pain,7
prayer,7
finn,7
event,7
narrow,7
offering,7
cautiously,7
revive,7
bread,7
exchange,7
quest,7
heaven,7
mysterious,7
ritual,7
real,7
throat,7
white,7
city,7
rumor,7
distance,7
electric,7
finish,7
whirlwind,7
nearby,7
group,7
culture,7
pulsate,7
neighboring,7
respond,7
sink,7
eve,7
misty,7
disturb,7
restless,7
roar,7
claim,7
reside,7
float,7
recognition,7
heartbeat,7
beginning,6
lineage,6
hall,6
tide,6
leane,6
task,6
protector,6
gortmore,6
destiny,6
era,6
slightly,6
pick,6
unlike,6
visitor,6
mischievous,6
save,6
brightly,6
glisten,6
applause,6
banish,6
beat,6
boat,6
thin,6
scene,6
magnificent,6
heather,6
outskirt,6
defeat,6
calm,6
extend,6
good,6
feeling,6
possibility,6
dwell,6
neighbor,6
cherished,6
knowing,6
threat,6
tread,6
waterfall,6
mirror,6
vivid,6
dissipate,6
triumph,6
unaware,6
fort,6
try,6
violet,6
lurk,6
maybe,6
absorb,6
ray,6
identity,6
humanity,6
soften,6
spring,6
dusk,6
creak,6
knit,6
feature,6
trust,6
twirl,6
tone,6
hello,6
skepticism,6
instinct,6
pause,6
myth,6
peak,6
bustling,6
stage,6
exploit,6
brow,6
isle,6
instead,6
map,6
nurture,6
chorus,6
symphony,6
yes,6
hero,6
tomorrow,6
command,6
crimson,6
freedom,6
fisherman,6
slip,6
ache,6
gust,6
bone,6
seep,6
salty,6
blind,6
canopy,6
act,6
lullaby,6
interest,5
space,5
fionnseach,5
robe,5
declan,5
encroach,5
approval,5
today,5
darken,5
tousled,5
care,5
rugged,5
drive,5
grip,5
sorrowful,5
danger,5
recoil,5
breathtaking,5
lover,5
exhilarate,5
caress,5
soothe,5
healing,5
naingeal,5
control,5
rustling,5
chilling,5
research,5
tranquility,5
portal,5
site,5
chase,5
trap,5
shawl,5
inhabitant,5
stay,5
