Story_ID,Summaries,Prompt,Model,Date
CI_1,"In ""The Heart of Yamoussoukro,"" spirited Amani, inspired by her ancestor’s stories, seeks to reconnect her community with its rich heritage. As she organizes cultural gatherings, she faces opposition from a local businessman wanting to erase tradition for profit. Amani's determination ignites a movement, culminating in a vibrant festival celebrating their identity.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_2,"In the village of Béléko, young Amina discovers the magic of a sacred baobab tree. Guided by Kofi, the tree's guardian, she embarks on a quest to unite neighboring villages against a corporation threatening their land. Through stories and shared history, they harness their collective strength to protect their heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_3,"In Abidjan, twelve-year-old Amina dreams of dancing at the prestigious Festival of Culture. Overcoming family struggles and self-doubt, she practices diligently under her mentor Mama Binta's guidance. After a heartfelt audition, Amina secures her place, captivating the audience and inspiring her community, reaffirming the power of dreams and resilience.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_4,"In Côte d'Ivoire, the village of N'Gohou thrives around a majestic baobab tree. Young Amina dreams of sharing her weaving art with the world. After an inspiring journey with a merchant, she returns home, blending her newfound knowledge with tradition. Amina fosters unity and creativity, revitalizing her village’s cultural identity.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_5,"In Côte d'Ivoire’s Yamoussoukro, a curious girl named Amina yearns to explore the forbidden Whispering Forest. Guided by the guardian Imani, she uncovers the forest's beauty and danger. Amina chooses to share its secrets with her village, bridging the gap between nature and community, fostering harmony and understanding for generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_6,"In the village of Kafou, young Amina discovers a magical baobab tree and meets Kouadio, a storyteller who plays the kora. Enchanted by his music and tales, Amina learns the importance of sharing stories. Inspired, she becomes a guardian of her village's heritage, ensuring their history and melodies live on.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_7,"In Côte d'Ivoire, Amina, a curious young woman, seeks wisdom from the legendary Great Baobab to heal her fractured village. Embarking on a transformative journey, she learns the importance of understanding and forgiveness. Upon her return, Amina inspires her community to mend their ties, uniting them through shared stories and hope.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_8,"In Abidjan, environmentalist Amina dreams of a greener city amidst urban chaos. Partnering with artist Kofi, they create murals promoting sustainability. When a developer threatens their project, Amina rallies the community to fight back. Together, they win a court battle, igniting hope for a sustainable future in their beloved city.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_9,"In a vibrant village in Ivory Coast, adventurous Aminata and her mischievous friend Adama discover the magical Whispering Baobab, guided by the wise traveler Nia. As they learn to listen to the tree's ancient whispers, they unite the villagers to protect their beloved forest, igniting a journey of courage and connection.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_10,"In ""The Weaving of Dreams,"" Amina, a talented Ivorian weaver, dreams of showcasing her creations internationally despite family expectations. After receiving an invitation to a crafts fair in France, she rallies her community for support. Amidst doubts, she embraces her identity, ultimately inspiring others and creating a legacy of cultural pride.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_11,"In Abidjan, recent environmental science graduate Aissatou dreams of starting a sustainable fashion line while protecting the lagoon's ecosystem. She teams up with artist Malik to raise awareness through art. Together, they ignite a community movement against a threatening hotel project, ultimately forming a non-profit dedicated to environmental preservation and education.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_12,"In the vibrant city of Abidjan, seventeen-year-old Amina dreams of becoming a journalist. After hearing a legend about a magical baobab tree that grants wishes, she seeks it out, hoping to fulfill her aspiration. Her journey unfolds as she returns home to empower others, weaving a tapestry of shared stories and dreams.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_13,"In Yamoussoukro, a young boy named Kofi dreams of adventure beyond his village. Accompanied by his friend Amina, they explore an enchanted forest and meet Kwaku, a wise leopard guardian. He teaches them the importance of harmony with nature. Returning home, Kofi inspires his village to embrace storytelling and protect their land.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_14,"In ""The Whispering Baobab,"" twelve-year-old Amani seeks her own story amidst tales shared by elders around a majestic tree. Guided by a prophetic dream, she embarks on a journey to revitalize her community's festival. Through courage and connection, Amani uncovers the power of stories, strengthening her village's identity and legacy.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_15,"In the village of N’Zué, young Amina seeks the wisdom of the ancient Whispering Baobab. Guided by the enigmatic herbalist Mama Kadi, she embarks on a quest to collect three treasures. Upon returning, Amina hears the tree's stories of love and resilience, becoming the village storyteller and preserving their legacy.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CI_16,"In ""The Heartbeat of Abidjan,"" Amina, a young woman from the vibrant Yopougon district, discovers her passion for weaving during a market visit with her mother. Inspired by an elder named Kofi, she learns the art of basket weaving, ultimately creating a thriving business that connects her community and preserves their cultural heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
