story_id,sentiment,confidence,model,date
JM_1,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_3,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_12,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_13,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_16,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_21,fear,0.41,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_24,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_26,sadness,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_28,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_30,surprise,0.66,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_32,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_37,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_40,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_41,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_43,joy,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_45,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_48,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
JM_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
