Word,Frequency
barthélemois,532
heart,376
story,317
village,311
feel,297
voice,211
whisper,207
air,203
find,200
eye,192
life,184
villager,183
love,182
light,180
like,179
share,174
spirit,171
amélie,168
time,166
begin,160
fill,156
dance,156
shadow,156
echo,152
past,152
tale,136
say,135
stand,132
dream,132
know,129
face,125
leave,125
step,115
sea,114
place,112
return,111
secret,109
treasure,108
long,107
seek,107
moment,106
old,105
laughter,104
day,103
night,103
history,103
speak,100
lantern,98
lose,97
sun,96
hold,92
sense,91
tree,90
truth,89
hand,88
come,87
world,87
ancient,87
man,85
turn,84
hope,81
beneath,81
evening,80
reveal,79
stone,79
cast,79
journey,78
connection,78
adventure,78
smile,77
gather,76
weave,76
new,76
woman,75
approach,75
race,74
hide,73
fear,73
wave,73
glow,72
sky,71
word,71
small,71
memory,71
embrace,71
weight,71
beauty,70
close,69
take,69
set,69
figure,69
émile,69
town,68
deep,68
magic,68
legacy,67
forest,67
grow,67
festival,66
fade,66
reply,65
open,65
hear,64
continue,64
street,64
look,64
water,63
square,62
draw,61
legend,61
vibrant,61
music,61
power,60
tell,60
young,60
guide,60
year,60
sound,59
star,59
reach,59
melody,59
letter,59
essence,58
understand,58
home,56
paint,55
listen,55
wood,54
way,54
curiosity,54
joy,54
excitement,54
follow,53
mind,53
create,53
lead,52
future,52
wind,52
soul,51
change,51
family,51
let,51
whispering,51
wall,50
soft,50
scent,50
uncover,50
thick,50
pass,50
shimmer,49
illuminate,49
island,49
horizon,49
bring,49
warm,48
child,48
guardian,48
adorn,48
nod,48
hair,48
purpose,48
surface,47
émilie,47
breath,47
live,47
reminder,46
crew,46
ask,46
carry,46
manuscript,46
energy,46
hue,46
watch,45
believe,45
captain,45
away,45
warmth,45
tapestry,45
discover,45
tremble,44
envelop,44
oak,43
art,43
title,43
grandmother,43
mystery,43
finger,43
sparkle,42
gentle,42
darkness,42
explore,42
break,42
forget,42
transform,41
resonate,41
linger,41
hill,41
choice,41
forever,41
symbol,41
work,41
ignite,41
intertwine,41
lost,40
color,40
path,40
flicker,40
community,40
flow,40
breeze,40
play,39
depth,39
dark,39
wish,39
edge,39
emerge,39
center,38
map,38
piece,38
café,38
nestle,38
call,38
deeply,38
generation,38
gaze,38
golden,38
learn,38
storm,38
cobblestone,37
week,37
ocean,37
see,37
true,37
intrigue,37
dip,37
élodie,37
clock,36
realize,36
promise,36
note,36
surround,36
venture,36
suddenly,35
tear,35
mean,35
woods,35
bind,35
tower,35
emotion,35
walk,35
surge,35
search,34
morning,34
determination,34
honor,34
name,34
sit,34
wander,34
fall,34
forward,34
people,33
spend,33
newfound,33
room,33
capture,33
hidden,33
urge,33
cool,33
bond,33
pulse,33
need,33
inspiration,32
rise,32
vision,32
remain,32
wait,32
canvas,32
presence,32
artist,32
townsfolk,32
ethereal,31
swirl,31
loss,31
expression,31
local,31
library,31
haunt,31
present,31
celebrate,31
anticipation,31
distant,31
passion,31
song,31
fabric,31
remember,30
father,30
symphony,30
