Noun Phrase,Count
young girl,35
deep breath,29
conch shell,26
banyan tree,20
adventurous spirit,18
deep connection,18
journey begins,16
gentle breeze,16
tui na,15
small village,14
young woman,14
heart swelling,12
traditional dances,12
golden hue,12
deep sense,11
insatiable curiosity,11
vibrant culture,10
wise woman,10
profound sense,9
vibrant colors,9
open arms,9
future generations,9
mota lava,9
# # #,9
dark clouds,8
lush landscapes,8
warm embrace,8
vibrant coral reefs,8
dense forests,8
palm trees,8
active volcano,7
annual festival,7
golden glow,7
warm glow,7
espiritu santo,7
gathering storm,7
restore balance,7
lush green mountains,7
full moon,7
great storm,6
dense jungle,6
ancient banyan tree,6
ocean waves,6
soft glow,6
wise leader,6
dense forest,6
village chief,6
lush greenery,6
azure waters,6
turquoise waters,6
lush green hills,6
golden rays,6
vibrant flowers,6
old ways,6
spirit waves,6
vibrant island,5
rich culture,5
pure heart,5
rich tapestry,5
small bag,5
woven mat,5
hearts swelling,5
banyan trees,5
spiritual world,5
newfound determination,5
sweet scent,5
watchful gaze,5
gentle caress,5
nana tasi,5
dark hair,5
night sky,5
# # # chapter,5
warm smile,5
profound connection,5
rich cultural heritage,5
small island,5
spirit world,5
ocean spirits,5
young man,4
community hall,4
thatched-roof huts,4
lush forests,4
true power,4
dense jungles,4
forest floor,4
vast expanse,4
ancestral spirits,4
ancient trees,4
final trial,4
warmth envelop,4
village square,4
intricate designs,4
warm sand,4
own stories,4
intricate patterns,4
sudden gust,4
vibrant cultures,4
natural beauty,4
own children,4
island needs,4
warm breeze,4
silver hair,4
distant call,4
fresh fish,4
ancient wisdom,4
cultural heritage,4
waves crash,4
sun setting,4
ancient songs,4
whispering waves,4
storm clouds,4
inexplicable pull,4
tui tanna,4
underwater garden,4
inexplicable connection,3
storm approaches,3
sweet aroma,3
island home,3
old man,3
wide eyes,3
curious soul,3
ordinary shell,3
infectious laughter,3
fiery spirit,3
narrow path,3
shiver run,3
tall man,3
warmth radiate,3
wooden figure,3
fragrant flowers,3
stone altar,3
ethereal glow,3
proud smile,3
rich heritage,3
traditional attire,3
movements fluid,3
traditional garb,3
lush island,3
emerald hills,3
strange connection,3
ancient carvings,3
small group,3
newfound purpose,3
ancient stories,3
young age,3
gentle voice,3
newfound sense,3
fateful day,3
guardian spirit,3
