Word,Frequency
rock,622
story,502
gibraltar,469
feel,325
heart,301
history,265
share,229
find,195
echo,192
past,191
life,188
cave,178
stand,173
eye,173
voice,169
spirit,156
whisper,153
day,151
treasure,151
local,151
community,150
tale,146
come,139
fill,138
begin,130
know,127
sun,125
air,121
love,117
sense,116
old,113
people,112
light,111
time,110
like,110
home,108
say,105
place,104
face,99
adventure,98
sea,95
family,94
secret,94
ancient,93
culture,92
explore,92
small,91
set,90
connection,88
journey,87
live,86
uncover,85
legacy,85
race,84
world,84
wall,84
deep,83
speak,82
turn,81
grandmother,80
great,80
gather,80
resilience,80
shadow,79
excitement,79
long,79
evening,79
street,78
hold,77
heritage,76
water,74
wind,73
laughter,73
return,72
horizon,72
future,72
hide,72
way,70
approach,70
continue,70
dream,70
rich,70
guardian,70
vibrant,69
mediterranean,68
hope,68
year,67
take,67
step,67
generation,66
look,66
tell,66
town,65
leave,65
young,65
chamber,62
ancestor,62
word,62
close,61
grandfather,61
stone,60
listen,60
map,59
cast,59
decide,59
woman,59
new,59
friend,59
wave,59
beneath,58
smile,58
pass,58
ask,57
embrace,57
siege,57
symbol,56
festival,56
night,56
moment,56
legend,55
path,55
mind,54
spend,54
reveal,54
weave,54
tapestry,53
chest,53
work,53
memory,53
hear,52
open,52
honor,52
sound,52
grow,52
guide,52
title,52
hand,52
child,52
call,51
discover,51
resonate,51
stumble,50
sky,50
land,50
cliff,50
warm,48
discovery,48
identity,48
deeply,48
shape,48
reminder,48
glow,48
gibraltarian,48
organize,48
museum,47
week,47
piece,47
lose,47
pride,46
walk,46
narrow,46
reply,46
weight,45
bring,45
lead,45
curiosity,45
understand,45
realize,44
seek,44
ignite,44
passion,44
man,44
storm,43
soldier,43
intertwine,43
artifact,43
illuminate,43
historian,43
purpose,43
celebrate,43
root,42
breath,42
adorn,42
think,42
create,41
experience,41
inside,41
remember,41
follow,41
watch,41
inspire,41
cool,41
british,41
alive,41
strength,40
gaze,40
hair,40
reach,40
need,40
nod,40
letter,39
fade,39
sit,39
venture,39
unity,39
bustling,39
change,39
dip,39
connect,38
hour,38
intrigue,38
dark,38
carry,38
draw,38
fear,37
catch,37
learn,37
pull,37
entrance,37
struggle,36
ship,36
hidden,36
belong,36
spanish,36
scent,35
narrative,35
hue,35
write,35
present,35
golden,35
see,35
flashlight,34
familiar,34
paint,34
group,34
meet,34
thought,34
emerge,33
book,33
tear,33
exhibition,33
remind,33
sparkle,33
dance,33
suddenly,33
century,33
let,32
forget,32
gold,32
promise,32
later,32
protect,32
carving,32
thick,32
warmth,31
energy,31
morning,31
determination,31
tunnel,31
lighthouse,31
witness,30
mean,30
journal,30
gibraltarians,30
want,30
event,30
echoes,30
war,30
shore,30
fight,30
exclaim,30
tourist,30
month,30
compass,29
breeze,29
café,29
lucía,29
sailor,29
epilogue,29
reflect,29
bond,29
research,29
recount,29
center,29
believe,29
help,29
overlook,29
capture,29
wash,28
name,28
away,28
music,28
cavern,28
captivate,28
countless,28
forward,28
depth,27
afternoon,27
blend,27
isaac,27
spot,27
spark,27
pound,27
arrive,27
point,27
strange,27
room,26
wait,26
ensure,26
notice,26
homeland,26
play,26
childhood,26
surface,26
collection,26
distant,26
presence,25
art,25
preserve,25
page,25
go,25
marking,25
project,25
envelop,25
knowledge,25
prepare,25
swell,25
bury,24
celebration,24
low,24
forever,24
determine,24
crowd,24
loom,24
serpent,24
today,24
linger,24
invite,23
break,23
darkness,23
importance,23
finally,23
power,23
tremble,23
moorish,23
battle,23
study,23
essence,23
gathering,23
alba,23
course,23
understanding,23
newfound,23
limestone,23
strong,22
etch,22
wander,22
photograph,22
amidst,22
triumph,22
damp,22
spine,22
rise,22
trial,22
forge,22
arm,22
eager,22
bravery,22
ready,22
notebook,22
surge,22
search,22
archive,21
run,21
maría,21
plan,21
figure,21
challenge,21
soft,21
testament,21
scroll,21
renew,21
mystery,21
read,21
transform,21
age,21
corner,21
different,21
navigate,21
anticipation,21
lean,21
