Story_ID,Summaries,Prompt,Model,Date
RS_1,"In ""The Forgotten Village,"" young journalist Milan journeys to the deserted Serbian village of Starigrad, inspired by his grandmother's tales. As he uncovers its rich history through conversations with remaining villagers, he revitalizes the community by organizing a festival, rekindling connections and transforming Starigrad into a beacon of hope and resilience.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_2,"In the Serbian village of Đerdap, Luka, a young fisherman, meets Mira, a painter, by the Danube River. As they explore their dreams and bond, they discover a mystical stone that reveals their intertwined destinies and the village's prophecy. Together, they unite their community against impending darkness, nurturing hope and resilience.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_3,"Nina returns to her village, Draga, after a decade in Belgrade, drawn by nostalgia and the harvest festival. However, whispers of mysterious forest disappearances trouble her. As she explores the woods, she meets Luka, who reveals the forest's secrets. Together, they confront the spirits bound to a cursed well, leading to a powerful sacrifice and a newfound connection to their home.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_4,"In the enchanting town of Drvar, young Mia ventures into the mystical Whispering Pines, guided by whispers of lost spirits. With the help of a mysterious boy named Luka, she uncovers their stories, granting them peace. Empowered by compassion, Mia becomes the town's storyteller, honoring the memories of the past.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_5,"In the village of Vrbica, young Anja embarks on a quest to find the mystical guardian, Šuma Duša, after hearing tales from wise Milena. Discovering the enchanting stag, Anja wishes for courage to protect the forest, inspiring her village to cherish nature. Together, they honor the spirit and preserve their land.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_6,"In Višegrad, artist Milena copes with her father's death by painting the beauty of her hometown and its iconic bridge. Reuniting with childhood friend Luka, they collaborate to showcase their town’s heritage through art and storytelling. Together, they discover the magic of connection and the enduring power of memories.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_7,"In the Serbian town of Golubac, young historian Miloš teams up with spirited Anika to explore the Danube’s rich tapestry of stories. Their journey leads them to a hidden cave, where they uncover ancient scrolls detailing their heritage. Together, they embark on a mission to preserve and share these tales, uniting their community.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_8,"In ""The Whispering Pines,"" Mira returns to her grandmother's village after her passing, discovering a letter that reveals family secrets tied to the ancient pines. Guided by a storyteller, she learns to honor her heritage and rallies the community to protect the forest from developers, ensuring their history endures.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_9,"In ""The Whisper of the Danube,"" Luka, a young historian, returns to his hometown in Vojvodina, drawn by nostalgia and local legends of hidden treasures in the Danube. Guided by an old woman, he embarks on a quest to uncover ancestral stories, ultimately realizing the importance of sharing history and fostering community.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
RS_10,"In the serene Serbian village of Ravna, city-dweller Miloš seeks peace among the Whispering Pines. There, he encounters Vespera, the forest's guardian, who guides him on a transformative journey of self-discovery. Embracing nature’s wisdom, Miloš learns to confront his inner struggles, ultimately finding belonging and purpose in life.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
